t,n,i,j_left,x_grid(j_left),position,velocity,E_i
0.570923,29,3,1,-2.94524,-2.7997,-0.00237503,0.00339866
0.570923,29,4,2,-2.74889,-2.70199,-0.00301463,0.00431241
0.570923,29,5,2,-2.74889,-2.60426,-0.00362418,0.00518762
0.570923,29,6,3,-2.55254,-2.5065,-0.00419937,0.00601209
0.570923,29,7,3,-2.55254,-2.40872,-0.00473358,0.00677956
0.570923,29,8,4,-2.35619,-2.3109,-0.00522218,0.00748349
0.570923,29,9,4,-2.35619,-2.21304,-0.00566052,0.00811367
0.570923,29,10,5,-2.15984,-2.11515,-0.00604373,0.00867009
0.570923,29,11,5,-2.15984,-2.01721,-0.00636938,0.00913863
0.570923,29,12,6,-1.9635,-1.91922,-0.00663253,0.00952594
0.570923,29,13,6,-1.9635,-1.8212,-0.00683303,0.00981459
0.570923,29,14,7,-1.76715,-1.72312,-0.0069661,0.0100174
0.570923,29,15,7,-1.76715,-1.62499,-0.0070338,0.0101148
0.570923,29,16,8,-1.5708,-1.52682,-0.00703181,0.0101246
0.570923,29,17,8,-1.5708,-1.42859,-0.00696419,0.0100266
0.570923,29,18,9,-1.37445,-1.33032,-0.00682737,0.0098424
0.570923,29,19,9,-1.37445,-1.232,-0.0066271,0.00955239
0.570923,29,20,10,-1.1781,-1.13363,-0.00636085,0.00918054
0.570923,29,21,10,-1.1781,-1.03522,-0.00603568,0.0087094
0.570923,29,22,11,-0.981748,-0.936768,-0.00565032,0.00816368
0.570923,29,23,11,-0.981748,-0.838275,-0.00521282,0.00752927
0.570923,29,24,12,-0.785398,-0.739745,-0.0047232,0.00683044
0.570923,29,25,12,-0.785398,-0.641182,-0.00419019,0.00605701
0.570923,29,26,13,-0.589049,-0.54259,-0.00361512,0.00523202
0.570923,29,27,13,-0.589049,-0.443973,-0.0030071,0.00434923
0.570923,29,28,14,-0.392699,-0.345334,-0.00236859,0.00343021
0.570923,29,29,14,-0.392699,-0.246679,-0.00170892,0.00247202
0.570923,29,30,15,-0.19635,-0.148012,-0.00103137,0.00149497
0.570923,29,31,15,-0.19635,-0.0493384,-0.000345363,0.000498333
0.570923,29,32,16,0,0.0493384,0.000345363,-0.000498333
0.570923,29,33,16,0,0.148012,0.00103137,-0.00149497
0.570923,29,34,17,0.19635,0.246679,0.00170892,-0.00247202
0.570923,29,35,17,0.19635,0.345334,0.00236859,-0.00343021
0.570923,29,36,18,0.392699,0.443973,0.0030071,-0.00434923
