t,n,i,j_left,x_grid(j_left),position,velocity,E_i
0,0,0,8,-1.5708,-1.5708,0.25,0
0,0,1,24,1.5708,1.5708,-0.25,0
0.111367,1,0,8,-1.5708,-1.54295,0.25,-0.0017401
0.111367,1,1,23,1.37445,1.54295,-0.25,0.0017401
0.222733,2,0,8,-1.5708,-1.51513,0.249806,-0.00347886
0.222733,2,1,23,1.37445,1.51513,-0.249806,0.00347886
0.3341,3,0,8,-1.5708,-1.48736,0.249419,-0.00521491
0.3341,3,1,23,1.37445,1.48736,-0.249419,0.00521491
0.445466,4,0,8,-1.5708,-1.45965,0.248838,-0.00694693
0.445466,4,1,23,1.37445,1.45965,-0.248838,0.00694693
0.556833,5,0,8,-1.5708,-1.43202,0.248064,-0.00867356
0.556833,5,1,23,1.37445,1.43202,-0.248064,0.00867356
0.668199,6,0,8,-1.5708,-1.4045,0.247098,-0.0103935
0.668199,6,1,23,1.37445,1.4045,-0.247098,0.0103935
0.779566,7,0,8,-1.5708,-1.37711,0.245941,-0.0121053
0.779566,7,1,23,1.37445,1.37711,-0.245941,0.0121053
0.890932,8,0,9,-1.37445,-1.34987,0.244593,-0.0138078
0.890932,8,1,22,1.1781,1.34987,-0.244593,0.0138078
1.0023,9,0,9,-1.37445,-1.3228,0.243055,-0.0154995
1.0023,9,1,22,1.1781,1.3228,-0.243055,0.0154995
1.11367,10,0,9,-1.37445,-1.29593,0.241329,-0.0171793
1.11367,10,1,22,1.1781,1.29593,-0.241329,0.0171793
1.22503,11,0,9,-1.37445,-1.26926,0.239416,-0.0188457
1.22503,11,1,22,1.1781,1.26926,-0.239416,0.0188457
1.3364,12,0,9,-1.37445,-1.24284,0.237317,-0.0204975
1.3364,12,1,22,1.1781,1.24284,-0.237317,0.0204975
1.44777,13,0,9,-1.37445,-1.21666,0.235034,-0.0221335
1.44777,13,1,22,1.1781,1.21666,-0.235034,0.0221335
1.55913,14,0,9,-1.37445,-1.19076,0.232569,-0.0237523
1.55913,14,1,22,1.1781,1.19076,-0.232569,0.0237523
1.6705,15,0,10,-1.1781,-1.16515,0.229924,-0.0253526
1.6705,15,1,21,0.981748,1.16515,-0.229924,0.0253526
1.78186,16,0,10,-1.1781,-1.13986,0.227101,-0.0269333
1.78186,16,1,21,0.981748,1.13986,-0.227101,0.0269333
1.89323,17,0,10,-1.1781,-1.11491,0.224101,-0.0284932
1.89323,17,1,21,0.981748,1.11491,-0.224101,0.0284932
2.0046,18,0,10,-1.1781,-1.0903,0.220928,-0.0300309
2.0046,18,1,21,0.981748,1.0903,-0.220928,0.0300309
2.11596,19,0,10,-1.1781,-1.06607,0.217584,-0.0315454
2.11596,19,1,21,0.981748,1.06607,-0.217584,0.0315454
2.22733,20,0,10,-1.1781,-1.04223,0.21407,-0.0330354
2.22733,20,1,21,0.981748,1.04223,-0.21407,0.0330354
2.3387,21,0,10,-1.1781,-1.0188,0.210391,-0.0344998
2.3387,21,1,21,0.981748,1.0188,-0.210391,0.0344998
2.45006,22,0,10,-1.1781,-0.995796,0.206549,-0.0359375
2.45006,22,1,21,0.981748,0.995796,-0.206549,0.0359375
2.56143,23,0,11,-0.981748,-0.97324,0.202547,-0.0373473
2.56143,23,1,20,0.785398,0.97324,-0.202547,0.0373473
2.6728,24,0,11,-0.981748,-0.951146,0.198388,-0.0387282
