t,n,i,j_left,x_grid(j_left),position,velocity,E_i
0.984351,1,16,8,-1.5708,-1.53154,-0.00998795,0.0194934
0.984351,1,17,8,-1.5708,-1.43327,-0.00989177,0.0193053
0.984351,1,18,9,-1.37445,-1.33491,-0.00970031,0.0189684
0.984351,1,19,9,-1.37445,-1.23645,-0.00941544,0.01841
0.984351,1,20,10,-1.1781,-1.13791,-0.00903989,0.0177089
0.984351,1,21,10,-1.1781,-1.03928,-0.00857729,0.0168006
0.984351,1,22,11,-0.981748,-0.940567,-0.00803208,0.0157603
0.984351,1,23,11,-0.981748,-0.841779,-0.00740951,0.0145359
0.984351,1,24,12,-0.785398,-0.742921,-0.00671559,0.0131956
0.984351,1,25,12,-0.785398,-0.644,-0.00595699,0.0117016
0.984351,1,26,13,-0.589049,-0.545022,-0.00514103,0.0101131
0.984351,1,27,13,-0.589049,-0.445995,-0.00427555,0.00840689
0.984351,1,28,14,-0.392699,-0.346928,-0.0033689,0.00663285
0.984351,1,29,14,-0.392699,-0.247829,-0.0024298,0.0047801
0.984351,1,30,15,-0.19635,-0.148706,-0.0014673,0.00289132
0.984351,1,31,15,-0.19635,-0.0495704,-0.000490677,0.000963803
0.984351,1,32,16,0,0.0495704,0.000490677,-0.000963803
0.984351,1,33,16,0,0.148706,0.0014673,-0.00289132
0.984351,1,34,17,0.19635,0.247829,0.0024298,-0.0047801
0.984351,1,35,17,0.19635,0.346928,0.0033689,-0.00663285
0.984351,1,36,18,0.392699,0.445995,0.00427555,-0.00840689
0.984351,1,37,18,0.392699,0.545022,0.00514103,-0.0101131
0.984351,1,38,19,0.589049,0.644,0.00595699,-0.0117016
0.984351,1,39,19,0.589049,0.742921,0.00671559,-0.0131956
0.984351,1,40,20,0.785398,0.841779,0.00740951,-0.0145359
0.984351,1,41,20,0.785398,0.940567,0.00803208,-0.0157603
0.984351,1,42,21,0.981748,1.03928,0.00857729,-0.0168006
0.984351,1,43,21,0.981748,1.13791,0.00903989,-0.0177089
0.984351,1,44,22,1.1781,1.23645,0.00941544,-0.01841
0.984351,1,45,22,1.1781,1.33491,0.00970031,-0.0189684
0.984351,1,46,23,1.37445,1.43327,0.00989177,-0.0193053
0.984351,1,47,23,1.37445,1.53154,0.00998795,-0.0194934
0.984351,1,48,24,1.5708,1.62972,0.00998795,-0.0194558
0.984351,1,49,24,1.5708,1.7278,0.00989177,-0.019268
0.984351,1,50,25,1.76715,1.82578,0.00970031,-0.0188601
0.984351,1,51,25,1.76715,1.92368,0.00941544,-0.0183049
0.984351,1,52,26,1.9635,2.02148,0.00903989,-0.017545
0.984351,1,53,26,1.9635,2.1192,0.00857729,-0.016645
0.984351,1,54,27,2.15984,2.21684,0.00803208,-0.0155643
0.984351,1,55,27,2.15984,2.3144,0.00740951,-0.0143551
0.984351,1,56,28,2.35619,2.41189,0.00671559,-0.0129959
0.984351,1,57,28,2.35619,2.50932,0.00595699,-0.0115245
0.984351,1,58,29,2.55254,2.60669,0.00514103,-0.00993876
0.984351,1,59,29,2.55254,2.70401,0.00427555,-0.00826186
0.984351,1,60,30,2.74889,2.8013,0.0033689,-0.00650885
0.984351,1,61,30,2.74889,2.89855,0.0024298,-0.00469067
0.984351,1,62,31,2.94524,2.99577,0.0014673,-0.00283515
0.984351,1,63,31,2.94524,3.09299,0.000490677,-0.000945021
1.9687,2,0,0,-3.14159,-3.09256,0.000439555,9.44126e-05
1.9687,2,1,0,-3.14159,-2.99447,0.00132348,0.000283256
1.9687,2,2,1,-2.94524,-2.89639,0.00218746,0.000466496
1.9687,2,3,1,-2.94524,-2.79831,0.00303809,0.000644118
1.9687,2,4,2,-2.74889,-2.70022,0.00385701,0.000811111
1.9687,2,5,2,-2.74889,-2.60212,0.00464219,0.000967324
1.9687,2,6,3,-2.55254,-2.50402,0.00538718,0.00110887
1.9687,2,7,3,-2.55254,-2.40591,0.00607696,0.00123542
1.9687,2,8,4,-2.35619,-2.30778,0.00672094,0.00134456
1.9687,2,9,4,-2.35619,-2.20966,0.00728867,0.00143579
1.9687,2,10,5,-2.15984,-2.11152,0.00780726,0.0015083
1.9687,2,11,5,-2.15984,-2.01338,0.00823054,0.00156149
1.9687,2,12,6,-1.9635,-1.91521,0.00860297,0.00159606
1.9687,2,13,6,-1.9635,-1.81706,0.0088646,0.0016114
1.9687,2,14,7,-1.76715,-1.71886,0.00907467,0.00160948
1.9687,2,15,7,-1.76715,-1.6207,0.00916336,0.00158973
1.9687,2,16,8,-1.5708,-1.52248,0.00920043,0.00155503
1.9687,2,17,8,-1.5708,-1.4243,0.00911138,0.00150493
1.9687,2,18,9,-1.37445,-1.32608,0.00897121,0.00144275
1.9687,2,19,9,-1.37445,-1.22788,0.00870645,0.00136818
1.9687,2,20,10,-1.1781,-1.12965,0.00839188,0.00128458
1.9687,2,21,10,-1.1781,-1.03144,0.00796035,0.00119178
1.9687,2,22,11,-0.981748,-0.933202,0.00748159,0.00109281
1.9687,2,23,11,-0.981748,-0.834988,0.00689891,0.000987594
1.9687,2,24,12,-0.785398,-0.736746,0.0062735,0.000878597
1.9687,2,25,12,-0.785398,-0.638525,0.00556152,0.000765801
1.9687,2,26,13,-0.589049,-0.540283,0.00481385,0.000650981
1.9687,2,27,13,-0.589049,-0.442058,0.00399978,0.000534152
1.9687,2,28,14,-0.392699,-0.343817,0.00316015,0.000416414
1.9687,2,29,14,-0.392699,-0.245589,0.00227549,0.00029779
1.9687,2,30,15,-0.19635,-0.147349,0.00137877,0.000178851
1.9687,2,31,15,-0.19635,-0.0491195,0.000458043,5.96207e-05
1.9687,2,32,16,0,0.0491195,-0.000458043,-5.96207e-05
1.9687,2,33,16,0,0.147349,-0.00137877,-0.000178851
1.9687,2,34,17,0.19635,0.245589,-0.00227549,-0.00029779
1.9687,2,35,17,0.19635,0.343817,-0.00316015,-0.000416414
1.9687,2,36,18,0.392699,0.442058,-0.00399978,-0.000534152
1.9687,2,37,18,0.392699,0.540283,-0.00481385,-0.000650981
1.9687,2,38,19,0.589049,0.638525,-0.00556152,-0.000765801
1.9687,2,39,19,0.589049,0.736746,-0.0062735,-0.000878597
1.9687,2,40,20,0.785398,0.834988,-0.00689891,-0.000987594
1.9687,2,41,20,0.785398,0.933202,-0.00748159,-0.00109281
1.9687,2,42,21,0.981748,1.03144,-0.00796035,-0.00119178
1.9687,2,43,21,0.981748,1.12965,-0.00839188,-0.00128458
1.9687,2,44,22,1.1781,1.22788,-0.00870645,-0.00136818
1.9687,2,45,22,1.1781,1.32608,-0.00897121,-0.00144275
1.9687,2,46,23,1.37445,1.4243,-0.00911138,-0.00150493
1.9687,2,47,23,1.37445,1.52248,-0.00920043,-0.00155503
1.9687,2,48,24,1.5708,1.6207,-0.00916336,-0.00158973
1.9687,2,49,24,1.5708,1.71886,-0.00907467,-0.00160948
1.9687,2,50,25,1.76715,1.81706,-0.0088646,-0.0016114
1.9687,2,51,25,1.76715,1.91521,-0.00860297,-0.00159606
1.9687,2,52,26,1.9635,2.01338,-0.00823054,-0.00156149
1.9687,2,53,26,1.9635,2.11152,-0.00780726,-0.0015083
1.9687,2,54,27,2.15984,2.20966,-0.00728867,-0.00143579
1.9687,2,55,27,2.15984,2.30778,-0.00672094,-0.00134456
1.9687,2,56,28,2.35619,2.40591,-0.00607696,-0.00123542
1.9687,2,57,28,2.35619,2.50402,-0.00538718,-0.00110887
1.9687,2,58,29,2.55254,2.60212,-0.00464219,-0.000967324
1.9687,2,59,29,2.55254,2.70022,-0.00385701,-0.000811111
1.9687,2,60,30,2.74889,2.79831,-0.00303809,-0.000644118
1.9687,2,61,30,2.74889,2.89639,-0.00218746,-0.000466496
1.9687,2,62,31,2.94524,2.99447,-0.00132348,-0.000283256
1.9687,2,63,31,2.94524,3.09256,-0.000439555,-9.44126e-05
2.95305,3,0,0,-3.14159,-3.09203,0.00053249,-0.000954779
2.95305,3,1,0,-3.14159,-2.99289,0.0016023,-0.00286461
2.95305,3,2,1,-2.94524,-2.89379,0.00264665,-0.00473607
2.95305,3,3,1,-2.94524,-2.79469,0.00367213,-0.00657239
2.95305,3,4,2,-2.74889,-2.69564,0.00465543,-0.0083312
2.95305,3,5,2,-2.74889,-2.59662,0.00559438,-0.0100234
2.95305,3,6,3,-2.55254,-2.49764,0.0064787,-0.0115998
2.95305,3,7,3,-2.55254,-2.39873,0.00729305,-0.0130829
2.95305,3,8,4,-2.35619,-2.29987,0.00804446,-0.014415
2.95305,3,9,4,-2.35619,-2.2011,0.00870199,-0.0156323
2.95305,3,10,5,-2.15984,-2.10237,0.00929196,-0.0166683
2.95305,3,11,5,-2.15984,-2.00376,0.0097676,-0.0175735
2.95305,3,12,6,-1.9635,-1.90519,0.0101741,-0.0182742
2.95305,3,13,6,-1.9635,-1.80677,0.0104508,-0.0188331
2.95305,3,14,7,-1.76715,-1.70837,0.010659,-0.0191729
2.95305,3,15,7,-1.76715,-1.61014,0.0107282,-0.0193648
2.95305,3,16,8,-1.5708,-1.51192,0.0107311,-0.0193326
2.95305,3,17,8,-1.5708,-1.41388,0.0105928,-0.019151
2.95305,3,18,9,-1.37445,-1.31585,0.0103914,-0.0187502
2.95305,3,19,9,-1.37445,-1.21799,0.0100532,-0.0182029
2.95305,3,20,10,-1.1781,-1.12014,0.00965636,-0.0174512
2.95305,3,21,10,-1.1781,-1.02245,0.00913347,-0.01656
2.95305,3,22,11,-0.981748,-0.924779,0.0085573,-0.0154877
2.95305,3,23,11,-0.981748,-0.82724,0.00787105,-0.0142876
2.95305,3,24,12,-0.785398,-0.729719,0.00713835,-0.0129367
2.95305,3,25,12,-0.785398,-0.632309,0.00631534,-0.0114741
2.95305,3,26,13,-0.589049,-0.534914,0.00545465,-0.00989638
2.95305,3,27,13,-0.589049,-0.437603,0.00452557,-0.00822783
2.95305,3,28,14,-0.392699,-0.340303,0.00357005,-0.00648244
2.95305,3,29,14,-0.392699,-0.24306,0.00256862,-0.00467213
2.95305,3,30,15,-0.19635,-0.145819,0.00155482,-0.00282395
2.95305,3,31,15,-0.19635,-0.0486109,0.000516731,-0.000941406
2.95305,3,32,16,0,0.0486109,-0.000516731,0.000941406
2.95305,3,33,16,0,0.145819,-0.00155482,0.00282395
2.95305,3,34,17,0.19635,0.24306,-0.00256862,0.00467213
2.95305,3,35,17,0.19635,0.340303,-0.00357005,0.00648244
2.95305,3,36,18,0.392699,0.437603,-0.00452557,0.00822783
2.95305,3,37,18,0.392699,0.534914,-0.00545465,0.00989638
2.95305,3,38,19,0.589049,0.632309,-0.00631534,0.0114741
2.95305,3,39,19,0.589049,0.729719,-0.00713835,0.0129367
2.95305,3,40,20,0.785398,0.82724,-0.00787105,0.0142876
2.95305,3,41,20,0.785398,0.924779,-0.0085573,0.0154877
2.95305,3,42,21,0.981748,1.02245,-0.00913347,0.01656
2.95305,3,43,21,0.981748,1.12014,-0.00965636,0.0174512
2.95305,3,44,22,1.1781,1.21799,-0.0100532,0.0182029
2.95305,3,45,22,1.1781,1.31585,-0.0103914,0.0187502
2.95305,3,46,23,1.37445,1.41388,-0.0105928,0.019151
2.95305,3,47,23,1.37445,1.51192,-0.0107311,0.0193326
2.95305,3,48,24,1.5708,1.61014,-0.0107282,0.0193648
2.95305,3,49,24,1.5708,1.70837,-0.010659,0.0191729
2.95305,3,50,25,1.76715,1.80677,-0.0104508,0.0188331
2.95305,3,51,25,1.76715,1.90519,-0.0101741,0.0182742
2.95305,3,52,26,1.9635,2.00376,-0.0097676,0.0175735
2.95305,3,53,26,1.9635,2.10237,-0.00929196,0.0166683
2.95305,3,54,27,2.15984,2.2011,-0.00870199,0.0156323
2.95305,3,55,27,2.15984,2.29987,-0.00804446,0.014415
2.95305,3,56,28,2.35619,2.39873,-0.00729305,0.0130829
2.95305,3,57,28,2.35619,2.49764,-0.0064787,0.0115998
2.95305,3,58,29,2.55254,2.59662,-0.00559438,0.0100234
2.95305,3,59,29,2.55254,2.69564,-0.00465543,0.0083312
2.95305,3,60,30,2.74889,2.79469,-0.00367213,0.00657239
2.95305,3,61,30,2.74889,2.89379,-0.00264665,0.00473607
2.95305,3,62,31,2.94524,2.99289,-0.0016023,0.00286461
2.95305,3,63,31,2.94524,3.09203,-0.00053249,0.000954779
3.9374,4,0,0,-3.14159,-3.09243,-0.000407347,-0.00015378
3.9374,4,1,0,-3.14159,-2.99409,-0.00121748,-0.000461399
3.9374,4,2,1,-2.94524,-2.89577,-0.0020153,-0.000762999
3.9374,4,3,1,-2.94524,-2.79745,-0.0027974,-0.00105873
3.9374,4,4,2,-2.74889,-2.69913,-0.00354539,-0.00134269
3.9374,4,5,2,-2.74889,-2.60082,-0.00427215,-0.00161514
3.9374,4,6,3,-2.55254,-2.5025,-0.00493958,-0.00187048
3.9374,4,7,3,-2.55254,-2.40423,-0.00558513,-0.00210917
3.9374,4,8,4,-2.35619,-2.30592,-0.00614493,-0.00232606
3.9374,4,9,4,-2.35619,-2.20768,-0.00668566,-0.00252187
3.9374,4,10,5,-2.15984,-2.10937,-0.00711553,-0.00269199
3.9374,4,11,5,-2.15984,-2.01118,-0.00753089,-0.00283746
3.9374,4,12,6,-1.9635,-1.91288,-0.00781418,-0.00295432
3.9374,4,13,6,-1.9635,-1.81473,-0.00808758,-0.00304394
3.9374,4,14,7,-1.76715,-1.71646,-0.00821389,-0.0031031
3.9374,4,15,7,-1.76715,-1.61834,-0.00833353,-0.00313351
3.9374,4,16,8,-1.5708,-1.52009,-0.00829891,-0.00313276
3.9374,4,17,8,-1.5708,-1.422,-0.00825851,-0.00310282
3.9374,4,18,9,-1.37445,-1.32379,-0.00806541,-0.00304223
3.9374,4,19,9,-1.37445,-1.22573,-0.00786485,-0.00295307
3.9374,4,20,10,-1.1781,-1.12755,-0.00752171,-0.002835
3.9374,4,21,10,-1.1781,-1.02951,-0.00716739,-0.00269001
3.9374,4,22,11,-0.981748,-0.931362,-0.00668806,-0.002519
3.9374,4,23,11,-0.981748,-0.833336,-0.00619293,-0.00232369
3.9374,4,24,12,-0.785398,-0.735228,-0.00559593,-0.00210628
3.9374,4,25,12,-0.785398,-0.63721,-0.00497924,-0.00186812
3.9374,4,26,13,-0.589049,-0.539134,-0.00428686,-0.00161263
3.9374,4,27,13,-0.589049,-0.441121,-0.0035735,-0.00134073
3.9374,4,28,14,-0.392699,-0.34307,-0.00281095,-0.00105695
3.9374,4,29,14,-0.392699,-0.245059,-0.00203039,-0.000761789
3.9374,4,30,15,-0.19635,-0.147025,-0.00122494,-0.000460581
3.9374,4,31,15,-0.19635,-0.0490144,-0.000409943,-0.000153546
3.9374,4,32,16,0,0.0490144,0.000409943,0.000153546
3.9374,4,33,16,0,0.147025,0.00122494,0.000460581
3.9374,4,34,17,0.19635,0.245059,0.00203039,0.000761789
3.9374,4,35,17,0.19635,0.34307,0.00281095,0.00105695
3.9374,4,36,18,0.392699,0.441121,0.0035735,0.00134073
3.9374,4,37,18,0.392699,0.539134,0.00428686,0.00161263
3.9374,4,38,19,0.589049,0.63721,0.00497924,0.00186812
3.9374,4,39,19,0.589049,0.735228,0.00559593,0.00210628
3.9374,4,40,20,0.785398,0.833336,0.00619293,0.00232369
3.9374,4,41,20,0.785398,0.931362,0.00668806,0.002519
3.9374,4,42,21,0.981748,1.02951,0.00716739,0.00269001
3.9374,4,43,21,0.981748,1.12755,0.00752171,0.002835
3.9374,4,44,22,1.1781,1.22573,0.00786485,0.00295307
3.9374,4,45,22,1.1781,1.32379,0.00806541,0.00304223
3.9374,4,46,23,1.37445,1.422,0.00825851,0.00310282
3.9374,4,47,23,1.37445,1.52009,0.00829891,0.00313276
3.9374,4,48,24,1.5708,1.61834,0.00833353,0.00313351
3.9374,4,49,24,1.5708,1.71646,0.00821389,0.0031031
3.9374,4,50,25,1.76715,1.81473,0.00808758,0.00304394
3.9374,4,51,25,1.76715,1.91288,0.00781418,0.00295432
3.9374,4,52,26,1.9635,2.01118,0.00753089,0.00283746
3.9374,4,53,26,1.9635,2.10937,0.00711553,0.00269199
3.9374,4,54,27,2.15984,2.20768,0.00668566,0.00252187
3.9374,4,55,27,2.15984,2.30592,0.00614493,0.00232606
3.9374,4,56,28,2.35619,2.40423,0.00558513,0.00210917
3.9374,4,57,28,2.35619,2.5025,0.00493958,0.00187048
3.9374,4,58,29,2.55254,2.60082,0.00427215,0.00161514
3.9374,4,59,29,2.55254,2.69913,0.00354539,0.00134269
3.9374,4,60,30,2.74889,2.79745,0.0027974,0.00105873
3.9374,4,61,30,2.74889,2.89577,0.0020153,0.000762999
3.9374,4,62,31,2.94524,2.99409,0.00121748,0.000461399
3.9374,4,63,31,2.94524,3.09243,0.000407347,0.00015378
4.92175,5,0,0,-3.14159,-3.09298,-0.000558721,0.000924626
4.92175,5,1,0,-3.14159,-2.99574,-0.00167166,0.00277432
4.92175,5,2,1,-2.94524,-2.8985,-0.00276636,0.00459006
4.92175,5,3,1,-2.94524,-2.80123,-0.00383957,0.00636968
4.92175,5,4,2,-2.74889,-2.70392,-0.00486707,0.00808591
4.92175,5,5,2,-2.74889,-2.60659,-0.00586201,0.00972787
4.92175,5,6,3,-2.55254,-2.50918,-0.00678079,0.0112815
4.92175,5,7,3,-2.55254,-2.41177,-0.0076613,0.0127232
4.92175,5,8,4,-2.35619,-2.31422,-0.0084346,0.0140563
4.92175,5,9,4,-2.35619,-2.2167,-0.00916806,0.0152423
4.92175,5,10,5,-2.15984,-2.11899,-0.00976539,0.0163038
4.92175,5,11,5,-2.15984,-2.02134,-0.0103239,0.017188
4.92175,5,12,6,-1.9635,-1.92344,-0.0107223,0.017936
4.92175,5,13,6,-1.9635,-1.82564,-0.0110839,0.0184834
4.92175,5,14,7,-1.76715,-1.72755,-0.0112684,0.0188868
4.92175,5,15,7,-1.76715,-1.62958,-0.011418,0.0190748
4.92175,5,16,8,-1.5708,-1.53129,-0.0113826,0.019115
4.92175,5,17,8,-1.5708,-1.43314,-0.0113128,0.0189347
4.92175,5,18,9,-1.37445,-1.33467,-0.01106,0.018607
4.92175,5,19,9,-1.37445,-1.23633,-0.0107717,0.0180635
4.92175,5,20,10,-1.1781,-1.1377,-0.0103123,0.0173777
4.92175,5,21,10,-1.1781,-1.03917,-0.0098153,0.0164901
4.92175,5,22,11,-0.981748,-0.940386,-0.00916764,0.0154704
4.92175,5,23,11,-0.981748,-0.841684,-0.00848026,0.0142716
4.92175,5,24,12,-0.785398,-0.742777,-0.00766925,0.0129565
4.92175,5,25,12,-0.785398,-0.643922,-0.00681812,0.0114918
4.92175,5,26,13,-0.589049,-0.544916,-0.00587425,0.00993212
4.92175,5,27,13,-0.589049,-0.445937,-0.00489325,0.00825766
4.92175,5,28,14,-0.392699,-0.346861,-0.00385136,0.00651518
4.92175,5,29,14,-0.392699,-0.247796,-0.00278026,0.00469582
4.92175,5,30,15,-0.19635,-0.148677,-0.00167831,0.00284027
4.92175,5,31,15,-0.19635,-0.0495667,-0.000561087,0.000946906
4.92175,5,32,16,0,0.0495667,0.000561087,-0.000946906
4.92175,5,33,16,0,0.148677,0.00167831,-0.00284027
4.92175,5,34,17,0.19635,0.247796,0.00278026,-0.00469582
4.92175,5,35,17,0.19635,0.346861,0.00385136,-0.00651518
4.92175,5,36,18,0.392699,0.445937,0.00489325,-0.00825766
4.92175,5,37,18,0.392699,0.544916,0.00587425,-0.00993212
4.92175,5,38,19,0.589049,0.643922,0.00681812,-0.0114918
4.92175,5,39,19,0.589049,0.742777,0.00766925,-0.0129565
4.92175,5,40,20,0.785398,0.841684,0.00848026,-0.0142716
4.92175,5,41,20,0.785398,0.940386,0.00916764,-0.0154704
4.92175,5,42,21,0.981748,1.03917,0.0098153,-0.0164901
4.92175,5,43,21,0.981748,1.1377,0.0103123,-0.0173777
