t,n,i,position,velocity,E_i
2.04745,26,0,1.03546,1.74237,-0.0683156
2.04745,26,1,3.14031,-0.356278,0.0236036
2.04745,26,2,0.644184,-0.0784015,0.0743215
2.04745,26,3,-2.06379,-0.172383,-0.0174217
2.1262,27,0,1.17311,1.74795,-0.0709453
2.1262,27,1,3.11218,-0.35719,0.0115844
2.1262,27,2,0.637498,-0.0849036,0.0825682
2.1262,27,3,-2.07725,-0.171002,-0.0175439
2.20495,28,0,1.3111,1.75237,-0.0560429
2.20495,28,1,3.08405,-0.357168,-0.000286048
2.20495,28,2,0.630313,-0.0912405,0.0804705
2.20495,28,3,-2.09056,-0.168918,-0.0264605
2.28369,29,0,1.44935,1.75555,-0.0404853
2.28369,29,1,3.05599,-0.356359,-0.0102678
2.28369,29,2,0.622643,-0.0974053,0.0782854
2.28369,29,3,-2.10364,-0.166129,-0.0354189
2.36244,30,0,1.58775,1.75747,-0.0242897
2.36244,30,1,3.02804,-0.354914,-0.0183526
2.36244,30,2,0.614501,-0.103391,0.076007
2.36244,30,3,-2.11645,-0.162632,-0.0444021
2.44119,31,0,1.72619,1.75806,-0.00747527
2.44119,31,1,3.00024,-0.352981,-0.0245494
2.44119,31,2,0.605902,-0.109189,0.0736309
2.44119,31,3,-2.12892,-0.158428,-0.0533942
2.51994,32,0,1.86457,1.75727,0.00993714
2.51994,32,1,2.97263,-0.350707,-0.0288805
2.51994,32,2,0.596863,-0.114792,0.0711539
2.51994,32,3,-2.14101,-0.153516,-0.0623797
2.59869,33,0,2.00278,1.75507,0.0279259
2.59869,33,1,2.9452,-0.348236,-0.0313768
2.59869,33,2,0.587398,-0.120192,0.0685741
2.59869,33,3,-2.15266,-0.147897,-0.0713444
2.67743,34,0,2.1407,1.75142,0.0464628
2.67743,34,1,2.91798,-0.345709,-0.032084
2.67743,34,2,0.577524,-0.125381,0.0658893
2.67743,34,3,-2.16381,-0.141576,-0.0802681
2.75618,35,0,2.27825,1.74662,0.0609006
2.75618,35,1,2.89099,-0.342694,-0.0382893
2.75618,35,2,0.567267,-0.130252,0.0618528
2.75618,35,3,-2.17443,-0.134925,-0.084464
2.83493,36,0,2.41532,1.74069,0.0752911
2.83493,36,1,2.86428,-0.339192,-0.044465
2.83493,36,2,0.556652,-0.134801,0.0577683
2.83493,36,3,-2.18451,-0.127948,-0.0885945
2.91368,37,0,2.55184,1.73363,0.0896233
2.91368,37,1,2.83789,-0.335207,-0.0506061
2.91368,37,2,0.545704,-0.139025,0.0536391
2.91368,37,3,-2.19401,-0.120652,-0.0926563
2.99243,38,0,2.68772,1.72545,0.103886
2.99243,38,1,2.81184,-0.330742,-0.0567081
2.99243,38,2,0.534449,-0.14292,0.0494683
2.99243,38,3,-2.20291,-0.113041,-0.0966462
3.07117,39,0,2.82315,1.71977,0.0721487
3.07117,39,1,2.7859,-0.329415,-0.0168466
3.07117,39,2,0.522914,-0.146484,0.0452591
3.07117,39,3,-2.21119,-0.105122,-0.100561
3.14992,40,0,2.95848,1.71856,0.0153963
3.14992,40,1,2.75966,-0.333194,0.0479871
3.14992,40,2,0.511124,-0.149714,0.0410149
3.14992,40,3,-2.21882,-0.0969009,-0.104398
3.22867,41,0,3.09411,1.72233,-0.047913
3.22867,41,1,2.73272,-0.342134,0.113529
3.22867,41,2,0.49911,-0.152565,0.0362005
3.22867,41,3,-2.22579,-0.088568,-0.105817
3.30742,42,0,-3.05317,1.72582,-0.0443277
3.30742,42,1,2.70526,-0.348663,0.0829126
3.30742,42,2,0.486931,-0.154654,0.0265213
3.30742,42,3,-2.23224,-0.0818381,-0.0854617
3.38617,43,0,-2.9172,1.72663,-0.0103177
3.38617,43,1,2.67727,-0.355421,0.0858121
3.38617,43,2,0.474604,-0.156537,0.0239226
3.38617,43,3,-2.23809,-0.074257,-0.0962703
3.46491,44,0,-2.78119,1.72723,-0.00751933
3.46491,44,1,2.64865,-0.363511,0.102741
3.46491,44,2,0.46213,-0.158408,0.0237573
3.46491,44,3,-2.2432,-0.0648876,-0.118979
3.54366,45,0,-2.64521,1.7267,0.0066762
3.54366,45,1,2.61942,-0.371099,0.0963568
3.54366,45,2,0.449536,-0.159935,0.0193916
3.54366,45,3,-2.24755,-0.0552469,-0.122425
3.62241,46,0,-2.50937,1.72506,0.0208666
3.62241,46,1,2.58964,-0.378179,0.0898974
3.62241,46,2,0.436848,-0.161117,0.0150108
3.62241,46,3,-2.25112,-0.0453424,-0.125775
3.70116,47,0,-2.37368,1.72309,0.0250053
3.70116,47,1,2.55935,-0.384744,0.0833684
3.70116,47,2,0.424094,-0.161954,0.0106184
3.70116,47,3,-2.25395,-0.035972,-0.118992
3.77991,48,0,-2.23803,1.72259,0.00633261
3.77991,48,1,2.52857,-0.39079,0.0767747
3.77991,48,2,0.411302,-0.162443,0.00621782
3.77991,48,3,-2.25623,-0.0289378,-0.0893252
3.85865,49,0,-2.1021,1.72605,-0.0439305
3.85865,49,1,2.49736,-0.396311,0.0701216
3.85865,49,2,0.398499,-0.162586,0.00181237
3.85865,49,3,-2.25833,-0.0267326,-0.0280035
3.9374,50,0,-1.96566,1.73269,-0.084279
3.9374,50,1,2.46576,-0.401305,0.063414
3.9374,50,2,0.385712,-0.162382,-0.00259447
3.9374,50,3,-2.26058,-0.0285799,0.0234594
4.01615,51,0,-1.82857,1.74088,-0.104045
4.01615,51,1,2.43381,-0.405767,0.0566574
4.01615,51,2,0.372968,-0.16183,-0.00699931
4.01615,51,3,-2.26317,-0.0328628,0.0543865
4.0949,52,0,-1.69092,1.74799,-0.090241
4.0949,52,1,2.40155,-0.409693,0.0498568
4.0949,52,2,0.360295,-0.160933,-0.0113987
4.0949,52,3,-2.26608,-0.0369406,0.0517829
4.17365,53,0,-1.5528,1.75396,-0.0758411
4.17365,53,1,2.36902,-0.413081,0.0430175
4.17365,53,2,0.347719,-0.159689,-0.0157893
4.17365,53,3,-2.26929,-0.0407687,0.0486128
4.25239,54,0,-1.41429,1.75879,-0.0613824
4.25239,54,1,2.33626,-0.415927,0.0361449
4.25239,54,2,0.335269,-0.158101,-0.0201676
4.25239,54,3,-2.27278,-0.0443443,0.0454051
4.33114,55,0,-1.2755,1.76248,-0.0468762
4.33114,55,1,2.30333,-0.41823,0.0292443
4.33114,55,2,0.322971,-0.15617,-0.0245303
4.33114,55,3,-2.27654,-0.0476645,0.0421622
4.40989,56,0,-1.13651,1.76503,-0.0323336
4.40989,56,1,2.27025,-0.419988,0.022321
4.40989,56,2,0.310852,-0.153896,-0.028874
4.40989,56,3,-2.28053,-0.0507267,0.0388866
4.48864,57,0,-0.997406,1.76643,-0.0177659
4.48864,57,1,2.23709,-0.421199,0.0153805
4.48864,57,2,0.298939,-0.151282,-0.0331953
4.48864,57,3,-2.28475,-0.0535286,0.0355808
4.56739,58,0,-0.858284,1.76668,-0.00318452
4.56739,58,1,2.20387,-0.421862,0.00842796
4.56739,58,2,0.287258,-0.148329,-0.0374909
4.56739,58,3,-2.28916,-0.0560681,0.0322475
4.64613,59,0,-0.719232,1.76578,0.0113994
4.64613,59,1,2.17064,-0.421978,0.00146892
4.64613,59,2,0.275837,-0.145041,-0.0417574
4.64613,59,3,-2.29376,-0.058343,0.0288891
4.72488,60,0,-0.580341,1.76374,0.0259744
4.72488,60,1,2.13744,-0.421546,-0.00549126
4.72488,60,2,0.2647,-0.141419,-0.0459915
4.72488,60,3,-2.29851,-0.0603518,0.0255084
4.80363,61,0,-0.441702,1.76054,0.0405293
4.80363,61,1,2.10432,-0.420565,-0.0124472
4.80363,61,2,0.253875,-0.137467,-0.05019
4.80363,61,3,-2.3034,-0.0620927,0.0221079
4.88238,62,0,-0.303404,1.75621,0.0550528
4.88238,62,1,2.07132,-0.419038,-0.0193934
4.88238,62,2,0.243387,-0.133187,-0.0543496
4.88238,62,3,-2.3084,-0.0635645,0.0186902
4.96113,63,0,-0.165537,1.75073,0.0695336
4.96113,63,1,2.03849,-0.416965,-0.0263247
4.96113,63,2,0.233261,-0.128583,-0.0584671
4.96113,63,3,-2.3135,-0.0647661,0.0152581
5.03988,64,0,-0.0281906,1.74412,0.0839606
5.03988,64,1,2.00586,-0.414348,-0.0332355
5.03988,64,2,0.223523,-0.123658,-0.0625392
5.03988,64,3,-2.31868,-0.0656964,0.0118142
5.11862,65,0,0.108546,1.73638,0.0983224
5.11862,65,1,1.97348,-0.411189,-0.0401206
5.11862,65,2,0.214198,-0.118416,-0.0665629
5.11862,65,3,-2.3239,-0.0663548,0.00836105
5.19737,66,0,0.24489,1.7314,0.0632687
5.19737,66,1,1.94139,-0.407489,-0.0469745
5.19737,66,2,0.205005,-0.116747,-0.0211956
5.19737,66,3,-2.32916,-0.0667408,0.00490145
5.27612,67,0,0.38118,1.73071,0.00872721
5.27612,67,1,1.90963,-0.403253,-0.0537921
5.27612,67,2,0.195541,-0.120183,0.0436268
5.27612,67,3,-2.33442,-0.0668541,0.00143806
5.35487,68,0,0.517777,1.73461,-0.0495393
5.35487,68,1,1.87825,-0.398484,-0.060568
5.35487,68,2,0.185381,-0.129013,0.112134
5.35487,68,3,-2.33968,-0.0666945,-0.00202645
5.43362,69,0,0.654629,1.73784,-0.0410069
5.43362,69,1,1.84729,-0.393184,-0.0672969
5.43362,69,2,0.174516,-0.137974,0.113793
5.43362,69,3,-2.34489,-0.0662622,-0.00548939
5.51236,70,0,0.791646,1.73994,-0.0267069
5.51236,70,1,1.81679,-0.387359,-0.0739736
5.51236,70,2,0.162971,-0.146607,0.109629
5.51236,70,3,-2.35006,-0.0655576,-0.00894808
