t,n,i,position,velocity,E_i
2.1262,27,0,1.38959,1.00508,0.0791951
2.1262,27,1,0.144941,0.223282,0.127659
2.1262,27,2,1.85621,1.3755,-0.0624732
2.1262,27,3,2.64072,-0.28832,-0.144381
2.20495,28,0,1.46822,0.998511,0.0833904
2.20495,28,1,0.161754,0.213505,0.124159
2.20495,28,2,1.96487,1.3798,-0.0546317
2.20495,28,3,2.61897,-0.276278,-0.152917
2.28369,29,0,1.54631,0.991619,0.087521
2.28369,29,1,0.17782,0.204011,0.120562
2.28369,29,2,2.07382,1.38348,-0.0467479
2.28369,29,3,2.59821,-0.263573,-0.161335
2.36244,30,0,1.62383,0.984407,0.0915837
2.36244,30,1,0.19316,0.194807,0.116872
2.36244,30,2,2.183,1.38654,-0.0388278
2.36244,30,3,2.57851,-0.250215,-0.169628
2.44119,31,0,1.70076,0.97688,0.0955755
2.44119,31,1,0.2078,0.185901,0.113091
2.44119,31,2,2.29238,1.38897,-0.0308777
2.44119,31,3,2.55991,-0.236214,-0.177789
2.51994,32,0,1.77707,0.969045,0.0994932
2.51994,32,1,0.221762,0.1773,0.109223
2.51994,32,2,2.4019,1.39077,-0.0229036
2.51994,32,3,2.54246,-0.221582,-0.185812
2.59869,33,0,1.85274,0.960908,0.103334
2.59869,33,1,0.235071,0.169011,0.10527
2.59869,33,2,2.51169,1.39415,-0.0428087
2.59869,33,3,2.52604,-0.208526,-0.165795
2.67743,34,0,1.92774,0.952475,0.107094
2.67743,34,1,0.247753,0.161039,0.101235
2.67743,34,2,2.62208,1.40185,-0.0978873
2.67743,34,3,2.5103,-0.199829,-0.110442
2.75618,35,0,2.00206,0.943752,0.110772
2.75618,35,1,0.259832,0.15339,0.0971222
2.75618,35,2,2.73338,1.4133,-0.145371
2.75618,35,3,2.49495,-0.194905,-0.062523
2.83493,36,0,2.07567,0.934746,0.114363
2.83493,36,1,0.271335,0.146072,0.0929338
2.83493,36,2,2.8458,1.42759,-0.181439
2.83493,36,3,2.47976,-0.192869,-0.0258582
2.91368,37,0,2.14855,0.925464,0.117866
2.91368,37,1,0.282288,0.139089,0.0886734
2.91368,37,2,2.95932,1.44165,-0.178568
