t,n,i,j_left,x_grid(j_left),position,velocity,E_i
5.12286,46,1,22,1.1781,1.34618,0.187349,0.0140385
5.23423,47,0,9,-1.37445,-1.36722,-0.188912,-0.0127236
5.23423,47,1,22,1.1781,1.36722,0.188912,0.0127236
5.34559,48,0,8,-1.5708,-1.38841,-0.190329,-0.0113988
5.34559,48,1,23,1.37445,1.38841,0.190329,0.0113988
5.45696,49,0,8,-1.5708,-1.40975,-0.191598,-0.0100652
5.45696,49,1,23,1.37445,1.40975,0.191598,0.0100652
5.56833,50,0,8,-1.5708,-1.43122,-0.192719,-0.00872382
5.56833,50,1,23,1.37445,1.43122,0.192719,0.00872382
5.67969,51,0,8,-1.5708,-1.45279,-0.193691,-0.00737566
5.67969,51,1,23,1.37445,1.45279,0.193691,0.00737566
5.79106,52,0,8,-1.5708,-1.47445,-0.194512,-0.00602177
5.79106,52,1,23,1.37445,1.47445,0.194512,0.00602177
5.90243,53,0,8,-1.5708,-1.49618,-0.195183,-0.00466322
5.90243,53,1,23,1.37445,1.49618,0.195183,0.00466322
6.01379,54,0,8,-1.5708,-1.51798,-0.195702,-0.00330105
6.01379,54,1,23,1.37445,1.51798,0.195702,0.00330105
6.12516,55,0,8,-1.5708,-1.53982,-0.19607,-0.00193632
6.12516,55,1,23,1.37445,1.53982,0.19607,0.00193632
6.23653,56,0,8,-1.5708,-1.56167,-0.196286,-0.000570094
6.23653,56,1,23,1.37445,1.56167,0.196286,0.000570094
6.34789,57,0,7,-1.76715,-1.58354,-0.196349,0.000796575
6.34789,57,1,24,1.5708,1.58354,0.196349,-0.000796575
6.45926,58,0,7,-1.76715,-1.6054,-0.19626,0.00216263
6.45926,58,1,24,1.5708,1.6054,0.19626,-0.00216263
6.57063,59,0,7,-1.76715,-1.62723,-0.196019,0.003527
6.57063,59,1,24,1.5708,1.62723,0.196019,-0.003527
6.68199,60,0,7,-1.76715,-1.64901,-0.195627,0.00488865
6.68199,60,1,24,1.5708,1.64901,0.195627,-0.00488865
6.79336,61,0,7,-1.76715,-1.67074,-0.195082,0.0062465
6.79336,61,1,24,1.5708,1.67074,0.195082,-0.0062465
6.90473,62,0,7,-1.76715,-1.69239,-0.194387,0.00759951
6.90473,62,1,24,1.5708,1.69239,0.194387,-0.00759951
7.01609,63,0,7,-1.76715,-1.71394,-0.19354,0.00894663
7.01609,63,1,24,1.5708,1.71394,0.19354,-0.00894663
7.12746,64,0,7,-1.76715,-1.73539,-0.192544,0.0102868
7.12746,64,1,24,1.5708,1.73539,0.192544,-0.0102868
7.23883,65,0,7,-1.76715,-1.7567,-0.191398,0.011619
7.23883,65,1,24,1.5708,1.7567,0.191398,-0.011619
7.35019,66,0,6,-1.9635,-1.77787,-0.190104,0.0129422
7.35019,66,1,25,1.76715,1.77787,0.190104,-0.0129422
7.46156,67,0,6,-1.9635,-1.79888,-0.188663,0.0142554
7.46156,67,1,25,1.76715,1.79888,0.188663,-0.0142554
7.57293,68,0,6,-1.9635,-1.81972,-0.187075,0.0155575
7.57293,68,1,25,1.76715,1.81972,0.187075,-0.0155575
7.68429,69,0,6,-1.9635,-1.84036,-0.185343,0.0168476
7.68429,69,1,25,1.76715,1.84036,0.185343,-0.0168476
7.79566,70,0,6,-1.9635,-1.86079,-0.183467,0.0181246
7.79566,70,1,25,1.76715,1.86079,0.183467,-0.0181246
7.90703,71,0,6,-1.9635,-1.881,-0.181448,0.0193875
7.90703,71,1,25,1.76715,1.881,0.181448,-0.0193875
8.01839,72,0,6,-1.9635,-1.90096,-0.179289,0.0206355
8.01839,72,1,25,1.76715,1.90096,0.179289,-0.0206355
8.12976,73,0,6,-1.9635,-1.92067,-0.176991,0.0218674
8.12976,73,1,25,1.76715,1.92067,0.176991,-0.0218674
8.24113,74,0,6,-1.9635,-1.94011,-0.174556,0.0230824
8.24113,74,1,25,1.76715,1.94011,0.174556,-0.0230824
8.35249,75,0,6,-1.9635,-1.95927,-0.171985,0.0242795
8.35249,75,1,25,1.76715,1.95927,0.171985,-0.0242795
8.46386,76,0,5,-2.15984,-1.97812,-0.169281,0.0254577
8.46386,76,1,26,1.9635,1.97812,0.169281,-0.0254577
8.57523,77,0,5,-2.15984,-1.99666,-0.166446,0.0266163
8.57523,77,1,26,1.9635,1.99666,0.166446,-0.0266163
8.68659,78,0,5,-2.15984,-2.01486,-0.163482,0.0277542
8.68659,78,1,26,1.9635,2.01486,0.163482,-0.0277542
8.79796,79,0,5,-2.15984,-2.03272,-0.160391,0.0288705
8.79796,79,1,26,1.9635,2.03272,0.160391,-0.0288705
8.90932,80,0,5,-2.15984,-2.05023,-0.157176,0.0299645
8.90932,80,1,26,1.9635,2.05023,0.157176,-0.0299645
9.02069,81,0,5,-2.15984,-2.06736,-0.153839,0.0310353
9.02069,81,1,26,1.9635,2.06736,0.153839,-0.0310353
9.13206,82,0,5,-2.15984,-2.08411,-0.150382,0.032082
9.13206,82,1,26,1.9635,2.08411,0.150382,-0.032082
