t,n,i,position,velocity,E_i
5.67969,51,0,-1.53163,0.00240885,0.00168014
5.67969,51,1,1.56559,0.00977152,-0.00410408
5.79106,52,0,-1.53138,0.00222454,0.00165504
5.79106,52,1,1.56672,0.0102293,-0.00411034
5.90243,53,0,-1.53115,0.00204327,0.00162766
5.90243,53,1,1.56791,0.0106876,-0.00411586
6.01379,54,0,-1.53095,0.0018653,0.00159802
6.01379,54,1,1.56916,0.0111465,-0.00412064
6.12516,55,0,-1.53076,0.00169089,0.00156613
6.12516,55,1,1.57045,0.0116059,-0.00412471
6.23653,56,0,-1.53059,0.00152028,0.00153199
6.23653,56,1,1.57179,0.0120656,-0.00412807
6.34789,57,0,-1.53043,0.00139642,0.00111213
6.34789,57,1,1.57312,0.011885,0.00162169
6.45926,58,0,-1.53029,0.0012766,0.00107593
6.45926,58,1,1.57442,0.0117047,0.00161942
6.57063,59,0,-1.53016,0.00116079,0.00103991
6.57063,59,1,1.5757,0.0115245,0.00161752
6.68199,60,0,-1.53005,0.00104896,0.0010041
6.68199,60,1,1.57697,0.0113446,0.00161599
6.79336,61,0,-1.52994,0.000941107,0.000968494
6.79336,61,1,1.57821,0.0111647,0.0016148
6.90473,62,0,-1.52985,0.000837189,0.000933119
6.90473,62,1,1.57943,0.010985,0.00161396
7.01609,63,0,-1.52977,0.000737183,0.000897984
7.01609,63,1,1.58064,0.0108053,0.00161343
7.12746,64,0,-1.52969,0.000641062,0.000863106
7.12746,64,1,1.58182,0.0106257,0.00161322
7.23883,65,0,-1.52963,0.000548795,0.000828497
7.23883,65,1,1.58298,0.010446,0.0016133
7.35019,66,0,-1.52958,0.000460351,0.000794172
7.35019,66,1,1.58413,0.0102663,0.00161366
7.46156,67,0,-1.52954,0.000375697,0.000760145
7.46156,67,1,1.58525,0.0100865,0.00161429
7.57293,68,0,-1.52951,0.000294796,0.000726431
7.57293,68,1,1.58635,0.00990663,0.00161518
7.68429,69,0,-1.52948,0.000217614,0.000693044
7.68429,69,1,1.58744,0.00972663,0.00161631
7.79566,70,0,-1.52947,0.000144113,0.000659998
7.79566,70,1,1.5885,0.00954647,0.00161766
7.90703,71,0,-1.52946,7.42517e-05,0.000627307
7.90703,71,1,1.58954,0.00936614,0.00161924
8.01839,72,0,-1.52946,7.99018e-06,0.000594986
