i,x_i,v_i,E_i
0,-3.09259,5.35225e-05,6.63745e-05
1,-2.99458,0.000160568,0.000199124
2,-2.89658,0.00026365,0.000330317
3,-2.79859,0.000361528,0.000459465
4,-2.70058,0.000463114,0.000582691
5,-2.60255,0.000571002,0.000695554
6,-2.50453,0.000694674,0.000826293
7,-2.40652,0.000856651,0.000999539
8,-2.30856,0.000988269,0.00118986
9,-2.2107,0.00102186,0.00143803
10,-2.1128,0.00103127,0.00165906
11,-2.0147,0.000881463,0.00173388
12,-1.91652,0.000751656,0.00177282
13,-1.81847,0.000555267,0.00145494
14,-1.72022,0.000387658,0.00112534
15,-1.62058,0.000135589,0.00037695
16,-1.52094,-0.00011648,-0.000371436
17,-1.42186,-0.000355689,-0.000979515
18,-1.32282,-0.00059813,-0.00158633
19,-1.2248,-0.000728703,-0.00171262
20,-1.12706,-0.000897194,-0.00181112
21,-1.02892,-0.000983007,-0.00165308
22,-0.930769,-0.00107282,-0.00145819
23,-0.832925,-0.000991657,-0.00121941
24,-0.735156,-0.000870823,-0.000970313
25,-0.637131,-0.000717168,-0.000814812
26,-0.539012,-0.000550248,-0.000692796
27,-0.440989,-0.000444462,-0.000577301
28,-0.343015,-0.000369078,-0.000465009
29,-0.245019,-0.000271272,-0.000336299
30,-0.147008,-0.000158631,-0.000196737
31,-0.0490017,-5.13261e-05,-6.36854e-05
32,0.0490017,5.13261e-05,6.36854e-05
33,0.147008,0.000158631,0.000196737
34,0.245019,0.000271272,0.000336299
35,0.343015,0.000369078,0.000465009
36,0.440989,0.000444462,0.000577301
37,0.539012,0.000550248,0.000692796
38,0.637131,0.000717168,0.000814812
39,0.735156,0.000870823,0.000970313
40,0.832925,0.000991657,0.00121941
41,0.930769,0.00107282,0.00145819
42,1.02892,0.000983007,0.00165308
43,1.12706,0.000897194,0.00181112
44,1.2248,0.000728703,0.00171262
45,1.32282,0.00059813,0.00158633
46,1.42186,0.000355689,0.000979515
47,1.52094,0.00011648,0.000371436
48,1.62058,-0.000135589,-0.00037695
49,1.72022,-0.000387658,-0.00112534
50,1.81847,-0.000555267,-0.00145494
51,1.91652,-0.000751656,-0.00177282
52,2.0147,-0.000881463,-0.00173388
53,2.1128,-0.00103127,-0.00165906
54,2.2107,-0.00102186,-0.00143803
55,2.30856,-0.000988269,-0.00118986
56,2.40652,-0.000856651,-0.000999539
57,2.50453,-0.000694674,-0.000826293
58,2.60255,-0.000571002,-0.000695554
59,2.70058,-0.000463114,-0.000582691
60,2.79859,-0.000361528,-0.000459465
61,2.89658,-0.00026365,-0.000330317
62,2.99458,-0.000160568,-0.000199124
63,3.09259,-5.35225e-05,-6.63745e-05
