i,x_i,v_i,E_i
0,-3.09131,0.00302854,-0.003492
1,-2.99038,0.00915381,-0.0105015
2,-2.88878,0.0153089,-0.0191862
3,-2.78316,0.0225722,-0.0299537
4,-2.67946,0.028137,-0.042966
5,-2.57633,0.032753,-0.0579109
6,-2.46072,0.0398346,-0.0743818
7,-2.3679,0.0389681,-0.0874732
8,-2.2558,0.0437634,-0.0981042
9,-2.15823,0.0449654,-0.105132
10,-2.05557,0.0475219,-0.109375
11,-1.95927,0.0497225,-0.112131
12,-1.85678,0.0533708,-0.114395
13,-1.76107,0.0550619,-0.116202
14,-1.6603,0.0576839,-0.117467
15,-1.56231,0.058624,-0.118319
16,-1.46425,0.0588546,-0.118336
17,-1.36549,0.0583847,-0.117718
18,-1.26996,0.0564336,-0.116343
19,-1.17061,0.0546172,-0.114096
20,-1.07727,0.0506993,-0.111694
21,-0.977055,0.0486371,-0.108648
22,-0.883266,0.0453234,-0.10462
23,-0.78504,0.044254,-0.0976204
24,-0.695746,0.0402165,-0.0900825
25,-0.59768,0.0385843,-0.0746512
26,-0.511917,0.0321965,-0.0611559
27,-0.41814,0.0272588,-0.0462304
28,-0.326689,0.0219102,-0.0316658
29,-0.234412,0.0159763,-0.0212296
30,-0.141518,0.0100087,-0.0121202
31,-0.047237,0.00354568,-0.00381296
32,0.047237,-0.00354568,0.00381296
33,0.141518,-0.0100087,0.0121202
34,0.234412,-0.0159763,0.0212296
35,0.326689,-0.0219102,0.0316658
36,0.41814,-0.0272588,0.0462304
37,0.511917,-0.0321965,0.0611559
38,0.59768,-0.0385843,0.0746512
39,0.695746,-0.0402165,0.0900825
40,0.78504,-0.044254,0.0976204
41,0.883266,-0.0453234,0.10462
42,0.977055,-0.0486371,0.108648
43,1.07727,-0.0506993,0.111694
44,1.17061,-0.0546172,0.114096
45,1.26996,-0.0564336,0.116343
46,1.36549,-0.0583847,0.117718
47,1.46425,-0.0588546,0.118336
48,1.56231,-0.058624,0.118319
49,1.6603,-0.0576839,0.117467
50,1.76107,-0.0550619,0.116202
51,1.85678,-0.0533708,0.114395
52,1.95927,-0.0497225,0.112131
53,2.05557,-0.0475219,0.109375
54,2.15823,-0.0449654,0.105132
55,2.2558,-0.0437634,0.0981042
56,2.3679,-0.0389681,0.0874732
57,2.46072,-0.0398346,0.0743818
58,2.57633,-0.032753,0.0579109
59,2.67946,-0.028137,0.042966
60,2.78316,-0.0225722,0.0299537
61,2.88878,-0.0153089,0.0191862
62,2.99038,-0.00915381,0.0105015
63,3.09131,-0.00302854,0.003492
