i,x_i,v_i,E_i
0,-3.09021,0.00329469,-0.005053
1,-2.9873,0.00993931,-0.0151745
2,-2.88419,0.0158289,-0.0261766
3,-2.78022,0.020987,-0.0380379
4,-2.67571,0.0254046,-0.0509439
5,-2.57098,0.0283377,-0.0645949
6,-2.46449,0.0321982,-0.0772013
7,-2.36251,0.0337762,-0.0886134
8,-2.25864,0.0370567,-0.0973389
9,-2.1581,0.0396944,-0.104557
10,-2.05663,0.0429619,-0.110201
11,-1.95669,0.0456633,-0.115085
12,-1.85581,0.0486191,-0.118868
13,-1.75654,0.0503388,-0.122086
14,-1.65709,0.0518543,-0.123936
15,-1.5585,0.0525058,-0.125072
16,-1.46046,0.052506,-0.124943
17,-1.36264,0.0520894,-0.124006
18,-1.2659,0.0507229,-0.121996
19,-1.16899,0.0493327,-0.119028
20,-1.07347,0.0468121,-0.115274
21,-0.977466,0.0446236,-0.110407
22,-0.882958,0.0412978,-0.105036
23,-0.787903,0.038743,-0.0983237
24,-0.694225,0.0350863,-0.0908095
25,-0.600197,0.0320902,-0.0785944
26,-0.507266,0.0281533,-0.0665216
27,-0.414255,0.0239514,-0.0528059
28,-0.322003,0.0190926,-0.0391922
29,-0.2297,0.0139297,-0.0276791
30,-0.137835,0.00836337,-0.016728
31,-0.0458805,0.00281956,-0.00560379
32,0.0458805,-0.00281956,0.00560379
33,0.137835,-0.00836337,0.016728
34,0.2297,-0.0139297,0.0276791
35,0.322003,-0.0190926,0.0391922
36,0.414255,-0.0239514,0.0528059
37,0.507266,-0.0281533,0.0665216
38,0.600197,-0.0320902,0.0785944
39,0.694225,-0.0350863,0.0908095
40,0.787903,-0.038743,0.0983237
41,0.882958,-0.0412978,0.105036
42,0.977466,-0.0446236,0.110407
43,1.07347,-0.0468121,0.115274
44,1.16899,-0.0493327,0.119028
45,1.2659,-0.0507229,0.121996
46,1.36264,-0.0520894,0.124006
47,1.46046,-0.052506,0.124943
48,1.5585,-0.0525058,0.125072
49,1.65709,-0.0518543,0.123936
50,1.75654,-0.0503388,0.122086
51,1.85581,-0.0486191,0.118868
52,1.95669,-0.0456633,0.115085
53,2.05663,-0.0429619,0.110201
54,2.1581,-0.0396944,0.104557
55,2.25864,-0.0370567,0.0973389
56,2.36251,-0.0337762,0.0886134
57,2.46449,-0.0321982,0.0772013
58,2.57098,-0.0283377,0.0645949
59,2.67571,-0.0254046,0.0509439
60,2.78022,-0.020987,0.0380379
61,2.88419,-0.0158289,0.0261766
62,2.9873,-0.00993931,0.0151745
63,3.09021,-0.00329469,0.005053
