i,x_i,v_i,E_i
0,-3.09255,7.16148e-05,-1.68687e-05
1,-2.99445,0.000214844,-5.06062e-05
2,-2.89636,0.000353731,-8.35242e-05
3,-2.79829,0.000486915,-0.000115372
4,-2.7002,0.000617997,-0.000159277
5,-2.60209,0.000745292,-0.000223956
6,-2.50397,0.000898287,-0.000277879
7,-2.40584,0.00111291,-0.000306866
8,-2.30775,0.00131465,-0.000300249
9,-2.20983,0.00147617,-0.000178343
10,-2.11188,0.00160519,-5.24231e-05
11,-2.01385,0.0015309,9.35033e-05
12,-1.91574,0.00145892,0.000225058
13,-1.81787,0.00115001,0.00022518
14,-1.71977,0.000864033,0.000220734
15,-1.62042,0.000294262,7.12534e-05
16,-1.52107,-0.00027551,-7.82276e-05
17,-1.42226,-0.000764775,-0.000176529
18,-1.32347,-0.00125663,-0.000274316
19,-1.22555,-0.00140776,-0.000203297
20,-1.12793,-0.00158303,-0.00012151
21,-1.02981,-0.00156171,3.24396e-05
22,-0.931677,-0.00152757,0.000197547
23,-0.833737,-0.00133513,0.000279124
24,-0.735847,-0.00110619,0.000339851
25,-0.637702,-0.000910401,0.000297942
26,-0.53946,-0.000725353,0.000218021
27,-0.441355,-0.000597517,0.000158808
28,-0.343318,-0.00049813,0.000109952
29,-0.245241,-0.000365503,7.69903e-05
30,-0.147138,-0.000210853,5.46613e-05
31,-0.0490433,-6.71099e-05,2.14084e-05
32,0.0490433,6.71099e-05,-2.14084e-05
33,0.147138,0.000210853,-5.46613e-05
34,0.245241,0.000365503,-7.69903e-05
35,0.343318,0.00049813,-0.000109952
36,0.441355,0.000597517,-0.000158808
37,0.53946,0.000725353,-0.000218021
38,0.637702,0.000910401,-0.000297942
39,0.735847,0.00110619,-0.000339851
40,0.833737,0.00133513,-0.000279124
41,0.931677,0.00152757,-0.000197547
42,1.02981,0.00156171,-3.24396e-05
43,1.12793,0.00158303,0.00012151
44,1.22555,0.00140776,0.000203297
45,1.32347,0.00125663,0.000274316
46,1.42226,0.000764775,0.000176529
47,1.52107,0.00027551,7.82276e-05
48,1.62042,-0.000294262,-7.12534e-05
49,1.71977,-0.000864033,-0.000220734
50,1.81787,-0.00115001,-0.00022518
51,1.91574,-0.00145892,-0.000225058
52,2.01385,-0.0015309,-9.35033e-05
53,2.11188,-0.00160519,5.24231e-05
54,2.20983,-0.00147617,0.000178343
55,2.30775,-0.00131465,0.000300249
56,2.40584,-0.00111291,0.000306866
57,2.50397,-0.000898287,0.000277879
58,2.60209,-0.000745292,0.000223956
59,2.7002,-0.000617997,0.000159277
60,2.79829,-0.000486915,0.000115372
61,2.89636,-0.000353731,8.35242e-05
62,2.99445,-0.000214844,5.06062e-05
63,3.09255,-7.16148e-05,1.68687e-05
