i,x_i,v_i,E_i
0,-3.09613,0.000903884,0.0062189
1,-3.00513,0.00276396,0.0186656
2,-2.91387,0.0050318,0.0313988
3,-2.82211,0.00824361,0.0448716
4,-2.72987,0.0118642,0.0583571
5,-2.63681,0.0160762,0.0711627
6,-2.54306,0.020851,0.0840637
7,-2.44945,0.0235222,0.0933535
8,-2.35505,0.0265702,0.102312
9,-2.26107,0.0278305,0.109314
10,-2.16633,0.029214,0.115701
11,-2.07148,0.0298811,0.121016
12,-1.97577,0.0307506,0.125645
13,-1.87967,0.0312174,0.129187
14,-1.78275,0.0316183,0.131535
15,-1.68533,0.0318089,0.132952
16,-1.58717,0.0316975,0.132858
17,-1.48842,0.0315181,0.131964
18,-1.38903,0.0308421,0.129367
19,-1.28896,0.0302295,0.126057
20,-1.18836,0.0289876,0.120976
21,-1.08706,0.0278512,0.115244
22,-0.985333,0.0260575,0.107846
23,-0.88298,0.0243496,0.0998491
24,-0.780278,0.0220474,0.0904256
25,-0.677056,0.0197897,0.0804597
26,-0.573563,0.0170561,0.0693798
27,-0.469678,0.0143273,0.0578436
28,-0.365601,0.0112651,0.0455365
29,-0.261269,0.0081919,0.0329077
30,-0.156834,0.0049239,0.0198466
31,-0.0522772,0.00166903,0.00665772
32,0.0522772,-0.00166903,-0.00665772
33,0.156834,-0.0049239,-0.0198466
34,0.261269,-0.0081919,-0.0329077
35,0.365601,-0.0112651,-0.0455365
36,0.469678,-0.0143273,-0.0578436
37,0.573563,-0.0170561,-0.0693798
38,0.677056,-0.0197897,-0.0804597
39,0.780278,-0.0220474,-0.0904256
40,0.88298,-0.0243496,-0.0998491
41,0.985333,-0.0260575,-0.107846
42,1.08706,-0.0278512,-0.115244
43,1.18836,-0.0289876,-0.120976
44,1.28896,-0.0302295,-0.126057
45,1.38903,-0.0308421,-0.129367
46,1.48842,-0.0315181,-0.131964
47,1.58717,-0.0316975,-0.132858
48,1.68533,-0.0318089,-0.132952
49,1.78275,-0.0316183,-0.131535
50,1.87967,-0.0312174,-0.129187
51,1.97577,-0.0307506,-0.125645
52,2.07148,-0.0298811,-0.121016
53,2.16633,-0.029214,-0.115701
54,2.26107,-0.0278305,-0.109314
55,2.35505,-0.0265702,-0.102312
56,2.44945,-0.0235222,-0.0933535
57,2.54306,-0.020851,-0.0840637
58,2.63681,-0.0160762,-0.0711627
59,2.72987,-0.0118642,-0.0583571
60,2.82211,-0.00824361,-0.0448716
61,2.91387,-0.0050318,-0.0313988
62,3.00513,-0.00276396,-0.0186656
63,3.09613,-0.000903884,-0.0062189
