i,x_i,v_i,E_i
0,-3.09257,-6.77837e-05,3.10802e-05
1,-2.99453,-0.000203351,9.32407e-05
2,-2.89649,-0.000338918,0.000155401
3,-2.79845,-0.000474486,0.000217562
4,-2.70041,-0.000610053,0.000279722
5,-2.60237,-0.00074562,0.000341884
6,-2.50433,-0.000881193,0.000404017
7,-2.40629,-0.00101678,0.000466082
8,-2.30825,-0.0011521,0.000529074
9,-2.21021,-0.00128654,0.000595159
10,-2.11217,-0.00142677,0.000651346
11,-2.01414,-0.00159557,0.000656807
12,-1.91609,-0.0017388,0.000643908
13,-1.81781,-0.00167953,0.000457532
14,-1.7195,-0.00157551,0.000271443
15,-1.62036,-0.000523159,9.42906e-05
16,-1.52123,0.00052919,-8.28621e-05
17,-1.42238,0.0012511,-0.000270843
18,-1.32353,0.00196798,-0.000458942
19,-1.22546,0.00180379,-0.000587967
20,-1.12746,0.00156641,-0.000713094
21,-1.02943,0.00141977,-0.000665509
22,-0.931385,0.00128736,-0.000592203
23,-0.833344,0.00115238,-0.00052805
24,-0.735304,0.00101677,-0.000466143
25,-0.637263,0.000881187,-0.000404047
26,-0.539223,0.00074562,-0.000341883
27,-0.441182,0.000610053,-0.000279722
28,-0.343142,0.000474486,-0.000217562
29,-0.245101,0.000338918,-0.000155401
30,-0.147061,0.000203351,-9.32407e-05
31,-0.0490202,6.77837e-05,-3.10802e-05
32,0.0490202,-6.77837e-05,3.10802e-05
33,0.147061,-0.000203351,9.32407e-05
34,0.245101,-0.000338918,0.000155401
35,0.343142,-0.000474486,0.000217562
36,0.441182,-0.000610053,0.000279722
37,0.539223,-0.00074562,0.000341883
38,0.637263,-0.000881187,0.000404047
39,0.735304,-0.00101677,0.000466143
40,0.833344,-0.00115238,0.00052805
41,0.931385,-0.00128736,0.000592203
42,1.02943,-0.00141977,0.000665509
43,1.12746,-0.00156641,0.000713094
44,1.22546,-0.00180379,0.000587967
45,1.32353,-0.00196798,0.000458942
46,1.42238,-0.0012511,0.000270843
47,1.52123,-0.00052919,8.28621e-05
48,1.62036,0.000523159,-9.42906e-05
49,1.7195,0.00157551,-0.000271443
50,1.81781,0.00167953,-0.000457532
51,1.91609,0.0017388,-0.000643908
52,2.01414,0.00159557,-0.000656807
53,2.11217,0.00142677,-0.000651346
54,2.21021,0.00128654,-0.000595159
55,2.30825,0.0011521,-0.000529074
56,2.40629,0.00101678,-0.000466082
57,2.50433,0.000881193,-0.000404017
58,2.60237,0.00074562,-0.000341884
59,2.70041,0.000610053,-0.000279722
60,2.79845,0.000474486,-0.000217562
61,2.89649,0.000338918,-0.000155401
62,2.99453,0.000203351,-9.32407e-05
63,3.09257,6.77837e-05,-3.10802e-05
