i,x_i,v_i,E_i
0,-3.09258,-6.17061e-05,5.00918e-05
1,-2.99456,-0.000185118,0.000150275
2,-2.89654,-0.000309903,0.000248895
3,-2.79852,-0.000436478,0.000345462
4,-2.7005,-0.000558192,0.000444386
5,-2.60246,-0.000671576,0.000547423
6,-2.50445,-0.000789261,0.000658768
7,-2.40646,-0.000916715,0.000789781
8,-2.30847,-0.0010679,0.00089961
9,-2.21045,-0.00129442,0.000937887
10,-2.11239,-0.0014921,0.00094121
11,-2.0141,-0.00156098,0.000761894
12,-1.91578,-0.00157246,0.000580975
13,-1.81782,-0.00127896,0.000386603
14,-1.7197,-0.000945705,0.000194131
15,-1.62041,-0.000313999,6.78182e-05
16,-1.52112,0.000317708,-5.84948e-05
17,-1.42231,0.000836063,-0.000208382
18,-1.32351,0.00135002,-0.000358488
19,-1.22551,0.00152404,-0.000565823
20,-1.12771,0.00163375,-0.000776566
21,-1.02938,0.00149711,-0.000893257
22,-0.930989,0.00130933,-0.000995562
23,-0.833033,0.00109919,-0.000915563
24,-0.735183,0.000883826,-0.00079218
25,-0.637179,0.000765227,-0.000666017
26,-0.539119,0.000682518,-0.000538856
27,-0.441088,0.000566838,-0.000437131
28,-0.343073,0.000434534,-0.000347964
29,-0.245054,0.000308021,-0.000251352
30,-0.147032,0.00018538,-0.000149811
31,-0.0490105,6.20071e-05,-4.95614e-05
32,0.0490105,-6.20071e-05,4.95614e-05
33,0.147032,-0.00018538,0.000149811
34,0.245054,-0.000308021,0.000251352
35,0.343073,-0.000434534,0.000347964
36,0.441088,-0.000566838,0.000437131
37,0.539119,-0.000682518,0.000538856
38,0.637179,-0.000765227,0.000666017
39,0.735183,-0.000883826,0.00079218
40,0.833033,-0.00109919,0.000915563
41,0.930989,-0.00130933,0.000995562
42,1.02938,-0.00149711,0.000893257
43,1.12771,-0.00163375,0.000776566
44,1.22551,-0.00152404,0.000565823
45,1.32351,-0.00135002,0.000358488
46,1.42231,-0.000836063,0.000208382
47,1.52112,-0.000317708,5.84948e-05
48,1.62041,0.000313999,-6.78182e-05
49,1.7197,0.000945705,-0.000194131
50,1.81782,0.00127896,-0.000386603
51,1.91578,0.00157246,-0.000580975
52,2.0141,0.00156098,-0.000761894
53,2.11239,0.0014921,-0.00094121
54,2.21045,0.00129442,-0.000937887
55,2.30847,0.0010679,-0.00089961
56,2.40646,0.000916715,-0.000789781
57,2.50445,0.000789261,-0.000658768
58,2.60246,0.000671576,-0.000547423
59,2.7005,0.000558192,-0.000444386
60,2.79852,0.000436478,-0.000345462
61,2.89654,0.000309903,-0.000248895
62,2.99456,0.000185118,-0.000150275
63,3.09258,6.17061e-05,-5.00918e-05
