i,x_i,v_i,E_i
0,-3.09039,0.000272844,-0.00534597
1,-2.98759,0.000865965,-0.0160796
2,-2.88441,0.000539768,-0.0279574
3,-2.77707,0.00010958,-0.0413399
4,-2.6729,-0.00308428,-0.055721
5,-2.56996,-0.0080032,-0.0708189
6,-2.45367,-0.0111957,-0.0866205
7,-2.36377,-0.0199372,-0.0983939
8,-2.2509,-0.0215347,-0.108216
9,-2.1543,-0.0248097,-0.114877
10,-2.0509,-0.0251419,-0.119873
11,-1.95401,-0.0251237,-0.123879
12,-1.85016,-0.0234354,-0.127817
13,-1.7537,-0.0232949,-0.131349
14,-1.65185,-0.0217569,-0.133767
15,-1.55364,-0.0216194,-0.135549
16,-1.45523,-0.0212836,-0.135495
17,-1.35669,-0.0212901,-0.134489
18,-1.26195,-0.0220479,-0.131937
19,-1.1631,-0.0219795,-0.128102
20,-1.07141,-0.0239146,-0.124266
21,-0.971651,-0.0235844,-0.119753
22,-0.878859,-0.0241168,-0.115051
23,-0.779947,-0.0212403,-0.109077
24,-0.691525,-0.0206904,-0.102082
25,-0.59144,-0.0126527,-0.0867722
26,-0.506647,-0.0106536,-0.0738004
27,-0.412551,-0.00537217,-0.056918
28,-0.321059,-0.000756317,-0.0405029
29,-0.229939,0.000520169,-0.02812
30,-0.13849,0.00103913,-0.0166073
31,-0.0460685,0.000669316,-0.00542351
32,0.0460685,-0.000669316,0.00542351
33,0.13849,-0.00103913,0.0166073
34,0.229939,-0.000520169,0.02812
35,0.321059,0.000756317,0.0405029
36,0.412551,0.00537217,0.056918
37,0.506647,0.0106536,0.0738004
38,0.59144,0.0126527,0.0867722
39,0.691525,0.0206904,0.102082
40,0.779947,0.0212403,0.109077
41,0.878859,0.0241168,0.115051
42,0.971651,0.0235844,0.119753
43,1.07141,0.0239146,0.124266
44,1.1631,0.0219795,0.128102
45,1.26195,0.0220479,0.131937
46,1.35669,0.0212901,0.134489
47,1.45523,0.0212836,0.135495
48,1.55364,0.0216194,0.135549
49,1.65185,0.0217569,0.133767
50,1.7537,0.0232949,0.131349
51,1.85016,0.0234354,0.127817
52,1.95401,0.0251237,0.123879
53,2.0509,0.0251419,0.119873
54,2.1543,0.0248097,0.114877
55,2.2509,0.0215347,0.108216
56,2.36377,0.0199372,0.0983939
57,2.45367,0.0111957,0.0866205
58,2.56996,0.0080032,0.0708189
59,2.6729,0.00308428,0.055721
60,2.77707,-0.00010958,0.0413399
61,2.88441,-0.000539768,0.0279574
62,2.98759,-0.000865965,0.0160796
63,3.09039,-0.000272844,0.00534597
