i,x_i,v_i,E_i
0,-3.09122,0.00278795,-0.0036733
1,-2.99011,0.00843034,-0.0110468
2,-2.88833,0.0139611,-0.0201076
3,-2.78257,0.0203844,-0.0312445
4,-2.67872,0.024977,-0.0446071
5,-2.57534,0.0285461,-0.0598551
6,-2.45966,0.0344207,-0.0765383
7,-2.36686,0.0326517,-0.089748
8,-2.25457,0.0367063,-0.100461
9,-2.15721,0.0372954,-0.107592
10,-2.05431,0.0395168,-0.111946
11,-1.95795,0.0414635,-0.114852
12,-1.85547,0.0448777,-0.117227
13,-1.7595,0.0465128,-0.11914
14,-1.65875,0.0490589,-0.120486
15,-1.56084,0.0499373,-0.121427
16,-1.46258,0.0502273,-0.121448
17,-1.36392,0.0497637,-0.120813
18,-1.26845,0.0478608,-0.119325
19,-1.16916,0.0462149,-0.116915
20,-1.07596,0.0425017,-0.11436
21,-0.975799,0.0406961,-0.111177
22,-0.882082,0.0377147,-0.107038
23,-0.783839,0.0371626,-0.100117
24,-0.694679,0.0336502,-0.0925194
25,-0.596682,0.033116,-0.0768453
26,-0.511081,0.0277312,-0.0631537
27,-0.41742,0.02389,-0.0477661
28,-0.326073,0.0196174,-0.0327391
29,-0.233939,0.0144517,-0.0220082
30,-0.141215,0.00913901,-0.0126098
31,-0.0471257,0.00327273,-0.00398441
32,0.0471257,-0.00327273,0.00398441
33,0.141215,-0.00913901,0.0126098
34,0.233939,-0.0144517,0.0220082
35,0.326073,-0.0196174,0.0327391
36,0.41742,-0.02389,0.0477661
37,0.511081,-0.0277312,0.0631537
38,0.596682,-0.033116,0.0768453
39,0.694679,-0.0336502,0.0925194
40,0.783839,-0.0371626,0.100117
41,0.882082,-0.0377147,0.107038
42,0.975799,-0.0406961,0.111177
43,1.07596,-0.0425017,0.11436
44,1.16916,-0.0462149,0.116915
45,1.26845,-0.0478608,0.119325
46,1.36392,-0.0497637,0.120813
47,1.46258,-0.0502273,0.121448
48,1.56084,-0.0499373,0.121427
49,1.65875,-0.0490589,0.120486
50,1.7595,-0.0465128,0.11914
51,1.85547,-0.0448777,0.117227
52,1.95795,-0.0414635,0.114852
53,2.05431,-0.0395168,0.111946
54,2.15721,-0.0372954,0.107592
55,2.25457,-0.0367063,0.100461
56,2.36686,-0.0326517,0.089748
57,2.45966,-0.0344207,0.0765383
58,2.57534,-0.0285461,0.0598551
59,2.67872,-0.024977,0.0446071
60,2.78257,-0.0203844,0.0312445
61,2.88833,-0.0139611,0.0201076
62,2.99011,-0.00843034,0.0110468
63,3.09122,-0.00278795,0.0036733
