i,x_i,v_i,E_i
0,-3.13869,-9.99354e-05,7.97806e-05
1,-3.13289,-0.000293583,0.000252456
2,-3.12709,-0.000489292,0.000420749
3,-3.12129,-0.000684984,0.000589027
4,-3.11549,-0.000880649,0.000757282
5,-3.1097,-0.00107628,0.000925509
6,-3.1039,-0.00127187,0.0010937
7,-3.0981,-0.00146742,0.00126185
8,-3.0923,-0.00166273,0.00143459
9,-3.0865,-0.00185816,0.00159335
10,-3.0807,-0.00205382,0.00176599
11,-3.0749,-0.00224904,0.00193392
12,-3.0691,-0.00244421,0.00210177
13,-3.06329,-0.00263929,0.00226954
14,-3.05749,-0.00283429,0.00243723
15,-3.05169,-0.00302918,0.00260482
16,-3.04589,-0.00322395,0.00277231
17,-3.04009,-0.00341856,0.00294406
18,-3.03429,-0.00361295,0.00310262
19,-3.02849,-0.00380759,0.00327415
20,-3.02269,-0.00400183,0.00344119
21,-3.01688,-0.00419592,0.0036081
22,-3.01108,-0.00438984,0.00377487
23,-3.00528,-0.00458363,0.00394151
24,-2.99947,-0.00477722,0.00410799
25,-2.99367,-0.00497066,0.00427433
26,-2.98787,-0.00516388,0.00444388
27,-2.98206,-0.00535677,0.0046031
28,-2.97626,-0.0055498,0.00477232
29,-2.97045,-0.00574243,0.00493797
30,-2.96465,-0.00593482,0.00510343
31,-2.95884,-0.00612701,0.0052687
32,-2.95304,-0.006319,0.00543378
33,-2.94723,-0.00651074,0.00559865
34,-2.94142,-0.00670218,0.0057633
35,-2.93562,-0.00689338,0.00592823
36,-2.92981,-0.0070843,0.00609147
37,-2.924,-0.00727507,0.00625594
38,-2.91819,-0.00746551,0.00641969
39,-2.91238,-0.00765569,0.00658321
40,-2.90657,-0.00784551,0.00674646
41,-2.90076,-0.00803515,0.00690949
42,-2.89495,-0.00822433,0.00707222
43,-2.88914,-0.00841325,0.0072347
44,-2.88333,-0.00860193,0.00739692
45,-2.87752,-0.00879026,0.00756255
46,-2.87171,-0.00897812,0.00771679
47,-2.86589,-0.00916588,0.00788185
48,-2.86008,-0.00935321,0.00804292
49,-2.85426,-0.00954008,0.00820365
50,-2.84845,-0.00972666,0.0083641
51,-2.84263,-0.00991291,0.00852425
52,-2.83682,-0.0100988,0.00868407
53,-2.831,-0.0102842,0.00884353
54,-2.82518,-0.0104693,0.00900536
55,-2.81936,-0.0106539,0.00915884
56,-2.81354,-0.0108382,0.00931995
57,-2.80772,-0.0110222,0.0094781
58,-2.8019,-0.0112056,0.00963585
59,-2.79608,-0.0113886,0.00979325
60,-2.79026,-0.0115712,0.00995025
61,-2.78444,-0.0117535,0.0101069
62,-2.77861,-0.0119351,0.0102632
63,-2.77279,-0.0121165,0.0104191
64,-2.76696,-0.0122973,0.0105786
65,-2.76114,-0.0124774,0.0107257
66,-2.75531,-0.0126576,0.0108844
67,-2.74948,-0.0128369,0.0110386
68,-2.74366,-0.0130159,0.0111925
69,-2.73783,-0.0131944,0.011346
70,-2.732,-0.0133723,0.011499
71,-2.72617,-0.0135496,0.0116516
72,-2.72033,-0.0137267,0.0118037
73,-2.7145,-0.013903,0.0119554
74,-2.70867,-0.014079,0.0121104
75,-2.70283,-0.0142541,0.0122538
76,-2.697,-0.0144292,0.0124078
77,-2.69116,-0.0146034,0.0125577
78,-2.68532,-0.0147772,0.0127071
79,-2.67949,-0.0149502,0.012856
80,-2.67365,-0.015123,0.0130044
81,-2.66781,-0.015295,0.0131524
82,-2.66197,-0.0154663,0.0132998
83,-2.65612,-0.0156375,0.0134468
84,-2.65028,-0.0158075,0.0135963
85,-2.64444,-0.0159774,0.013736
86,-2.63859,-0.0161465,0.0138845
87,-2.63274,-0.0163147,0.0140294
88,-2.6269,-0.016483,0.0141738
89,-2.62105,-0.0166499,0.0143176
90,-2.6152,-0.0168167,0.0144609
91,-2.60935,-0.0169827,0.0146036
92,-2.6035,-0.017148,0.0147458
93,-2.59764,-0.0173128,0.0148875
94,-2.59179,-0.0174768,0.0150286
95,-2.58594,-0.0176402,0.0151718
96,-2.58008,-0.0178029,0.0153063
97,-2.57422,-0.017965,0.0154484
98,-2.56836,-0.0181263,0.0155872
99,-2.5625,-0.0182873,0.0157254
100,-2.55664,-0.0184471,0.0158629
101,-2.55078,-0.0186065,0.016
102,-2.54492,-0.0187651,0.0161364
103,-2.53905,-0.0189231,0.0162722
104,-2.53319,-0.0190801,0.0164073
105,-2.52732,-0.0192368,0.0165419
106,-2.52145,-0.0193924,0.0166787
107,-2.51558,-0.0195475,0.0168063
108,-2.50971,-0.0197018,0.0169419
109,-2.50384,-0.0198555,0.0170739
110,-2.49797,-0.020008,0.0172053
111,-2.49209,-0.0201604,0.0173361
112,-2.48622,-0.0203115,0.0174662
113,-2.48034,-0.020462,0.0175956
114,-2.47446,-0.0206118,0.0177244
115,-2.46858,-0.0207609,0.0178525
116,-2.4627,-0.0209089,0.0179799
117,-2.45682,-0.0210565,0.0181067
118,-2.45093,-0.021203,0.0182339
119,-2.44505,-0.0213489,0.0183571
120,-2.43916,-0.0214939,0.0184829
121,-2.43327,-0.0216381,0.0186069
122,-2.42738,-0.0217815,0.0187302
123,-2.42149,-0.0219242,0.0188528
124,-2.4156,-0.0220658,0.0189747
125,-2.40971,-0.0222068,0.0190959
126,-2.40381,-0.0223469,0.0192164
127,-2.39792,-0.022486,0.0193361
128,-2.39202,-0.0226246,0.0194551
129,-2.38612,-0.022762,0.0195734
130,-2.38022,-0.0228987,0.0196931
131,-2.37431,-0.0230346,0.0198056
132,-2.36841,-0.0231695,0.0199238
133,-2.36251,-0.0233036,0.0200391
134,-2.3566,-0.0234368,0.0201536
135,-2.35069,-0.0235691,0.0202674
136,-2.34478,-0.0237006,0.0203805
137,-2.33887,-0.0238311,0.0204927
138,-2.33296,-0.0239608,0.0206042
139,-2.32704,-0.0240896,0.0207149
140,-2.32112,-0.0242174,0.0208249
141,-2.31521,-0.0243442,0.020934
142,-2.30929,-0.0244703,0.0210424
143,-2.30337,-0.0245954,0.0211499
144,-2.29744,-0.0247196,0.021258
145,-2.29152,-0.0248428,0.0213614
146,-2.28559,-0.0249651,0.0214678
147,-2.27967,-0.0250865,0.0215722
148,-2.27374,-0.0252069,0.0216758
149,-2.26781,-0.0253264,0.0217785
150,-2.26188,-0.0254449,0.0218804
151,-2.25594,-0.0255624,0.0219815
152,-2.25001,-0.0256791,0.0220818
153,-2.24407,-0.0257946,0.0221812
154,-2.23813,-0.0259093,0.0222798
155,-2.23219,-0.026023,0.0223775
156,-2.22625,-0.0261357,0.0224744
157,-2.2203,-0.0262474,0.0225705
158,-2.21436,-0.0263581,0.0226657
159,-2.20841,-0.0264678,0.0227614
160,-2.20246,-0.0265766,0.0228523
161,-2.19651,-0.0266843,0.0229462
162,-2.19056,-0.0267911,0.023038
163,-2.1846,-0.0268968,0.0231289
164,-2.17865,-0.0270015,0.023219
165,-2.17269,-0.0271052,0.0233081
166,-2.16673,-0.0272079,0.0233964
167,-2.16077,-0.0273095,0.0234838
168,-2.15481,-0.0274101,0.0235704
169,-2.14884,-0.0275097,0.023656
170,-2.14288,-0.0276083,0.0237408
171,-2.13691,-0.0277058,0.0238246
172,-2.13094,-0.0278023,0.0239076
173,-2.12497,-0.0278977,0.0239896
174,-2.11899,-0.0279921,0.0240708
175,-2.11302,-0.0280853,0.024151
176,-2.10704,-0.0281777,0.0242307
177,-2.10106,-0.0282689,0.0243085
178,-2.09508,-0.028359,0.0243863
179,-2.0891,-0.0284481,0.0244629
180,-2.08311,-0.0285361,0.0245386
181,-2.07713,-0.028623,0.0246133
182,-2.07114,-0.0287089,0.0246871
183,-2.06515,-0.0287936,0.02476
184,-2.05915,-0.0288773,0.024832
185,-2.05316,-0.0289599,0.024903
186,-2.04716,-0.0290414,0.0249731
187,-2.04117,-0.0291218,0.0250423
188,-2.03517,-0.0292011,0.0251105
189,-2.02917,-0.0292793,0.0251777
190,-2.02316,-0.0293565,0.025244
191,-2.01716,-0.0294325,0.0253094
192,-2.01115,-0.0295073,0.0253738
193,-2.00514,-0.0295812,0.0254373
194,-1.99913,-0.0296538,0.0254997
195,-1.99312,-0.0297254,0.0255613
196,-1.9871,-0.0297958,0.0256219
197,-1.98109,-0.0298652,0.0256815
