i,x_i,v_i,E_i
0,-3.13867,-0.000116325,6.91084e-05
1,-3.13282,-0.000345277,0.000217312
2,-3.12698,-0.000575448,0.000362177
3,-3.12113,-0.000805597,0.000507029
4,-3.11528,-0.00103572,0.000651862
5,-3.10944,-0.0012658,0.00079667
6,-3.10359,-0.00149583,0.000941448
7,-3.09774,-0.0017258,0.00108619
8,-3.0919,-0.00195571,0.00123089
9,-3.08605,-0.00218555,0.00137559
10,-3.0802,-0.00241508,0.00152011
11,-3.07436,-0.00264504,0.00166469
12,-3.06851,-0.00287458,0.00180918
13,-3.06266,-0.00310402,0.0019536
14,-3.05682,-0.00333335,0.00209794
15,-3.05097,-0.00356256,0.0022422
16,-3.04512,-0.00379162,0.00238638
17,-3.03927,-0.00402056,0.00253047
18,-3.03342,-0.00424935,0.00267447
19,-3.02758,-0.00447797,0.00281836
20,-3.02173,-0.00470641,0.00296555
21,-3.01588,-0.00493462,0.00310241
22,-3.01003,-0.00516281,0.00324937
23,-3.00418,-0.00539072,0.00339281
24,-2.99833,-0.0056184,0.00353612
25,-2.99248,-0.0058459,0.0036793
26,-2.98663,-0.00607314,0.00382233
27,-2.98078,-0.00630019,0.00396523
28,-2.97493,-0.00652697,0.00410797
29,-2.96908,-0.00675354,0.00425056
30,-2.96323,-0.00697983,0.00439298
31,-2.95738,-0.00720583,0.00453712
32,-2.95153,-0.00743161,0.00467548
33,-2.94567,-0.00765716,0.00481927
34,-2.93982,-0.00788232,0.00496099
35,-2.93397,-0.00810718,0.00510253
36,-2.92811,-0.00833184,0.00524391
37,-2.92226,-0.00855609,0.00538506
38,-2.91641,-0.00878004,0.00552601
39,-2.91055,-0.0090037,0.00566676
40,-2.9047,-0.00922696,0.00580729
41,-2.89884,-0.00944996,0.00594844
42,-2.89299,-0.00967244,0.00608688
43,-2.88713,-0.00989468,0.00622756
44,-2.88127,-0.0101166,0.0063672
45,-2.87541,-0.0103381,0.00650659
46,-2.86956,-0.0105591,0.00664572
47,-2.8637,-0.0107798,0.00678462
48,-2.85784,-0.0110001,0.00692326
49,-2.85198,-0.0112199,0.00706163
50,-2.84612,-0.0114394,0.00719974
51,-2.84026,-0.0116584,0.00733759
52,-2.8344,-0.011877,0.00747638
53,-2.82854,-0.012095,0.0076112
54,-2.82268,-0.0123128,0.00774943
55,-2.81681,-0.0125299,0.00788613
56,-2.81095,-0.0127466,0.00802253
57,-2.80509,-0.012963,0.00815866
58,-2.79922,-0.0131787,0.00829444
59,-2.79336,-0.013394,0.00842994
60,-2.78749,-0.0136087,0.00856509
61,-2.78162,-0.0138231,0.00869996
62,-2.77576,-0.0140367,0.00883446
63,-2.76989,-0.0142499,0.00896866
64,-2.76402,-0.0144626,0.00910358
65,-2.75815,-0.0146746,0.00923492
66,-2.75228,-0.0148864,0.00936917
67,-2.74641,-0.0150972,0.00950195
68,-2.74054,-0.0153077,0.00963442
69,-2.73467,-0.0155176,0.0097665
70,-2.7288,-0.0157269,0.00989822
71,-2.72292,-0.0159355,0.0100296
72,-2.71705,-0.0161437,0.0101605
73,-2.71117,-0.016351,0.0102911
74,-2.7053,-0.016558,0.0104213
75,-2.69942,-0.0167642,0.0105537
76,-2.69355,-0.0169698,0.010678
77,-2.68767,-0.0171747,0.0108095
78,-2.68179,-0.0173792,0.0109381
79,-2.67591,-0.0175827,0.0110663
80,-2.67003,-0.0177858,0.0111941
81,-2.66415,-0.0179882,0.0113214
82,-2.65826,-0.0181897,0.0114483
83,-2.65238,-0.0183909,0.0115748
84,-2.6465,-0.018591,0.0117009
85,-2.64061,-0.0187907,0.0118265
86,-2.63473,-0.0189895,0.0119517
87,-2.62884,-0.0191876,0.0120788
88,-2.62295,-0.0193852,0.0121982
89,-2.61706,-0.0195817,0.0123245
90,-2.61118,-0.0197779,0.0124478
91,-2.60528,-0.019973,0.0125707
92,-2.59939,-0.0201675,0.0126931
93,-2.5935,-0.0203612,0.012815
94,-2.58761,-0.0205542,0.0129364
95,-2.58171,-0.0207464,0.0130574
96,-2.57582,-0.0209377,0.0131778
97,-2.56992,-0.0211283,0.0132978
98,-2.56403,-0.0213181,0.0134173
99,-2.55813,-0.0215072,0.0135362
100,-2.55223,-0.0216953,0.0136556
101,-2.54633,-0.0218827,0.0137717
102,-2.54043,-0.0220693,0.01389
103,-2.53452,-0.0222551,0.0140069
104,-2.52862,-0.0224398,0.0141233
105,-2.52272,-0.022624,0.0142391
106,-2.51681,-0.0228072,0.0143544
107,-2.51091,-0.0229894,0.0144692
108,-2.505,-0.023171,0.0145834
109,-2.49909,-0.0233516,0.0146971
110,-2.49318,-0.0235312,0.0148102
111,-2.48727,-0.0237102,0.0149227
112,-2.48136,-0.023888,0.0150347
113,-2.47544,-0.0240651,0.015148
114,-2.46953,-0.0242412,0.0152551
115,-2.46361,-0.0244164,0.0153673
116,-2.4577,-0.0245907,0.015477
117,-2.45178,-0.0247641,0.0155861
118,-2.44586,-0.0249365,0.0156946
119,-2.43994,-0.0251081,0.0158026
120,-2.43402,-0.0252786,0.0159099
121,-2.4281,-0.0254482,0.0160167
122,-2.42217,-0.0256168,0.0161228
123,-2.41625,-0.0257846,0.0162283
124,-2.41032,-0.0259513,0.0163333
125,-2.40439,-0.0261169,0.0164376
126,-2.39846,-0.0262818,0.0165413
127,-2.39253,-0.0264455,0.0166461
128,-2.3866,-0.0266083,0.016745
129,-2.38067,-0.02677,0.0168486
130,-2.37474,-0.0269308,0.0169498
131,-2.3688,-0.0270906,0.0170503
132,-2.36287,-0.0272492,0.0171502
133,-2.35693,-0.027407,0.0172495
134,-2.35099,-0.0275636,0.0173481
135,-2.34505,-0.0277193,0.017446
136,-2.33911,-0.0278738,0.0175433
137,-2.33317,-0.0280273,0.0176399
138,-2.32722,-0.0281799,0.0177359
139,-2.32128,-0.0283313,0.0178312
140,-2.31533,-0.0284816,0.0179258
141,-2.30938,-0.0286309,0.0180198
142,-2.30343,-0.0287791,0.0181131
143,-2.29748,-0.0289262,0.018206
144,-2.29153,-0.0290723,0.0182973
145,-2.28558,-0.0292172,0.0183888
146,-2.27962,-0.029361,0.0184793
147,-2.27366,-0.0295038,0.0185692
148,-2.26771,-0.0296454,0.0186583
149,-2.26175,-0.0297859,0.0187467
150,-2.25579,-0.0299253,0.0188344
151,-2.24982,-0.0300635,0.0189215
152,-2.24386,-0.0302007,0.0190078
153,-2.2379,-0.0303366,0.0190933
154,-2.23193,-0.0304715,0.0191782
155,-2.22596,-0.0306052,0.0192624
156,-2.21999,-0.0307377,0.0193458
157,-2.21402,-0.0308691,0.0194285
158,-2.20805,-0.0309993,0.0195104
159,-2.20208,-0.0311283,0.0195917
160,-2.1961,-0.0312563,0.0196732
161,-2.19013,-0.0313829,0.0197509
