i,x_i,v_i,E_i
0,-3.09259,-5.38697e-05,6.54917e-05
1,-2.99458,-0.000161609,0.000196475
2,-2.89658,-0.000270945,0.000325753
3,-2.79858,-0.000382365,0.000452787
4,-2.70057,-0.000488619,0.000581833
5,-2.60255,-0.000586009,0.000714398
6,-2.50455,-0.000686456,0.000856939
7,-2.40658,-0.000793721,0.00102322
8,-2.30861,-0.000927515,0.00117041
9,-2.21062,-0.00114615,0.00125266
10,-2.11258,-0.00134097,0.00129635
11,-2.0143,-0.00143351,0.0011356
12,-1.91599,-0.00146936,0.000965077
13,-1.81799,-0.00120664,0.000704598
14,-1.71982,-0.000904093,0.000442859
15,-1.62045,-0.000299663,0.000151316
16,-1.52108,0.000304767,-0.000140226
17,-1.4222,0.000794484,-0.000423476
18,-1.32333,0.00127979,-0.000706606
19,-1.22531,0.00142374,-0.000938109
20,-1.1275,0.00150332,-0.00116596
21,-1.02918,0.00135252,-0.00124976
22,-0.930821,0.001153,-0.00131199
23,-0.832893,0.000956452,-0.00118907
24,-0.73507,0.000760679,-0.00102257
25,-0.637081,0.000661497,-0.000862892
26,-0.539031,0.000598143,-0.000705646
27,-0.441015,0.000498283,-0.000574271
28,-0.343017,0.000380057,-0.00045562
29,-0.245014,0.000268705,-0.000328547
30,-0.147008,0.000161941,-0.000195908
31,-0.0490026,5.42504e-05,-6.48444e-05
32,0.0490026,-5.42504e-05,6.48444e-05
33,0.147008,-0.000161941,0.000195908
34,0.245014,-0.000268705,0.000328547
35,0.343017,-0.000380057,0.00045562
36,0.441015,-0.000498283,0.000574271
37,0.539031,-0.000598143,0.000705646
38,0.637081,-0.000661497,0.000862892
39,0.73507,-0.000760679,0.00102257
40,0.832893,-0.000956452,0.00118907
41,0.930821,-0.001153,0.00131199
42,1.02918,-0.00135252,0.00124976
43,1.1275,-0.00150332,0.00116596
44,1.22531,-0.00142374,0.000938109
45,1.32333,-0.00127979,0.000706606
46,1.4222,-0.000794484,0.000423476
47,1.52108,-0.000304767,0.000140226
48,1.62045,0.000299663,-0.000151316
49,1.71982,0.000904093,-0.000442859
50,1.81799,0.00120664,-0.000704598
51,1.91599,0.00146936,-0.000965077
52,2.0143,0.00143351,-0.0011356
53,2.11258,0.00134097,-0.00129635
54,2.21062,0.00114615,-0.00125266
55,2.30861,0.000927515,-0.00117041
56,2.40658,0.000793721,-0.00102322
57,2.50455,0.000686456,-0.000856939
58,2.60255,0.000586009,-0.000714398
59,2.70057,0.000488619,-0.000581833
60,2.79858,0.000382365,-0.000452787
61,2.89658,0.000270945,-0.000325753
62,2.99458,0.000161609,-0.000196475
63,3.09259,5.38697e-05,-6.54917e-05
