i,x_i,v_i,E_i
0,-3.09228,0.00366782,-0.00145232
1,-2.99331,0.0110762,-0.00436715
2,-2.89373,0.0189719,-0.00873608
3,-2.79052,0.0285713,-0.0150571
4,-2.68878,0.0371233,-0.0235017
5,-2.58741,0.0454118,-0.0344405
6,-2.47433,0.0566447,-0.0470023
7,-2.38161,0.0591911,-0.0575716
8,-2.27121,0.0668465,-0.0666162
9,-2.17419,0.0698097,-0.0719195
10,-2.0724,0.073427,-0.0751387
11,-1.9768,0.0761461,-0.0763457
12,-1.87544,0.0801925,-0.0772066
13,-1.78026,0.0821453,-0.0776117
14,-1.68029,0.084965,-0.0779414
15,-1.5826,0.0860291,-0.0781373
16,-1.48461,0.0862788,-0.0781856
17,-1.3857,0.0857042,-0.0779715
18,-1.28956,0.0835438,-0.0775798
19,-1.18963,0.0813287,-0.0767055
20,-1.09508,0.076987,-0.0757709
21,-0.994189,0.0743429,-0.0743374
22,-0.899324,0.0701779,-0.0721703
23,-0.800567,0.0668828,-0.0644225
24,-0.709868,0.0607096,-0.0573068
25,-0.61091,0.0551873,-0.0455779
26,-0.522901,0.0453585,-0.0351295
27,-0.427303,0.0371715,-0.0263187
28,-0.333924,0.0287323,-0.0182179
29,-0.239637,0.0204836,-0.0119146
30,-0.144759,0.0125132,-0.00644852
31,-0.048372,0.00430554,-0.00188404
32,0.048372,-0.00430554,0.00188404
33,0.144759,-0.0125132,0.00644852
34,0.239637,-0.0204836,0.0119146
35,0.333924,-0.0287323,0.0182179
36,0.427303,-0.0371715,0.0263187
37,0.522901,-0.0453585,0.0351295
38,0.61091,-0.0551873,0.0455779
39,0.709868,-0.0607096,0.0573068
40,0.800567,-0.0668828,0.0644225
41,0.899324,-0.0701779,0.0721703
42,0.994189,-0.0743429,0.0743374
43,1.09508,-0.076987,0.0757709
44,1.18963,-0.0813287,0.0767055
45,1.28956,-0.0835438,0.0775798
46,1.3857,-0.0857042,0.0779715
47,1.48461,-0.0862788,0.0781856
48,1.5826,-0.0860291,0.0781373
49,1.68029,-0.084965,0.0779414
50,1.78026,-0.0821453,0.0776117
51,1.87544,-0.0801925,0.0772066
52,1.9768,-0.0761461,0.0763457
53,2.0724,-0.073427,0.0751387
54,2.17419,-0.0698097,0.0719195
55,2.27121,-0.0668465,0.0666162
56,2.38161,-0.0591911,0.0575716
57,2.47433,-0.0566447,0.0470023
58,2.58741,-0.0454118,0.0344405
59,2.68878,-0.0371233,0.0235017
60,2.79052,-0.0285713,0.0150571
61,2.89373,-0.0189719,0.00873608
62,2.99331,-0.0110762,0.00436715
63,3.09228,-0.00366782,0.00145232
