i,x_i,v_i,E_i
0,-3.09253,-6.04042e-05,-5.07939e-05
1,-2.9944,-0.000181213,-0.000152382
2,-2.89628,-0.000302515,-0.000254737
3,-2.79816,-0.000424459,-0.000358092
4,-2.70003,-0.000543628,-0.000458769
5,-2.6019,-0.000658068,-0.000554865
6,-2.50378,-0.000779733,-0.000650938
7,-2.40568,-0.000918019,-0.000746962
8,-2.30756,-0.0010622,-0.000865276
9,-2.20939,-0.00122303,-0.00105524
10,-2.11119,-0.00134017,-0.00124702
11,-2.0129,-0.00125349,-0.00144741
12,-1.91463,-0.00112796,-0.00160027
13,-1.81691,-0.000852155,-0.00137198
14,-1.71905,-0.000545541,-0.00112376
15,-1.62019,-0.0001812,-0.000376258
16,-1.52133,0.000183141,0.000371241
17,-1.42289,0.00051499,0.000952439
18,-1.32446,0.000843399,0.00153152
19,-1.22662,0.00109528,0.00154735
20,-1.12896,0.00130193,0.00152002
21,-1.03057,0.00130914,0.00128957
22,-0.932082,0.0012731,0.00102465
23,-0.833967,0.00109934,0.000865662
24,-0.735941,0.000891974,0.000733677
25,-0.637831,0.000763066,0.000640121
26,-0.539691,0.000663335,0.000560839
27,-0.441561,0.00054764,0.000463506
28,-0.343438,0.000423819,0.000357038
29,-0.245313,0.000301904,0.000253717
30,-0.147188,0.000181272,0.00015251
31,-0.0490626,6.04731e-05,5.09424e-05
32,0.0490626,-6.04731e-05,-5.09424e-05
33,0.147188,-0.000181272,-0.00015251
34,0.245313,-0.000301904,-0.000253717
35,0.343438,-0.000423819,-0.000357038
36,0.441561,-0.00054764,-0.000463506
37,0.539691,-0.000663335,-0.000560839
38,0.637831,-0.000763066,-0.000640121
39,0.735941,-0.000891974,-0.000733677
40,0.833967,-0.00109934,-0.000865662
41,0.932082,-0.0012731,-0.00102465
42,1.03057,-0.00130914,-0.00128957
43,1.12896,-0.00130193,-0.00152002
44,1.22662,-0.00109528,-0.00154735
45,1.32446,-0.000843399,-0.00153152
46,1.42289,-0.00051499,-0.000952439
47,1.52133,-0.000183141,-0.000371241
48,1.62019,0.0001812,0.000376258
49,1.71905,0.000545541,0.00112376
50,1.81691,0.000852155,0.00137198
51,1.91463,0.00112796,0.00160027
52,2.0129,0.00125349,0.00144741
53,2.11119,0.00134017,0.00124702
54,2.20939,0.00122303,0.00105524
55,2.30756,0.0010622,0.000865276
56,2.40568,0.000918019,0.000746962
57,2.50378,0.000779733,0.000650938
58,2.6019,0.000658068,0.000554865
59,2.70003,0.000543628,0.000458769
60,2.79816,0.000424459,0.000358092
61,2.89628,0.000302515,0.000254737
62,2.9944,0.000181213,0.000152382
63,3.09253,6.04042e-05,5.07939e-05
