i,x_i,v_i,E_i
0,-3.09258,6.27981e-05,4.87574e-05
1,-2.99456,0.000188394,0.000146272
2,-2.89654,0.000309807,0.000242611
3,-2.79852,0.000425726,0.000337406
4,-2.7005,0.000544317,0.000424767
5,-2.60245,0.000667399,0.000499161
6,-2.50441,0.000809032,0.000590627
7,-2.40638,0.000995535,0.000722467
8,-2.30839,0.00115474,0.000876684
9,-2.21052,0.00122623,0.00110599
10,-2.11261,0.00126971,0.00131472
11,-2.01454,0.00113343,0.00141416
12,-1.91638,0.00101171,0.00148089
13,-1.81836,0.000769552,0.00122764
14,-1.72014,0.000554383,0.000963556
15,-1.62055,0.000191386,0.000322039
16,-1.52096,-0.00017161,-0.000319478
17,-1.42193,-0.000500469,-0.000833858
18,-1.32293,-0.000832366,-0.00134707
19,-1.22493,-0.000979728,-0.00142768
20,-1.12723,-0.00116077,-0.00148276
21,-1.0291,-0.00122099,-0.00131575
22,-0.930957,-0.0012797,-0.00111637
23,-0.833096,-0.00116271,-0.000905151
24,-0.735306,-0.00100495,-0.000691125
25,-0.637255,-0.00082955,-0.000576734
26,-0.539107,-0.000646336,-0.000498261
27,-0.441066,-0.000524891,-0.000420498
28,-0.343079,-0.00043416,-0.000343086
29,-0.245066,-0.000318391,-0.00024887
30,-0.147036,-0.000186057,-0.000143518
31,-0.0490106,-6.01503e-05,-4.56591e-05
32,0.0490106,6.01503e-05,4.56591e-05
33,0.147036,0.000186057,0.000143518
34,0.245066,0.000318391,0.00024887
35,0.343079,0.00043416,0.000343086
36,0.441066,0.000524891,0.000420498
37,0.539107,0.000646336,0.000498261
38,0.637255,0.00082955,0.000576734
39,0.735306,0.00100495,0.000691125
40,0.833096,0.00116271,0.000905151
41,0.930957,0.0012797,0.00111637
42,1.0291,0.00122099,0.00131575
43,1.12723,0.00116077,0.00148276
44,1.22493,0.000979728,0.00142768
45,1.32293,0.000832366,0.00134707
46,1.42193,0.000500469,0.000833858
47,1.52096,0.00017161,0.000319478
48,1.62055,-0.000191386,-0.000322039
49,1.72014,-0.000554383,-0.000963556
50,1.81836,-0.000769552,-0.00122764
51,1.91638,-0.00101171,-0.00148089
52,2.01454,-0.00113343,-0.00141416
53,2.11261,-0.00126971,-0.00131472
54,2.21052,-0.00122623,-0.00110599
55,2.30839,-0.00115474,-0.000876684
56,2.40638,-0.000995535,-0.000722467
57,2.50441,-0.000809032,-0.000590627
58,2.60245,-0.000667399,-0.000499161
59,2.7005,-0.000544317,-0.000424767
60,2.79852,-0.000425726,-0.000337406
61,2.89654,-0.000309807,-0.000242611
62,2.99456,-0.000188394,-0.000146272
63,3.09258,-6.27981e-05,-4.87574e-05
