i,x_i,v_i,E_i
0,-3.13874,-3.202e-05,0.000101121
1,-3.13303,-7.77017e-05,0.000321287
2,-3.12732,-0.0001295,0.000535464
3,-3.12162,-0.000181292,0.000749622
4,-3.11591,-0.000233079,0.000963751
5,-3.1102,-0.000284856,0.00117784
6,-3.10449,-0.000335441,0.00139892
7,-3.09878,-0.000388273,0.00159856
8,-3.09308,-0.000440849,0.00181991
9,-3.08737,-0.000492101,0.00203376
10,-3.08166,-0.000543663,0.00224753
11,-3.07595,-0.000595289,0.00246122
12,-3.07024,-0.000646926,0.00267482
13,-3.06453,-0.000698235,0.00289386
14,-3.05882,-0.000749287,0.00309605
15,-3.05311,-0.00080228,0.00331502
16,-3.0474,-0.000853498,0.00352819
17,-3.04169,-0.000904918,0.00374122
18,-3.03598,-0.000956364,0.00395411
19,-3.03027,-0.00100778,0.00416685
20,-3.02456,-0.00105917,0.00438167
21,-3.01885,-0.00110948,0.00458952
22,-3.01314,-0.00116233,0.00480406
23,-3.00743,-0.00121334,0.00501615
24,-3.00171,-0.00126449,0.00522803
25,-2.996,-0.00131566,0.00543972
26,-2.99029,-0.00136675,0.00565117
27,-2.98457,-0.00141784,0.00586244
28,-2.97886,-0.00146794,0.00607656
29,-2.97315,-0.00152021,0.00628114
30,-2.96743,-0.00157094,0.00649485
31,-2.96171,-0.0016217,0.00670519
32,-2.956,-0.0016725,0.00691528
33,-2.95028,-0.00172325,0.00712512
34,-2.94457,-0.0017739,0.00733464
35,-2.93885,-0.00182393,0.00755068
36,-2.93313,-0.00187502,0.00774608
37,-2.92741,-0.00192564,0.00796158
38,-2.92169,-0.00197598,0.00816999
39,-2.91597,-0.00202628,0.0083781
40,-2.91025,-0.00207649,0.00858585
41,-2.90453,-0.00212671,0.00879335
42,-2.89881,-0.00217664,0.00900618
43,-2.89309,-0.00222626,0.00920141
44,-2.88736,-0.00227683,0.00941363
45,-2.88164,-0.00232663,0.00961975
46,-2.87591,-0.00237628,0.00982543
47,-2.87019,-0.00242597,0.0100308
48,-2.86446,-0.00247556,0.0102358
49,-2.85873,-0.00252497,0.0104403
50,-2.85301,-0.00257378,0.0106478
51,-2.84728,-0.00262375,0.0108451
52,-2.84155,-0.00267296,0.0110517
53,-2.83582,-0.00272199,0.0112547
54,-2.83009,-0.00277096,0.0114572
55,-2.82436,-0.00281973,0.0116593
56,-2.81862,-0.00286851,0.011861
57,-2.81289,-0.00291718,0.0120682
58,-2.80716,-0.00296542,0.0122571
59,-2.80142,-0.00301435,0.0124633
60,-2.79568,-0.00306256,0.0126631
61,-2.78995,-0.00311086,0.0128626
62,-2.78421,-0.00315884,0.0130614
63,-2.77847,-0.00320687,0.0132598
64,-2.77273,-0.00325472,0.0134577
65,-2.76699,-0.0033021,0.0136607
66,-2.76124,-0.00335005,0.0138463
67,-2.7555,-0.00339758,0.0140482
68,-2.74976,-0.00344492,0.0142441
69,-2.74401,-0.0034922,0.0144394
70,-2.73826,-0.00353926,0.0146341
71,-2.73252,-0.00358607,0.0148283
72,-2.72677,-0.00363306,0.015022
73,-2.72102,-0.00367937,0.0152181
74,-2.71527,-0.00372627,0.0154043
75,-2.70951,-0.00377267,0.0155994
76,-2.70376,-0.00381906,0.0157908
77,-2.69801,-0.00386507,0.0159814
78,-2.69225,-0.00391112,0.0161716
79,-2.68649,-0.0039568,0.0163611
80,-2.68073,-0.00400261,0.01655
81,-2.67498,-0.00404788,0.0167414
82,-2.66921,-0.00409329,0.0169227
83,-2.66345,-0.00413881,0.017113
84,-2.65769,-0.00418374,0.0172993
85,-2.65192,-0.00422877,0.0174851
86,-2.64616,-0.0042735,0.0176701
87,-2.64039,-0.00431789,0.0178544
88,-2.63462,-0.0043626,0.0180383
89,-2.62885,-0.00440657,0.0182264
90,-2.62308,-0.00445082,0.0183984
91,-2.61731,-0.00449481,0.0185853
92,-2.61153,-0.00453849,0.0187662
93,-2.60576,-0.0045822,0.0189465
94,-2.59998,-0.00462561,0.019126
95,-2.5942,-0.00466874,0.0193048
96,-2.58842,-0.00471185,0.0194829
97,-2.58264,-0.00475472,0.0196626
98,-2.57686,-0.0047972,0.0198345
99,-2.57107,-0.00484022,0.0200129
100,-2.56529,-0.00488229,0.0201879
101,-2.5595,-0.00492452,0.0203623
102,-2.55371,-0.00496657,0.0205359
103,-2.54792,-0.00500838,0.0207087
104,-2.54213,-0.00504982,0.0208807
105,-2.53634,-0.00509143,0.021052
106,-2.53054,-0.00513244,0.0212266
107,-2.52474,-0.00517349,0.0213879
108,-2.51895,-0.00521446,0.021561
109,-2.51315,-0.0052551,0.021729
110,-2.50734,-0.00529541,0.0218962
111,-2.50154,-0.0053359,0.0220627
112,-2.49574,-0.00537573,0.0222282
113,-2.48993,-0.00541575,0.022393
114,-2.48412,-0.00545519,0.0225568
115,-2.47831,-0.00549481,0.0227222
116,-2.4725,-0.00553372,0.0228798
117,-2.46669,-0.00557302,0.0230435
118,-2.46087,-0.00561171,0.0232038
119,-2.45505,-0.00565042,0.0233635
120,-2.44924,-0.00568867,0.0235221
121,-2.44341,-0.00572702,0.02368
122,-2.43759,-0.00576473,0.0238369
123,-2.43177,-0.00580268,0.023993
124,-2.42594,-0.00584008,0.0241481
125,-2.42012,-0.0058774,0.0243062
126,-2.41429,-0.00591437,0.0244517
127,-2.40845,-0.00595131,0.024608
128,-2.40262,-0.00598802,0.0247595
129,-2.39679,-0.00602449,0.02491
130,-2.39095,-0.00606035,0.0250595
131,-2.38511,-0.00609664,0.0252083
132,-2.37927,-0.00613216,0.0253559
133,-2.37343,-0.00616771,0.0255027
134,-2.36758,-0.006203,0.0256484
135,-2.36174,-0.00623799,0.0257959
136,-2.35589,-0.00627257,0.0259344
137,-2.35004,-0.00630737,0.02608
138,-2.34419,-0.00634164,0.0262218
139,-2.33833,-0.0063758,0.0263628
140,-2.33247,-0.00640946,0.0265026
141,-2.32662,-0.00644315,0.0266415
142,-2.32076,-0.00647654,0.0267795
143,-2.31489,-0.00650962,0.0269164
144,-2.30903,-0.00654244,0.0270522
145,-2.30316,-0.00657499,0.0271871
146,-2.2973,-0.0066075,0.0273233
147,-2.29142,-0.00663946,0.0274514
148,-2.28555,-0.00667154,0.0275856
149,-2.27968,-0.00670294,0.0277162
150,-2.2738,-0.00673448,0.027846
151,-2.26792,-0.00676548,0.0279746
152,-2.26204,-0.00679647,0.0281022
153,-2.25616,-0.00682697,0.0282287
154,-2.25027,-0.00685736,0.0283542
155,-2.24439,-0.00688748,0.0284786
156,-2.2385,-0.00691711,0.0286019
157,-2.23261,-0.00694689,0.0287242
158,-2.22671,-0.00697618,0.0288472
159,-2.22082,-0.00700499,0.0289636
160,-2.21492,-0.00703406,0.0290845
161,-2.20902,-0.00706243,0.0292024
162,-2.20311,-0.00709071,0.0293192
163,-2.19721,-0.00711872,0.0294349
164,-2.1913,-0.00714639,0.0295495
165,-2.18539,-0.00717381,0.029663
166,-2.17948,-0.00720106,0.0297754
167,-2.17357,-0.007228,0.0298866
168,-2.16765,-0.00725451,0.0299967
169,-2.16174,-0.00728091,0.0301057
170,-2.15582,-0.00730701,0.0302135
171,-2.14989,-0.00733279,0.0303203
172,-2.14397,-0.00735835,0.0304272
173,-2.13804,-0.00738359,0.030529
174,-2.13211,-0.00740861,0.0306336
175,-2.12618,-0.00743321,0.0307357
176,-2.12025,-0.00745775,0.0308367
177,-2.11431,-0.00748182,0.0309365
178,-2.10837,-0.00750574,0.0310351
179,-2.10243,-0.00752924,0.0311326
180,-2.09649,-0.00755249,0.0312289
181,-2.09054,-0.00757562,0.031324
182,-2.08459,-0.00759828,0.031418
183,-2.07864,-0.00762069,0.0315107
184,-2.07269,-0.00764289,0.0316023
185,-2.06673,-0.00766475,0.0316927
186,-2.06078,-0.00768625,0.0317819
187,-2.05482,-0.00770761,0.0318699
188,-2.04885,-0.00772855,0.031957
189,-2.04289,-0.00774929,0.032042
190,-2.03692,-0.00776969,0.0321267
191,-2.03095,-0.00778979,0.0322099
192,-2.02498,-0.00780962,0.0322918
