i,x_i,v_i,E_i
0,-3.09584,-0.00216686,0.00583911
1,-3.00428,-0.00645181,0.0175225
2,-2.91262,-0.0105691,0.0296737
3,-2.82078,-0.0143701,0.0429805
4,-2.72865,-0.0177719,0.0563381
5,-2.63608,-0.0203165,0.0698626
6,-2.54308,-0.0223384,0.0834493
7,-2.44966,-0.0244879,0.093357
8,-2.3557,-0.0260174,0.102895
9,-2.26148,-0.0283364,0.109936
10,-2.16667,-0.0301606,0.116113
11,-2.07151,-0.0321644,0.121165
12,-1.97568,-0.0335731,0.125468
13,-1.87938,-0.0348785,0.12874
14,-1.78239,-0.0356266,0.130883
15,-1.68488,-0.0361548,0.132133
16,-1.58668,-0.0362017,0.131962
17,-1.48794,-0.035949,0.131014
18,-1.38854,-0.0353064,0.128446
19,-1.28855,-0.0342718,0.125179
20,-1.18795,-0.0329394,0.120201
21,-1.08678,-0.0311968,0.114579
22,-0.985062,-0.0292304,0.107311
23,-0.882829,-0.0268907,0.0994452
24,-0.780134,-0.0243828,0.0901363
25,-0.677005,-0.0215629,0.0802801
26,-0.573512,-0.0186188,0.0692758
27,-0.469683,-0.0154391,0.0578061
28,-0.365597,-0.0121758,0.0455303
29,-0.261289,-0.00875707,0.0329235
30,-0.156839,-0.00529924,0.0198598
31,-0.0522868,-0.00176158,0.00666534
32,0.0522868,0.00176158,-0.00666534
33,0.156839,0.00529924,-0.0198598
34,0.261289,0.00875707,-0.0329235
35,0.365597,0.0121758,-0.0455303
36,0.469683,0.0154391,-0.0578061
37,0.573512,0.0186188,-0.0692758
38,0.677005,0.0215629,-0.0802801
39,0.780134,0.0243828,-0.0901363
40,0.882829,0.0268907,-0.0994452
41,0.985062,0.0292304,-0.107311
42,1.08678,0.0311968,-0.114579
43,1.18795,0.0329394,-0.120201
44,1.28855,0.0342718,-0.125179
45,1.38854,0.0353064,-0.128446
46,1.48794,0.035949,-0.131014
47,1.58668,0.0362017,-0.131962
48,1.68488,0.0361548,-0.132133
49,1.78239,0.0356266,-0.130883
50,1.87938,0.0348785,-0.12874
51,1.97568,0.0335731,-0.125468
52,2.07151,0.0321644,-0.121165
53,2.16667,0.0301606,-0.116113
54,2.26148,0.0283364,-0.109936
55,2.3557,0.0260174,-0.102895
56,2.44966,0.0244879,-0.093357
57,2.54308,0.0223384,-0.0834493
58,2.63608,0.0203165,-0.0698626
59,2.72865,0.0177719,-0.0563381
60,2.82078,0.0143701,-0.0429805
61,2.91262,0.0105691,-0.0296737
62,3.00428,0.00645181,-0.0175225
63,3.09584,0.00216686,-0.00583911
