i,x_i,v_i,E_i
0,-3.09255,7.24915e-05,-6.42603e-07
1,-2.99448,0.000217475,-1.92781e-06
2,-2.89641,0.00035806,-2.98909e-06
3,-2.79835,0.00049287,-3.75766e-06
4,-2.70027,0.000626931,-1.55393e-05
5,-2.60218,0.000759541,-4.63558e-05
6,-2.50408,0.000916436,-6.43716e-05
7,-2.40597,0.00113167,-5.25687e-05
8,-2.30791,0.00132998,-7.67535e-06
9,-2.21001,0.00147494,0.000145298
10,-2.11206,0.00158735,0.000296071
11,-2.01403,0.00149624,0.000435519
12,-1.91591,0.00140951,0.000555186
13,-1.818,0.00110502,0.000491047
14,-1.71988,0.000824137,0.000420368
15,-1.62046,0.000281188,0.000138525
16,-1.52104,-0.000261761,-0.000143319
17,-1.42217,-0.000731763,-0.000352206
18,-1.32333,-0.00120444,-0.000560373
19,-1.22539,-0.0013615,-0.000525074
20,-1.12775,-0.0015443,-0.000474491
21,-1.02963,-0.00154178,-0.000312125
22,-0.931496,-0.00152816,-0.000132711
23,-0.833578,-0.00134781,-1.57068e-05
24,-0.735715,-0.00112887,8.58962e-05
25,-0.637593,-0.000930837,8.32126e-05
26,-0.539374,-0.000739021,4.21563e-05
27,-0.441284,-0.000606486,1.63604e-05
28,-0.343259,-0.000503433,-1.83122e-06
29,-0.245198,-0.000369057,-3.57645e-06
30,-0.147113,-0.000213939,5.65364e-06
31,-0.0490353,-6.84978e-05,4.81965e-06
32,0.0490353,6.84978e-05,-4.81965e-06
33,0.147113,0.000213939,-5.65364e-06
34,0.245198,0.000369057,3.57645e-06
35,0.343259,0.000503433,1.83122e-06
36,0.441284,0.000606486,-1.63604e-05
37,0.539374,0.000739021,-4.21563e-05
38,0.637593,0.000930837,-8.32126e-05
39,0.735715,0.00112887,-8.58962e-05
40,0.833578,0.00134781,1.57068e-05
41,0.931496,0.00152816,0.000132711
42,1.02963,0.00154178,0.000312125
43,1.12775,0.0015443,0.000474491
44,1.22539,0.0013615,0.000525074
45,1.32333,0.00120444,0.000560373
46,1.42217,0.000731763,0.000352206
47,1.52104,0.000261761,0.000143319
48,1.62046,-0.000281188,-0.000138525
49,1.71988,-0.000824137,-0.000420368
50,1.818,-0.00110502,-0.000491047
51,1.91591,-0.00140951,-0.000555186
52,2.01403,-0.00149624,-0.000435519
53,2.11206,-0.00158735,-0.000296071
54,2.21001,-0.00147494,-0.000145298
55,2.30791,-0.00132998,7.67535e-06
56,2.40597,-0.00113167,5.25687e-05
57,2.50408,-0.000916436,6.43716e-05
58,2.60218,-0.000759541,4.63558e-05
59,2.70027,-0.000626931,1.55393e-05
60,2.79835,-0.00049287,3.75766e-06
61,2.89641,-0.00035806,2.98909e-06
62,2.99448,-0.000217475,1.92781e-06
63,3.09255,-7.24915e-05,6.42603e-07
