i,x_i,v_i,E_i
0,-3.09259,-5.60704e-05,6.18285e-05
1,-2.99458,-0.000168211,0.000185486
2,-2.89657,-0.000280352,0.000309143
3,-2.79856,-0.000392493,0.0004328
4,-2.70055,-0.000504634,0.000556458
5,-2.60254,-0.000616774,0.00068012
6,-2.50454,-0.000728931,0.000803707
7,-2.40653,-0.000841131,0.000927116
8,-2.30852,-0.000952747,0.00105215
9,-2.21051,-0.00106243,0.00118269
10,-2.1125,-0.00118053,0.0013028
11,-2.01452,-0.00134079,0.00136819
12,-1.9165,-0.00148168,0.0014033
13,-1.81822,-0.00147996,0.00113766
14,-1.71988,-0.00143457,0.000862987
15,-1.62049,-0.000475119,0.000292145
16,-1.5211,0.000484334,-0.000278697
17,-1.42207,0.00112289,-0.000757504
18,-1.32305,0.00175652,-0.00123539
19,-1.22503,0.00156116,-0.00134636
20,-1.12709,0.00129586,-0.00143527
21,-1.02909,0.00116943,-0.00132092
22,-0.931083,0.00106428,-0.00117727
23,-0.833074,0.000953389,-0.00105027
24,-0.735065,0.000841093,-0.000927279
25,-0.637056,0.000728913,-0.000803787
26,-0.539048,0.000616774,-0.000680117
27,-0.441039,0.000504634,-0.000556456
28,-0.34303,0.000392493,-0.0004328
29,-0.245022,0.000280352,-0.000309143
30,-0.147013,0.000168211,-0.000185486
31,-0.0490043,5.60704e-05,-6.18285e-05
32,0.0490043,-5.60704e-05,6.18285e-05
33,0.147013,-0.000168211,0.000185486
34,0.245022,-0.000280352,0.000309143
35,0.34303,-0.000392493,0.0004328
36,0.441039,-0.000504634,0.000556456
37,0.539048,-0.000616774,0.000680117
38,0.637056,-0.000728913,0.000803787
39,0.735065,-0.000841093,0.000927279
40,0.833074,-0.000953389,0.00105027
41,0.931083,-0.00106428,0.00117727
42,1.02909,-0.00116943,0.00132092
43,1.12709,-0.00129586,0.00143527
44,1.22503,-0.00156116,0.00134636
45,1.32305,-0.00175652,0.00123539
46,1.42207,-0.00112289,0.000757504
47,1.5211,-0.000484334,0.000278697
48,1.62049,0.000475119,-0.000292145
49,1.71988,0.00143457,-0.000862987
50,1.81822,0.00147996,-0.00113766
51,1.9165,0.00148168,-0.0014033
52,2.01452,0.00134079,-0.00136819
53,2.1125,0.00118053,-0.0013028
54,2.21051,0.00106243,-0.00118269
55,2.30852,0.000952747,-0.00105215
56,2.40653,0.000841131,-0.000927116
57,2.50454,0.000728931,-0.000803707
58,2.60254,0.000616774,-0.00068012
59,2.70055,0.000504634,-0.000556458
60,2.79856,0.000392493,-0.0004328
61,2.89657,0.000280352,-0.000309143
62,2.99458,0.000168211,-0.000185486
63,3.09259,5.60704e-05,-6.18285e-05
