i,x_i,v_i,E_i
0,-3.09426,-0.00286526,0.00283176
1,-2.99915,-0.00857332,0.00852153
2,-2.90516,-0.0146835,0.0152715
3,-2.80747,-0.0202057,0.0243802
4,-2.7169,-0.0276068,0.0345252
5,-2.62972,-0.0348026,0.0503198
6,-2.52653,-0.0394569,0.0688319
7,-2.45589,-0.0490598,0.0797603
8,-2.34995,-0.0489992,0.0961495
9,-2.26124,-0.0520543,0.101951
10,-2.16083,-0.0520276,0.106059
11,-2.06693,-0.0540866,0.107859
12,-1.96389,-0.0552086,0.108639
13,-1.8709,-0.0584966,0.109141
14,-1.76966,-0.0599108,0.109531
15,-1.67309,-0.0615274,0.109464
16,-1.57472,-0.0619527,0.108974
17,-1.47491,-0.0606895,0.108268
18,-1.37905,-0.0593415,0.107347
19,-1.27596,-0.0555548,0.105976
20,-1.18337,-0.0540713,0.104238
21,-1.07887,-0.0505914,0.101602
22,-0.982896,-0.0485319,0.0979976
23,-0.875973,-0.0452902,0.0916449
24,-0.783547,-0.0456952,0.0821903
25,-0.66445,-0.0380138,0.0678905
26,-0.571273,-0.0369932,0.0539702
27,-0.460802,-0.0300385,0.0388457
28,-0.353577,-0.0223529,0.0260486
29,-0.251944,-0.0162917,0.0163063
30,-0.150818,-0.00969771,0.00887255
31,-0.0497371,-0.00312486,0.00256956
32,0.0497371,0.00312486,-0.00256956
33,0.150818,0.00969771,-0.00887255
34,0.251944,0.0162917,-0.0163063
35,0.353577,0.0223529,-0.0260486
36,0.460802,0.0300385,-0.0388457
37,0.571273,0.0369932,-0.0539702
38,0.66445,0.0380138,-0.0678905
39,0.783547,0.0456952,-0.0821903
40,0.875973,0.0452902,-0.0916449
41,0.982896,0.0485319,-0.0979976
42,1.07887,0.0505914,-0.101602
43,1.18337,0.0540713,-0.104238
44,1.27596,0.0555548,-0.105976
45,1.37905,0.0593415,-0.107347
46,1.47491,0.0606895,-0.108268
47,1.57472,0.0619527,-0.108974
48,1.67309,0.0615274,-0.109464
49,1.76966,0.0599108,-0.109531
50,1.8709,0.0584966,-0.109141
51,1.96389,0.0552086,-0.108639
52,2.06693,0.0540866,-0.107859
53,2.16083,0.0520276,-0.106059
54,2.26124,0.0520543,-0.101951
55,2.34995,0.0489992,-0.0961495
56,2.45589,0.0490598,-0.0797603
57,2.52653,0.0394569,-0.0688319
58,2.62972,0.0348026,-0.0503198
59,2.7169,0.0276068,-0.0345252
60,2.80747,0.0202057,-0.0243802
61,2.90516,0.0146835,-0.0152715
62,2.99915,0.00857332,-0.00852153
63,3.09426,0.00286526,-0.00283176
