i,x_i,v_i,E_i
0,-3.09261,-4.55736e-06,9.92559e-05
1,-2.99464,-1.36721e-05,0.000297768
2,-2.89667,-2.54835e-05,0.000494194
3,-2.7987,-4.08298e-05,0.000687868
4,-2.70073,-5.04967e-05,0.000880902
5,-2.60274,-5.04003e-05,0.00107281
6,-2.50476,-4.59009e-05,0.00128069
7,-2.40682,-3.03549e-05,0.00152699
8,-2.30889,-4.87296e-05,0.00176826
9,-2.21101,-0.000177303,0.00199218
10,-2.11306,-0.000306084,0.00217332
11,-2.01486,-0.000462755,0.002119
12,-1.9166,-0.000575636,0.00203154
13,-1.8185,-0.000515516,0.00161224
14,-1.72022,-0.000419076,0.00118282
15,-1.62058,-0.000135542,0.000398687
16,-1.52094,0.000147991,-0.000385449
17,-1.42185,0.000354158,-0.00105267
18,-1.32279,0.000556285,-0.0017188
19,-1.22472,0.000556364,-0.00196965
20,-1.1269,0.000500559,-0.00219636
21,-1.02868,0.000341056,-0.00214037
22,-0.930438,0.000151165,-0.00204434
23,-0.832593,6.43723e-05,-0.00179567
24,-0.734846,1.57915e-06,-0.00151194
25,-0.636882,1.94039e-05,-0.00127944
26,-0.538836,6.74226e-05,-0.00106497
27,-0.44085,6.46432e-05,-0.000873061
28,-0.342895,3.6506e-05,-0.000692151
29,-0.244929,2.12288e-05,-0.000498539
30,-0.146956,1.44845e-05,-0.000296571
31,-0.0489851,5.48452e-06,-9.78993e-05
32,0.0489851,-5.48452e-06,9.78993e-05
33,0.146956,-1.44845e-05,0.000296571
34,0.244929,-2.12288e-05,0.000498539
35,0.342895,-3.6506e-05,0.000692151
36,0.44085,-6.46432e-05,0.000873061
37,0.538836,-6.74226e-05,0.00106497
38,0.636882,-1.94039e-05,0.00127944
39,0.734846,-1.57915e-06,0.00151194
40,0.832593,-6.43723e-05,0.00179567
41,0.930438,-0.000151165,0.00204434
42,1.02868,-0.000341056,0.00214037
43,1.1269,-0.000500559,0.00219636
44,1.22472,-0.000556364,0.00196965
45,1.32279,-0.000556285,0.0017188
46,1.42185,-0.000354158,0.00105267
47,1.52094,-0.000147991,0.000385449
48,1.62058,0.000135542,-0.000398687
49,1.72022,0.000419076,-0.00118282
50,1.8185,0.000515516,-0.00161224
51,1.9166,0.000575636,-0.00203154
52,2.01486,0.000462755,-0.002119
53,2.11306,0.000306084,-0.00217332
54,2.21101,0.000177303,-0.00199218
55,2.30889,4.87296e-05,-0.00176826
56,2.40682,3.03549e-05,-0.00152699
57,2.50476,4.59009e-05,-0.00128069
58,2.60274,5.04003e-05,-0.00107281
59,2.70073,5.04967e-05,-0.000880902
60,2.7987,4.08298e-05,-0.000687868
61,2.89667,2.54835e-05,-0.000494194
62,2.99464,1.36721e-05,-0.000297768
63,3.09261,4.55736e-06,-9.92559e-05
