i,x_i,v_i,E_i
0,-3.09145,0.00305395,-0.00319476
1,-2.9908,0.00923024,-0.00960746
2,-2.88947,0.0154271,-0.017689
3,-2.78424,0.0226803,-0.0278529
4,-2.68079,0.0282803,-0.0402802
5,-2.57773,0.0330134,-0.0547599
6,-2.46254,0.040169,-0.0707506
7,-2.36964,0.039421,-0.0835518
8,-2.25769,0.0443085,-0.0940311
9,-2.16039,0.0454448,-0.100862
10,-2.05767,0.0479986,-0.105
11,-1.96147,0.0501574,-0.107561
12,-1.85927,0.0537423,-0.109602
13,-1.76344,0.0555112,-0.111169
14,-1.66289,0.0581532,-0.112307
15,-1.56504,0.0590975,-0.11308
16,-1.46681,0.0593913,-0.113145
17,-1.36811,0.0588825,-0.112608
18,-1.27249,0.0568758,-0.111391
19,-1.17307,0.0550561,-0.109311
20,-1.07957,0.051159,-0.107109
21,-0.979256,0.0491213,-0.10431
22,-0.885295,0.0458291,-0.10049
23,-0.786992,0.0447211,-0.0933464
24,-0.697538,0.0406174,-0.0858917
25,-0.599463,0.03888,-0.0708727
26,-0.513407,0.0324413,-0.057694
27,-0.419409,0.027451,-0.0436058
28,-0.327691,0.0220576,-0.0298823
29,-0.235126,0.0160861,-0.0199706
30,-0.141963,0.0100713,-0.0113566
31,-0.0473922,0.00356564,-0.00355446
32,0.0473922,-0.00356564,0.00355446
33,0.141963,-0.0100713,0.0113566
34,0.235126,-0.0160861,0.0199706
35,0.327691,-0.0220576,0.0298823
36,0.419409,-0.027451,0.0436058
37,0.513407,-0.0324413,0.057694
38,0.599463,-0.03888,0.0708727
39,0.697538,-0.0406174,0.0858917
40,0.786992,-0.0447211,0.0933464
41,0.885295,-0.0458291,0.10049
42,0.979256,-0.0491213,0.10431
43,1.07957,-0.051159,0.107109
44,1.17307,-0.0550561,0.109311
45,1.27249,-0.0568758,0.111391
46,1.36811,-0.0588825,0.112608
47,1.46681,-0.0593913,0.113145
48,1.56504,-0.0590975,0.11308
49,1.66289,-0.0581532,0.112307
50,1.76344,-0.0555112,0.111169
51,1.85927,-0.0537423,0.109602
52,1.96147,-0.0501574,0.107561
53,2.05767,-0.0479986,0.105
54,2.16039,-0.0454448,0.100862
55,2.25769,-0.0443085,0.0940311
56,2.36964,-0.039421,0.0835518
57,2.46254,-0.040169,0.0707506
58,2.57773,-0.0330134,0.0547599
59,2.68079,-0.0282803,0.0402802
60,2.78424,-0.0226803,0.0278529
61,2.88947,-0.0154271,0.017689
62,2.9908,-0.00923024,0.00960746
63,3.09145,-0.00305395,0.00319476
