i,x_i,v_i,E_i
0,-3.09502,0.00231075,0.00415006
1,-3.0016,0.00699638,0.0124759
2,-2.90823,0.0127921,0.0205276
3,-2.81306,0.0211951,0.0281729
4,-2.71893,0.0295695,0.0353223
5,-2.62568,0.0397622,0.0405903
6,-2.52361,0.0534351,0.0462987
7,-2.43473,0.0588658,0.0508077
8,-2.33213,0.0690242,0.0560124
9,-2.23829,0.0722716,0.0608905
10,-2.13962,0.0756852,0.066021
11,-2.04591,0.076714,0.0697531
12,-1.94752,0.0788729,0.0735045
13,-1.85338,0.0793231,0.0761251
14,-1.7554,0.0806106,0.0785446
15,-1.65847,0.0810546,0.0793551
16,-1.56039,0.0809156,0.0793636
17,-1.46107,0.0806423,0.0780652
18,-1.36317,0.0789342,0.0759068
19,-1.2616,0.0778054,0.0725709
20,-1.16373,0.074698,0.0684909
21,-1.06058,0.0727857,0.0641179
22,-0.962179,0.069257,0.0598837
23,-0.859911,0.0654043,0.0554846
24,-0.7634,0.0585498,0.0513346
25,-0.658881,0.0519435,0.0462114
26,-0.561866,0.0412061,0.0408321
27,-0.458682,0.0323742,0.0347651
28,-0.357572,0.0235022,0.0284312
29,-0.256138,0.015829,0.0213353
30,-0.154634,0.00918699,0.0134045
31,-0.0516901,0.00298466,0.00471326
32,0.0516901,-0.00298466,-0.00471326
33,0.154634,-0.00918699,-0.0134045
34,0.256138,-0.015829,-0.0213353
35,0.357572,-0.0235022,-0.0284312
36,0.458682,-0.0323742,-0.0347651
37,0.561866,-0.0412061,-0.0408321
38,0.658881,-0.0519435,-0.0462114
39,0.7634,-0.0585498,-0.0513346
40,0.859911,-0.0654043,-0.0554846
41,0.962179,-0.069257,-0.0598837
42,1.06058,-0.0727857,-0.0641179
43,1.16373,-0.074698,-0.0684909
44,1.2616,-0.0778054,-0.0725709
45,1.36317,-0.0789342,-0.0759068
46,1.46107,-0.0806423,-0.0780652
47,1.56039,-0.0809156,-0.0793636
48,1.65847,-0.0810546,-0.0793551
49,1.7554,-0.0806106,-0.0785446
50,1.85338,-0.0793231,-0.0761251
51,1.94752,-0.0788729,-0.0735045
52,2.04591,-0.076714,-0.0697531
53,2.13962,-0.0756852,-0.066021
54,2.23829,-0.0722716,-0.0608905
55,2.33213,-0.0690242,-0.0560124
56,2.43473,-0.0588658,-0.0508077
57,2.52361,-0.0534351,-0.0462987
58,2.62568,-0.0397622,-0.0405903
59,2.71893,-0.0295695,-0.0353223
60,2.81306,-0.0211951,-0.0281729
61,2.90823,-0.0127921,-0.0205276
62,3.0016,-0.00699638,-0.0124759
63,3.09502,-0.00231075,-0.00415006
