n,KE,PE,E
317,0.123677,0.00717892,0.130856
318,0.127417,0.00643662,0.133854
319,0.131008,0.00572639,0.136734
320,0.134437,0.00505052,0.139488
321,0.137695,0.00441118,0.142106
322,0.140769,0.0038056,0.144575
323,0.143651,0.0032395,0.146891
324,0.146331,0.00271619,0.149047
325,0.1488,0.00223735,0.151037
326,0.15105,0.00180453,0.152854
327,0.153074,0.00141805,0.154492
328,0.154865,0.00107467,0.15594
329,0.156418,0.00078134,0.1572
330,0.157727,0.000539022,0.158266
331,0.158789,0.000348496,0.159137
332,0.159598,0.00021038,0.159809
333,0.160154,0.000120532,0.160275
334,0.160454,8.37373e-05,0.160538
335,0.160497,0.000100385,0.160597
336,0.160282,0.000170171,0.160453
337,0.159811,0.000290676,0.160102
338,0.159085,0.000463895,0.159549
339,0.158107,0.000689267,0.158796
340,0.156878,0.000965262,0.157844
341,0.155405,0.00129098,0.156696
342,0.153691,0.00166586,0.155357
343,0.151743,0.00208865,0.153831
344,0.149566,0.00255563,0.152121
345,0.147168,0.00306724,0.150236
346,0.144558,0.00362183,0.14818
347,0.141743,0.00421416,0.145957
348,0.138733,0.00484341,0.143577
349,0.135539,0.00550941,0.141048
350,0.13217,0.00621007,0.13838
351,0.128636,0.00694313,0.13558
352,0.12495,0.00770627,0.132657
353,0.121123,0.00849705,0.12962
354,0.117167,0.00931295,0.12648
355,0.113095,0.0101514,0.123246
356,0.108919,0.0110073,0.119926
357,0.104653,0.0118731,0.116526
358,0.100312,0.012753,0.113065
359,0.0959085,0.0136442,0.109553
360,0.0914573,0.0145438,0.106001
361,0.0869721,0.0154491,0.102421
362,0.082467,0.0163571,0.0988241
363,0.0779563,0.0172651,0.0952213
364,0.0734541,0.01817,0.0916241
365,0.0689748,0.019069,0.0880438
366,0.0645323,0.0199594,0.0844917
367,0.0601408,0.0208383,0.0809791
368,0.0558141,0.0217028,0.0775169
369,0.0515658,0.0225503,0.0741162
370,0.0474094,0.0233781,0.0707876
371,0.043358,0.0241836,0.0675416
372,0.0394244,0.0249642,0.0643886
373,0.0356209,0.0257174,0.0613384
374,0.0319598,0.0264409,0.0584007
375,0.0284524,0.0271324,0.0555848
376,0.02511,0.0277896,0.0528996
377,0.021943,0.0284106,0.0503535
378,0.0189615,0.0289932,0.0479547
379,0.0161749,0.0295358,0.0457107
380,0.0135921,0.0300365,0.0436285
381,0.0112212,0.0304937,0.0417149
382,0.00906971,0.0309062,0.0399759
383,0.00714449,0.0312724,0.0384169
384,0.00545164,0.0315891,0.0370407
385,0.00399652,0.0318567,0.0358532
386,0.00278372,0.0320755,0.0348593
387,0.00181707,0.0322449,0.034062
388,0.00109964,0.0323643,0.0334639
389,0.000633685,0.0324332,0.0330669
390,0.000420707,0.0324516,0.0328723
391,0.0004614,0.0324192,0.0328806
392,0.000755669,0.0323363,0.033092
393,0.00130262,0.032203,0.0335056
394,0.00210058,0.0320198,0.0341204
395,0.00314707,0.0317873,0.0349343
396,0.00443885,0.0315061,0.0359449
397,0.00597191,0.0311771,0.037149
398,0.00774146,0.0308014,0.0385429
399,0.00974202,0.0303802,0.0401222
400,0.0119673,0.0299123,0.0418796
401,0.0144103,0.0294005,0.0438108
402,0.0170632,0.0288472,0.0459104
403,0.0199177,0.0282542,0.0481719
404,0.0229648,0.0276234,0.0505881
405,0.0261948,0.0269567,0.0531515
406,0.0295978,0.0262562,0.055854
407,0.0331628,0.0255242,0.058687
408,0.0368787,0.024763,0.0616417
409,0.0407338,0.023975,0.0647088
410,0.044716,0.0231627,0.0678787
411,0.0488126,0.0223286,0.0711412
412,0.0530109,0.0214754,0.0744863
413,0.0572975,0.0206058,0.0779033
414,0.061659,0.0197225,0.0813816
415,0.0660817,0.0188284,0.0849101
416,0.0705515,0.0179262,0.0884777
417,0.0750544,0.0170189,0.0920733
418,0.0795763,0.0161092,0.0956856
419,0.0841029,0.0152002,0.0993031
420,0.08862,0.0142945,0.102914
421,0.0931132,0.0133939,0.106507
422,0.0975683,0.0124972,0.110066
423,0.10197,0.0116131,0.113583
424,0.106304,0.0107443,0.117048
425,0.110557,0.00989363,0.12045
426,0.114715,0.00906385,0.123779
427,0.118765,0.00825759,0.127023
428,0.122695,0.00747742,0.130172
429,0.126491,0.00672584,0.133217
430,0.130142,0.00600306,0.136145
431,0.133636,0.00531039,0.138946
432,0.136961,0.00465378,0.141615
433,0.140106,0.00403535,0.144142
434,0.143062,0.00345707,0.146519
435,0.145819,0.00291868,0.148737
436,0.148368,0.00241919,0.150787
437,0.1507,0.00196538,0.152665
438,0.152807,0.00155871,0.154366
439,0.154684,0.0012005,0.155885
440,0.156324,0.000891908,0.157216
441,0.157722,0.000633623,0.158356
442,0.158874,0.000421257,0.159295
443,0.159774,0.000261256,0.160035
444,0.160421,0.00015414,0.160575
445,0.160812,0.000100256,0.160912
446,0.160946,9.85587e-05,0.161044
447,0.160822,0.000148573,0.160971
448,0.160441,0.000251894,0.160693
449,0.159804,0.000408189,0.160212
450,0.158913,0.00061673,0.15953
451,0.157771,0.000876895,0.158648
452,0.156382,0.00118785,0.15757
453,0.154751,0.00154801,0.156299
454,0.152882,0.00195628,0.154838
455,0.150783,0.00240981,0.153192
456,0.148459,0.00290573,0.151365
457,0.14592,0.00344517,0.149366
458,0.143174,0.00402641,0.1472
459,0.140228,0.00464758,0.144876
460,0.137093,0.00530671,0.1424
461,0.133778,0.00600167,0.13978
