j,x_j,rho_j,phi_j,E_j
0,-3.14159,-0.000654923,-0.000290127,-1.80189e-15
1,-2.93891,-0.000654949,-0.000276674,-0.000132745
2,-2.73623,-0.00065427,-0.000236316,-0.000265423
3,-2.53354,-0.000666972,-0.000169081,-0.00039932
4,-2.33086,-0.000523927,-7.44452e-05,-0.000520008
5,-2.12818,-0.00116439,4.17133e-05,-0.000691104
6,-1.92549,-0.00276591,0.000205705,-0.00108941
7,-1.72281,0.00303591,0.000483323,-0.00106204
8,-1.52013,0.0109395,0.000636223,0.000354252
9,-1.31744,-0.00145337,0.000339721,0.0013156
10,-1.11476,-0.00285694,0.000102924,0.000878783
11,-0.912075,-0.000256628,-1.65085e-05,0.000563249
12,-0.709392,-0.000687459,-0.000125398,0.000467573
13,-0.506708,-0.00065328,-0.000206047,0.000331701
14,-0.304025,-0.000654983,-0.000259859,0.000199119
15,-0.101342,-0.000654923,-0.000286763,6.6371e-05
16,0.101342,-0.000654923,-0.000286763,-6.6371e-05
17,0.304025,-0.000654983,-0.000259859,-0.000199119
18,0.506708,-0.00065328,-0.000206047,-0.000331701
19,0.709392,-0.000687459,-0.000125398,-0.000467573
20,0.912075,-0.000256628,-1.65085e-05,-0.000563249
21,1.11476,-0.00285694,0.000102924,-0.000878783
22,1.31744,-0.00145337,0.000339721,-0.0013156
23,1.52013,0.0109395,0.000636223,-0.000354252
24,1.72281,0.00303591,0.000483323,0.00106204
25,1.92549,-0.00276591,0.000205705,0.00108941
26,2.12818,-0.00116439,4.17133e-05,0.000691104
27,2.33086,-0.000523927,-7.44452e-05,0.000520008
28,2.53354,-0.000666972,-0.000169081,0.00039932
29,2.73623,-0.00065427,-0.000236316,0.000265423
30,2.93891,-0.000654949,-0.000276674,0.000132745
31,3.14159,-0.000654923,-0.000290127,-1.80189e-15
