j,x_j,rho_j,phi_j,E_j
0,-3.14159,-0.142077,-0.141999,-1.43788e-15
1,-2.93891,-0.13583,-0.139081,-0.0281635
2,-2.73623,-0.169878,-0.130583,-0.0591444
3,-2.53354,-0.11537,-0.115106,-0.0880518
4,-2.33086,-0.0767775,-0.0948893,-0.107524
5,-2.12818,-0.0608428,-0.0715189,-0.121471
6,-1.92549,-0.0373703,-0.045649,-0.131424
7,-1.72281,-0.0118204,-0.0182439,-0.136409
8,-1.52013,0.0138858,0.00964677,-0.1362
9,-1.31744,0.0395293,0.036967,-0.130787
10,-1.11476,0.0637327,0.0626633,-0.120322
11,-0.912075,0.085115,0.0857415,-0.105237
12,-0.709392,0.102943,0.105323,-0.0861793
13,-0.506708,0.116732,0.120676,-0.0639171
14,-0.304025,0.126119,0.131233,-0.0393062
15,-0.101342,0.130869,0.136609,-0.0132625
16,0.101342,0.130869,0.136609,0.0132625
17,0.304025,0.126119,0.131233,0.0393062
18,0.506708,0.116732,0.120676,0.0639171
19,0.709392,0.102943,0.105323,0.0861793
20,0.912075,0.085115,0.0857415,0.105237
21,1.11476,0.0637327,0.0626633,0.120322
22,1.31744,0.0395293,0.036967,0.130787
23,1.52013,0.0138858,0.00964677,0.1362
24,1.72281,-0.0118204,-0.0182439,0.136409
25,1.92549,-0.0373703,-0.045649,0.131424
26,2.12818,-0.0608428,-0.0715189,0.121471
27,2.33086,-0.0767775,-0.0948893,0.107524
28,2.53354,-0.11537,-0.115106,0.0880518
29,2.73623,-0.169878,-0.130583,0.0591444
30,2.93891,-0.13583,-0.139081,0.0281635
31,3.14159,-0.142077,-0.141999,-1.43788e-15
