j,x_j,rho_j,phi_j,E_j
0,-3.14159,5.11089e-05,-5.96394e-06,-1.45028e-15
1,-2.93891,5.10469e-05,-7.01373e-06,1.03526e-05
2,-2.73623,5.2401e-05,-1.01606e-05,2.08362e-05
3,-2.53354,3.13165e-05,-1.546e-05,2.93203e-05
4,-2.33086,0.000223316,-2.2046e-05,5.51252e-05
5,-2.12818,-0.000371341,-3.7806e-05,4.01242e-05
6,-1.92549,-0.00284306,-3.8311e-05,-0.000285629
7,-1.72281,0.00040916,7.79786e-05,-0.000532285
8,-1.52013,0.00662957,0.00017746,0.000181032
9,-1.31744,-0.00273185,4.59432e-06,0.000576033
10,-1.11476,-0.00222604,-5.60451e-05,7.35925e-05
11,-0.912075,0.000596805,-2.52377e-05,-9.15167e-05
12,-0.709392,-3.35003e-06,-1.89473e-05,-3.1375e-05
13,-0.506708,5.43981e-05,-1.25193e-05,-2.62017e-05
14,-0.304025,5.09656e-05,-8.32597e-06,-1.5524e-05
15,-0.101342,5.11094e-05,-6.22637e-06,-5.17951e-06
16,0.101342,5.11094e-05,-6.22637e-06,5.17951e-06
17,0.304025,5.09656e-05,-8.32597e-06,1.5524e-05
18,0.506708,5.43981e-05,-1.25193e-05,2.62017e-05
19,0.709392,-3.35003e-06,-1.89473e-05,3.1375e-05
20,0.912075,0.000596805,-2.52377e-05,9.15167e-05
21,1.11476,-0.00222604,-5.60451e-05,-7.35925e-05
22,1.31744,-0.00273185,4.59432e-06,-0.000576033
23,1.52013,0.00662957,0.00017746,-0.000181032
24,1.72281,0.00040916,7.79786e-05,0.000532285
25,1.92549,-0.00284306,-3.8311e-05,0.000285629
26,2.12818,-0.000371341,-3.7806e-05,-4.01242e-05
27,2.33086,0.000223316,-2.2046e-05,-5.51252e-05
28,2.53354,3.13165e-05,-1.546e-05,-2.93203e-05
29,2.73623,5.2401e-05,-1.01606e-05,-2.08362e-05
30,2.93891,5.10469e-05,-7.01373e-06,-1.03526e-05
31,3.14159,5.11089e-05,-5.96394e-06,-1.45028e-15
