j,x_j,rho_j,phi_j,E_j
0,-3.14159,0.0887214,0.120586,-6.16232e-16
1,-2.93891,0.0978598,0.118763,0.0189085
2,-2.73623,0.12165,0.112921,0.0411539
3,-2.53354,0.132709,0.102081,0.0669311
4,-2.33086,0.0871913,0.0857893,0.0892162
5,-2.12818,0.0523846,0.0659157,0.103361
6,-1.92549,0.03967,0.0438901,0.11269
7,-1.72281,0.0212633,0.0202349,0.118865
8,-1.52013,0.00130632,-0.00429382,0.121152
9,-1.31744,-0.0193071,-0.0288762,0.119328
10,-1.11476,-0.0392896,-0.0526655,0.11339
11,-0.912075,-0.0580809,-0.0748407,0.103522
12,-0.709392,-0.0840232,-0.0946299,0.089121
13,-0.506708,-0.168129,-0.110967,0.0635675
14,-0.304025,-0.112026,-0.120398,0.0351762
15,-0.101342,-0.11754,-0.125227,0.0119117
16,0.101342,-0.11754,-0.125227,-0.0119117
17,0.304025,-0.112026,-0.120398,-0.0351762
18,0.506708,-0.168129,-0.110967,-0.0635675
19,0.709392,-0.0840232,-0.0946299,-0.089121
20,0.912075,-0.0580809,-0.0748407,-0.103522
21,1.11476,-0.0392896,-0.0526655,-0.11339
22,1.31744,-0.0193071,-0.0288762,-0.119328
23,1.52013,0.00130632,-0.00429382,-0.121152
24,1.72281,0.0212633,0.0202349,-0.118865
25,1.92549,0.03967,0.0438901,-0.11269
26,2.12818,0.0523846,0.0659157,-0.103361
27,2.33086,0.0871913,0.0857893,-0.0892162
28,2.53354,0.132709,0.102081,-0.0669311
29,2.73623,0.12165,0.112921,-0.0411539
30,2.93891,0.0978598,0.118763,-0.0189085
31,3.14159,0.0887214,0.120586,-6.16232e-16
