j,x_j,rho_j,phi_j,E_j
0,-3.14159,-0.129053,-0.137163,3.42351e-16
1,-2.93891,-0.126172,-0.134512,-0.0258649
2,-2.73623,-0.163605,-0.126678,-0.0552314
3,-2.53354,-0.128592,-0.112123,-0.0848431
4,-2.33086,-0.0744137,-0.0922852,-0.105416
5,-2.12818,-0.0558859,-0.0693906,-0.118621
6,-1.92549,-0.033912,-0.0442002,-0.127721
7,-1.72281,-0.0102729,-0.0176167,-0.132199
8,-1.52013,0.0137575,0.00938879,-0.131846
9,-1.31744,0.0379195,0.0358291,-0.126609
10,-1.11476,0.0610543,0.0607117,-0.116579
11,-0.912075,0.08185,0.0830862,-0.102096
12,-0.709392,0.099444,0.102098,-0.0837237
13,-0.506708,0.113212,0.117025,-0.0621728
14,-0.304025,0.122666,0.127301,-0.0382686
15,-0.101342,0.127477,0.132538,-0.0129187
16,0.101342,0.127477,0.132538,0.0129187
17,0.304025,0.122666,0.127301,0.0382686
18,0.506708,0.113212,0.117025,0.0621728
19,0.709392,0.099444,0.102098,0.0837237
20,0.912075,0.08185,0.0830862,0.102096
21,1.11476,0.0610543,0.0607117,0.116579
22,1.31744,0.0379195,0.0358291,0.126609
23,1.52013,0.0137575,0.00938879,0.131846
24,1.72281,-0.0102729,-0.0176167,0.132199
25,1.92549,-0.033912,-0.0442002,0.127721
26,2.12818,-0.0558859,-0.0693906,0.118621
27,2.33086,-0.0744137,-0.0922852,0.105416
28,2.53354,-0.128592,-0.112123,0.0848431
29,2.73623,-0.163605,-0.126678,0.0552314
30,2.93891,-0.126172,-0.134512,0.0258649
31,3.14159,-0.129053,-0.137163,3.42351e-16
