j,x_j,rho_j,phi_j,E_j
0,-3.14159,-0.122582,-0.111339,-1.33517e-15
1,-2.93891,-0.112696,-0.108821,-0.0238435
2,-2.73623,-0.0930614,-0.101674,-0.0446954
3,-2.53354,-0.116064,-0.0907034,-0.0658885
4,-2.33086,-0.0612106,-0.0749649,-0.0838537
5,-2.12818,-0.0517822,-0.0567119,-0.0953046
6,-1.92549,-0.0316855,-0.0363316,-0.103763
7,-1.72281,-0.00997746,-0.0146496,-0.107986
8,-1.52013,0.0113595,0.00744218,-0.107846
9,-1.31744,0.032323,0.0290674,-0.103419
10,-1.11476,0.0516243,0.0493647,-0.0949113
11,-0.912075,0.0681795,0.0675412,-0.0827702
12,-0.709392,0.0816413,0.0829169,-0.0675871
13,-0.506708,0.0918455,0.0949388,-0.0500056
14,-0.304025,0.0986841,0.103188,-0.0306971
15,-0.101342,0.102111,0.107382,-0.0103481
16,0.101342,0.102111,0.107382,0.0103481
17,0.304025,0.0986841,0.103188,0.0306971
18,0.506708,0.0918455,0.0949388,0.0500056
19,0.709392,0.0816413,0.0829169,0.0675871
20,0.912075,0.0681795,0.0675412,0.0827702
21,1.11476,0.0516243,0.0493647,0.0949113
22,1.31744,0.032323,0.0290674,0.103419
23,1.52013,0.0113595,0.00744218,0.107846
24,1.72281,-0.00997746,-0.0146496,0.107986
25,1.92549,-0.0316855,-0.0363316,0.103763
26,2.12818,-0.0517822,-0.0567119,0.0953046
27,2.33086,-0.0612106,-0.0749649,0.0838537
28,2.53354,-0.116064,-0.0907034,0.0658885
29,2.73623,-0.0930614,-0.101674,0.0446954
30,2.93891,-0.112696,-0.108821,0.0238435
31,3.14159,-0.122582,-0.111339,-1.33517e-15
