j,x_j,rho_j,phi_j,E_j
0,-3.14159,0.000254726,2.75182e-05,1.1332e-16
1,-2.93891,0.000103498,2.2286e-05,3.6303e-05
2,-2.73623,0.000230685,1.28022e-05,7.01696e-05
3,-2.53354,0.000744841,-6.1584e-06,0.000169031
4,-2.33086,-0.000570209,-5.57174e-05,0.000186729
5,-2.12818,-0.00224354,-8.18519e-05,-9.84211e-05
6,-1.92549,-0.000675552,-1.58208e-05,-0.000394246
7,-1.72281,0.00133002,7.79625e-05,-0.000327921
8,-1.52013,0.00302188,0.000117108,0.000113108
9,-1.31744,8.23844e-05,3.21124e-05,0.000427699
10,-1.11476,-0.00144321,-5.62673e-05,0.000289791
11,-0.912075,-0.00207616,-8.53591e-05,-6.68683e-05
12,-0.709392,0.000413892,-2.91611e-05,-0.000235325
13,-0.506708,0.000819376,1.0034e-05,-0.000110344
14,-0.304025,-0.000133255,1.55687e-05,-4.08112e-05
15,-0.101342,0.000267982,2.65775e-05,-2.71578e-05
16,0.101342,0.000267982,2.65775e-05,2.71578e-05
17,0.304025,-0.000133255,1.55687e-05,4.08112e-05
18,0.506708,0.000819376,1.0034e-05,0.000110344
19,0.709392,0.000413892,-2.91611e-05,0.000235325
20,0.912075,-0.00207616,-8.53591e-05,6.68683e-05
21,1.11476,-0.00144321,-5.62673e-05,-0.000289791
22,1.31744,8.23844e-05,3.21124e-05,-0.000427699
23,1.52013,0.00302188,0.000117108,-0.000113108
24,1.72281,0.00133002,7.79625e-05,0.000327921
25,1.92549,-0.000675552,-1.58208e-05,0.000394246
26,2.12818,-0.00224354,-8.18519e-05,9.84211e-05
27,2.33086,-0.000570209,-5.57174e-05,-0.000186729
28,2.53354,0.000744841,-6.1584e-06,-0.000169031
29,2.73623,0.000230685,1.28022e-05,-7.01696e-05
30,2.93891,0.000103498,2.2286e-05,-3.6303e-05
31,3.14159,0.000254726,2.75182e-05,1.1332e-16
