j,x_j,rho_j,phi_j,E_j
0,-3.14159,-4.12633e-06,-2.82954e-05,8.11354e-16
1,-2.93891,-4.18454e-06,-2.82106e-05,-8.42238e-07
2,-2.73623,-2.89743e-06,-2.7954e-05,-1.55994e-06
3,-2.53354,-2.3218e-05,-2.75783e-05,-4.20652e-06
4,-2.33086,0.000164861,-2.62488e-05,1.01479e-05
5,-2.12818,-0.000436035,-3.16919e-05,-1.73333e-05
6,-1.92549,-0.00284362,-1.92224e-05,-0.0003497
7,-1.72281,0.000617351,0.000110065,-0.000575314
8,-1.52013,0.00698501,0.000213991,0.000195122
9,-1.31744,-0.00263742,3.09687e-05,0.000635714
10,-1.11476,-0.0022813,-4.37065e-05,0.000137242
11,-0.912075,0.000529486,-2.46647e-05,-4.02895e-05
12,-0.709392,-5.65753e-05,-2.73745e-05,7.63613e-06
13,-0.506708,-1.00092e-06,-2.77601e-05,1.80127e-06
14,-0.304025,-4.26072e-06,-2.81047e-05,1.26804e-06
15,-0.101342,-4.12591e-06,-2.82742e-05,4.18127e-07
16,0.101342,-4.12591e-06,-2.82742e-05,-4.18127e-07
17,0.304025,-4.26072e-06,-2.81047e-05,-1.26804e-06
18,0.506708,-1.00092e-06,-2.77601e-05,-1.80127e-06
19,0.709392,-5.65753e-05,-2.73745e-05,-7.63613e-06
20,0.912075,0.000529486,-2.46647e-05,4.02895e-05
21,1.11476,-0.0022813,-4.37065e-05,-0.000137242
22,1.31744,-0.00263742,3.09687e-05,-0.000635714
23,1.52013,0.00698501,0.000213991,-0.000195122
24,1.72281,0.000617351,0.000110065,0.000575314
25,1.92549,-0.00284362,-1.92224e-05,0.0003497
26,2.12818,-0.000436035,-3.16919e-05,1.73333e-05
27,2.33086,0.000164861,-2.62488e-05,-1.01479e-05
28,2.53354,-2.3218e-05,-2.75783e-05,4.20652e-06
29,2.73623,-2.89743e-06,-2.7954e-05,1.55994e-06
30,2.93891,-4.18454e-06,-2.82106e-05,8.42238e-07
31,3.14159,-4.12633e-06,-2.82954e-05,8.11354e-16
