j,x_j,rho_j,phi_j,E_j
0,-3.14159,0.0494378,0.0478058,-2.22528e-15
1,-2.93891,0.0665038,0.0467904,0.0117497
2,-2.73623,0.0330736,0.0430429,0.0218411
3,-2.53354,0.0397177,0.0379367,0.0292179
4,-2.33086,0.0105833,0.0311989,0.0343155
5,-2.12818,0.00508077,0.0240264,0.0359029
6,-1.92549,0.0371379,0.0166451,0.0401814
7,-1.72281,0.0281434,0.00773818,0.0467971
8,-1.52013,0.00722099,-0.00232489,0.050381
9,-1.31744,-0.0204433,-0.0126846,0.049041
10,-1.11476,-0.0776555,-0.0222045,0.0390995
11,-0.912075,-0.0252812,-0.0285342,0.0286677
12,-0.709392,0.018454,-0.0338254,0.0279758
13,-0.506708,-0.0201675,-0.0398747,0.0278022
14,-0.304025,-0.0538626,-0.0450955,0.0202999
15,-0.101342,-0.0732243,-0.0481036,0.00742067
16,0.101342,-0.0732243,-0.0481036,-0.00742067
17,0.304025,-0.0538626,-0.0450955,-0.0202999
18,0.506708,-0.0201675,-0.0398747,-0.0278022
19,0.709392,0.018454,-0.0338254,-0.0279758
20,0.912075,-0.0252812,-0.0285342,-0.0286677
21,1.11476,-0.0776555,-0.0222045,-0.0390995
22,1.31744,-0.0204433,-0.0126846,-0.049041
23,1.52013,0.00722099,-0.00232489,-0.050381
24,1.72281,0.0281434,0.00773818,-0.0467971
25,1.92549,0.0371379,0.0166451,-0.0401814
26,2.12818,0.00508077,0.0240264,-0.0359029
27,2.33086,0.0105833,0.0311989,-0.0343155
28,2.53354,0.0397177,0.0379367,-0.0292179
29,2.73623,0.0330736,0.0430429,-0.0218411
30,2.93891,0.0665038,0.0467904,-0.0117497
31,3.14159,0.0494378,0.0478058,-2.22528e-15
