j,x_j,rho_j,phi_j,E_j
0,-3.14159,-0.000788485,-0.000377025,-1.40311e-15
1,-2.93891,-0.000904975,-0.00036083,-0.000171618
2,-2.73623,-0.0007414,-0.000307457,-0.000338465
3,-2.53354,-0.000456504,-0.000223627,-0.000459862
4,-2.33086,-0.00188069,-0.000121044,-0.000696718
5,-2.12818,-0.00261511,5.87989e-05,-0.00115233
6,-1.92549,0.000420943,0.000346072,-0.00137469
7,-1.72281,0.00419422,0.000616053,-0.000906982
8,-1.52013,0.00772617,0.000713732,0.000301051
9,-1.31744,0.00180688,0.000494016,0.00126715
10,-1.11476,-0.0010223,0.000200073,0.00134666
11,-0.912075,-0.00303388,-5.18736e-05,0.000935596
12,-0.709392,-0.0010294,-0.000179187,0.000523816
13,-0.506708,-0.000208276,-0.000264211,0.000398389
14,-0.304025,-0.00108117,-0.00034068,0.000267714
15,-0.101342,-0.000780267,-0.000372734,7.90736e-05
16,0.101342,-0.000780267,-0.000372734,-7.90736e-05
17,0.304025,-0.00108117,-0.00034068,-0.000267714
18,0.506708,-0.000208276,-0.000264211,-0.000398389
19,0.709392,-0.0010294,-0.000179187,-0.000523816
20,0.912075,-0.00303388,-5.18736e-05,-0.000935596
21,1.11476,-0.0010223,0.000200073,-0.00134666
22,1.31744,0.00180688,0.000494016,-0.00126715
23,1.52013,0.00772617,0.000713732,-0.000301051
24,1.72281,0.00419422,0.000616053,0.000906982
25,1.92549,0.000420943,0.000346072,0.00137469
26,2.12818,-0.00261511,5.87989e-05,0.00115233
27,2.33086,-0.00188069,-0.000121044,0.000696718
28,2.53354,-0.000456504,-0.000223627,0.000459862
29,2.73623,-0.0007414,-0.000307457,0.000338465
30,2.93891,-0.000904975,-0.00036083,0.000171618
31,3.14159,-0.000788485,-0.000377025,-1.40311e-15
