j,x_j,rho_j,phi_j,E_j
0,-3.14159,0.0576422,0.0333287,1.02705e-16
1,-2.93891,0.044265,0.0321448,0.0103274
2,-2.73623,0.0159749,0.0291423,0.0164323
3,-2.53354,0.0110696,0.0254837,0.019173
4,-2.33086,0.00763085,0.0213702,0.0210681
5,-2.12818,0.022576,0.0169433,0.0241294
6,-1.92549,0.0290647,0.011589,0.0293627
7,-1.72281,0.014854,0.00504067,0.0338135
8,-1.52013,0.00258041,-0.00211787,0.0355803
9,-1.31744,-0.0176348,-0.00938242,0.0340547
10,-1.11476,-0.0605291,-0.0159225,0.0261334
11,-0.912075,-0.0248878,-0.019976,0.0174772
12,-0.709392,0.00825808,-0.0230072,0.0157919
13,-0.506708,0.00837908,-0.0263775,0.0174779
14,-0.304025,-0.0339538,-0.0300921,0.0148861
15,-0.101342,-0.0564683,-0.0324119,0.00572259
16,0.101342,-0.0564683,-0.0324119,-0.00572259
17,0.304025,-0.0339538,-0.0300921,-0.0148861
18,0.506708,0.00837908,-0.0263775,-0.0174779
19,0.709392,0.00825808,-0.0230072,-0.0157919
20,0.912075,-0.0248878,-0.019976,-0.0174772
21,1.11476,-0.0605291,-0.0159225,-0.0261334
22,1.31744,-0.0176348,-0.00938242,-0.0340547
23,1.52013,0.00258041,-0.00211787,-0.0355803
24,1.72281,0.014854,0.00504067,-0.0338135
25,1.92549,0.0290647,0.011589,-0.0293627
26,2.12818,0.022576,0.0169433,-0.0241294
27,2.33086,0.00763085,0.0213702,-0.0210681
28,2.53354,0.0110696,0.0254837,-0.019173
29,2.73623,0.0159749,0.0291423,-0.0164323
30,2.93891,0.044265,0.0321448,-0.0103274
31,3.14159,0.0576422,0.0333287,1.02705e-16
