j,x_j,rho_j,phi_j,E_j
0,-3.14159,0.00145119,0.000597505,6.25861e-16
1,-2.93891,0.00145119,0.000567697,0.000294133
2,-2.73623,0.00145119,0.000478273,0.000588265
3,-2.53354,0.00145119,0.000329233,0.000882398
4,-2.33086,0.0014512,0.000120578,0.00117653
5,-2.12818,0.0014484,-0.000147694,0.00147038
6,-1.92549,0.0017758,-0.000475466,0.00179713
7,-1.72281,-0.00388818,-0.000876189,0.00158306
8,-1.52013,-0.0169572,-0.00111718,-0.000529449
9,-1.31744,0.00239122,-0.000661568,-0.00200559
10,-1.11476,0.00144357,-0.000304186,-0.00161696
11,-0.912075,0.00145122,-6.10562e-06,-0.0013236
12,-0.709392,0.00145119,0.000232358,-0.00102946
13,-0.506708,0.00145119,0.000411205,-0.000735332
14,-0.304025,0.00145119,0.000530437,-0.000441199
15,-0.101342,0.00145119,0.000590053,-0.000147066
16,0.101342,0.00145119,0.000590053,0.000147066
17,0.304025,0.00145119,0.000530437,0.000441199
18,0.506708,0.00145119,0.000411205,0.000735332
19,0.709392,0.00145119,0.000232358,0.00102946
20,0.912075,0.00145122,-6.10562e-06,0.0013236
21,1.11476,0.00144357,-0.000304186,0.00161696
22,1.31744,0.00239122,-0.000661568,0.00200559
23,1.52013,-0.0169572,-0.00111718,0.000529449
24,1.72281,-0.00388818,-0.000876189,-0.00158306
25,1.92549,0.0017758,-0.000475466,-0.00179713
26,2.12818,0.0014484,-0.000147694,-0.00147038
27,2.33086,0.0014512,0.000120578,-0.00117653
28,2.53354,0.00145119,0.000329233,-0.000882398
29,2.73623,0.00145119,0.000478273,-0.000588265
30,2.93891,0.00145119,0.000567697,-0.000294133
31,3.14159,0.00145119,0.000597505,6.25861e-16
