j,x_j,rho_j,phi_j,E_j
0,-3.14159,0.0567927,0.0613414,-5.13527e-17
1,-2.93891,0.0761771,0.0601749,0.0134754
2,-2.73623,0.0472216,0.0558789,0.0259808
3,-2.53354,0.0559028,0.0496431,0.0364316
4,-2.33086,0.022163,0.0411107,0.044343
5,-2.12818,0.0106297,0.0316679,0.0476662
6,-1.92549,0.03988,0.0217884,0.052785
7,-1.72281,0.0296069,0.0102707,0.0598269
8,-1.52013,0.00632933,-0.00246339,0.0634687
9,-1.31744,-0.0208452,-0.0154575,0.0619977
10,-1.11476,-0.0521574,-0.0275952,0.0545995
11,-0.912075,-0.0636997,-0.0375903,0.0428583
12,-0.709392,0.00468676,-0.0449685,0.0368778
13,-0.506708,-0.0363033,-0.0525393,0.0336738
14,-0.304025,-0.0663515,-0.0586187,0.0232705
15,-0.101342,-0.0816365,-0.0619724,0.00827318
16,0.101342,-0.0816365,-0.0619724,-0.00827318
17,0.304025,-0.0663515,-0.0586187,-0.0232705
18,0.506708,-0.0363033,-0.0525393,-0.0336738
19,0.709392,0.00468676,-0.0449685,-0.0368778
20,0.912075,-0.0636997,-0.0375903,-0.0428583
21,1.11476,-0.0521574,-0.0275952,-0.0545995
22,1.31744,-0.0208452,-0.0154575,-0.0619977
23,1.52013,0.00632933,-0.00246339,-0.0634687
24,1.72281,0.0296069,0.0102707,-0.0598269
25,1.92549,0.03988,0.0217884,-0.052785
26,2.12818,0.0106297,0.0316679,-0.0476662
27,2.33086,0.022163,0.0411107,-0.044343
28,2.53354,0.0559028,0.0496431,-0.0364316
29,2.73623,0.0472216,0.0558789,-0.0259808
30,2.93891,0.0761771,0.0601749,-0.0134754
31,3.14159,0.0567927,0.0613414,-5.13527e-17
