j,x_j,rho_j,phi_j,E_j
0,-3.14159,0.120915,0.141003,-9.58584e-16
1,-2.93891,0.124054,0.138519,0.0248256
2,-2.73623,0.134163,0.130939,0.0509938
3,-2.53354,0.137454,0.117848,0.0785199
4,-2.33086,0.0940221,0.0991097,0.101978
5,-2.12818,0.0652846,0.0765092,0.118122
6,-1.92549,0.0522665,0.0512268,0.130035
7,-1.72281,0.0278064,0.0237972,0.13815
8,-1.52013,0.00185466,-0.00477463,0.141156
9,-1.31744,-0.0243325,-0.0334227,0.138878
10,-1.11476,-0.0491257,-0.0610712,0.131434
11,-0.912075,-0.0705427,-0.0867015,0.119306
12,-0.709392,-0.0866523,-0.109434,0.103376
13,-0.506708,-0.175008,-0.128607,0.0768587
14,-0.304025,-0.150326,-0.14059,0.0438888
15,-0.101342,-0.141376,-0.146398,0.0143273
16,0.101342,-0.141376,-0.146398,-0.0143273
17,0.304025,-0.150326,-0.14059,-0.0438888
18,0.506708,-0.175008,-0.128607,-0.0768587
19,0.709392,-0.0866523,-0.109434,-0.103376
20,0.912075,-0.0705427,-0.0867015,-0.119306
21,1.11476,-0.0491257,-0.0610712,-0.131434
22,1.31744,-0.0243325,-0.0334227,-0.138878
23,1.52013,0.00185466,-0.00477463,-0.141156
24,1.72281,0.0278064,0.0237972,-0.13815
25,1.92549,0.0522665,0.0512268,-0.130035
26,2.12818,0.0652846,0.0765092,-0.118122
27,2.33086,0.0940221,0.0991097,-0.101978
28,2.53354,0.137454,0.117848,-0.0785199
29,2.73623,0.134163,0.130939,-0.0509938
30,2.93891,0.124054,0.138519,-0.0248256
31,3.14159,0.120915,0.141003,-9.58584e-16
