j,x_j,rho_j,phi_j,E_j
0,-3.14159,0.0516543,0.0514991,-2.41358e-15
1,-2.93891,0.0691179,0.0504381,0.0122393
2,-2.73623,0.0369383,0.0465377,0.0229872
3,-2.53354,0.0442497,0.0411199,0.0312149
4,-2.33086,0.0137316,0.0338842,0.0370908
5,-2.12818,0.00646553,0.0260845,0.0391376
6,-1.92549,0.0377499,0.0180191,0.0436185
7,-1.72281,0.0285597,0.00840298,0.0503385
8,-1.52013,0.00727811,-0.00238641,0.0539703
9,-1.31744,-0.020887,-0.0134748,0.0525912
10,-1.11476,-0.0705066,-0.0237051,0.0433292
11,-0.912075,-0.0356509,-0.031039,0.032571
12,-0.709392,0.0144831,-0.0369083,0.0304258
13,-0.506708,-0.0244846,-0.0433726,0.0294122
14,-0.304025,-0.0572327,-0.0488311,0.0211309
15,-0.101342,-0.0756392,-0.0519384,0.00766541
16,0.101342,-0.0756392,-0.0519384,-0.00766541
17,0.304025,-0.0572327,-0.0488311,-0.0211309
18,0.506708,-0.0244846,-0.0433726,-0.0294122
19,0.709392,0.0144831,-0.0369083,-0.0304258
20,0.912075,-0.0356509,-0.031039,-0.032571
21,1.11476,-0.0705066,-0.0237051,-0.0433292
22,1.31744,-0.020887,-0.0134748,-0.0525912
23,1.52013,0.00727811,-0.00238641,-0.0539703
24,1.72281,0.0285597,0.00840298,-0.0503385
25,1.92549,0.0377499,0.0180191,-0.0436185
26,2.12818,0.00646553,0.0260845,-0.0391376
27,2.33086,0.0137316,0.0338842,-0.0370908
28,2.53354,0.0442497,0.0411199,-0.0312149
29,2.73623,0.0369383,0.0465377,-0.0229872
30,2.93891,0.0691179,0.0504381,-0.0122393
31,3.14159,0.0516543,0.0514991,-2.41358e-15
