j,x_j,rho_j,phi_j,E_j
0,-3.14159,-0.0488761,-0.0959249,-4.79292e-16
1,-2.93891,-0.0424227,-0.094921,-0.00925238
2,-2.73623,-0.112373,-0.0921743,-0.0249396
3,-2.53354,-0.184638,-0.0848113,-0.0550392
4,-2.33086,-0.0970945,-0.0698633,-0.0835905
5,-2.12818,-0.00186706,-0.0509265,-0.0936194
6,-1.92549,-0.00465043,-0.0319131,-0.0942799
7,-1.72281,0.00523301,-0.0127086,-0.0942209
8,-1.52013,0.00557654,0.00628093,-0.0931254
9,-1.31744,0.00536565,0.0250414,-0.0920165
10,-1.11476,0.0195769,0.0435814,-0.0894888
11,-0.912075,0.0436734,0.0613171,-0.0830789
12,-0.709392,0.144692,0.0772588,-0.0639896
13,-0.506708,0.128595,0.0872564,-0.0362943
14,-0.304025,0.0789053,0.0919713,-0.0152659
15,-0.101342,0.0358663,0.0934447,-0.00363475
16,0.101342,0.0358663,0.0934447,0.00363475
17,0.304025,0.0789053,0.0919713,0.0152659
18,0.506708,0.128595,0.0872564,0.0362943
19,0.709392,0.144692,0.0772588,0.0639896
20,0.912075,0.0436734,0.0613171,0.0830789
21,1.11476,0.0195769,0.0435814,0.0894888
22,1.31744,0.00536565,0.0250414,0.0920165
23,1.52013,0.00557654,0.00628093,0.0931254
24,1.72281,0.00523301,-0.0127086,0.0942209
25,1.92549,-0.00465043,-0.0319131,0.0942799
26,2.12818,-0.00186706,-0.0509265,0.0936194
27,2.33086,-0.0970945,-0.0698633,0.0835905
28,2.53354,-0.184638,-0.0848113,0.0550392
29,2.73623,-0.112373,-0.0921743,0.0249396
30,2.93891,-0.0424227,-0.094921,0.00925238
31,3.14159,-0.0488761,-0.0959249,-4.79292e-16
