j,x_j,rho_j,phi_j,E_j
0,-3.14159,-0.104644,-0.0870731,-1.30094e-15
1,-2.93891,-0.0931315,-0.0849237,-0.0200429
2,-2.73623,-0.0630154,-0.0789484,-0.0358671
3,-2.53354,-0.0610578,-0.0703844,-0.0484409
4,-2.33086,-0.0774254,-0.0593121,-0.062475
5,-2.12818,-0.0437614,-0.0450591,-0.0747563
6,-1.92549,-0.0266105,-0.0290083,-0.0818879
7,-1.72281,-0.00829838,-0.0118644,-0.0854256
8,-1.52013,0.00930958,0.00562037,-0.0853232
9,-1.31744,0.0263766,0.0227227,-0.0817067
10,-1.11476,0.0417304,0.0387415,-0.0748046
11,-0.912075,0.0545266,0.053046,-0.0650497
12,-0.709392,0.0646738,0.0651105,-0.0529697
13,-0.506708,0.0722056,0.0745182,-0.0390981
14,-0.304025,0.0771694,0.0809596,-0.0239602
15,-0.101342,0.0796304,0.0842309,-0.00806988
16,0.101342,0.0796304,0.0842309,0.00806988
17,0.304025,0.0771694,0.0809596,0.0239602
18,0.506708,0.0722056,0.0745182,0.0390981
19,0.709392,0.0646738,0.0651105,0.0529697
20,0.912075,0.0545266,0.053046,0.0650497
21,1.11476,0.0417304,0.0387415,0.0748046
22,1.31744,0.0263766,0.0227227,0.0817067
23,1.52013,0.00930958,0.00562037,0.0853232
24,1.72281,-0.00829838,-0.0118644,0.0854256
25,1.92549,-0.0266105,-0.0290083,0.0818879
26,2.12818,-0.0437614,-0.0450591,0.0747563
27,2.33086,-0.0774254,-0.0593121,0.062475
28,2.53354,-0.0610578,-0.0703844,0.0484409
29,2.73623,-0.0630154,-0.0789484,0.0358671
30,2.93891,-0.0931315,-0.0849237,0.0200429
31,3.14159,-0.104644,-0.0870731,-1.30094e-15
