j,x_j,rho_j,phi_j,E_j
0,-3.14159,-0.0812737,-0.12516,1.02705e-16
1,-2.93891,-0.0952674,-0.123491,-0.017891
2,-2.73623,-0.157286,-0.117908,-0.0434851
3,-2.53354,-0.188657,-0.105863,-0.0785436
4,-2.33086,-0.055119,-0.0860688,-0.103248
5,-2.12818,-0.0321541,-0.0640099,-0.112093
6,-1.92549,-0.0250785,-0.0406301,-0.117893
7,-1.72281,-0.00796226,-0.0162201,-0.121241
8,-1.52013,0.0111908,0.008517,-0.120914
9,-1.31744,0.030212,0.0327944,-0.116718
10,-1.11476,0.0469671,0.0558307,-0.108897
11,-0.912075,0.0587098,0.0769375,-0.0981872
12,-0.709392,0.116182,0.0956325,-0.0804633
13,-0.506708,0.13856,0.109555,-0.0546473
14,-0.304025,0.105606,0.117785,-0.0299031
15,-0.101342,0.0947332,0.121676,-0.00960042
16,0.101342,0.0947332,0.121676,0.00960042
17,0.304025,0.105606,0.117785,0.0299031
18,0.506708,0.13856,0.109555,0.0546473
19,0.709392,0.116182,0.0956325,0.0804633
20,0.912075,0.0587098,0.0769375,0.0981872
21,1.11476,0.0469671,0.0558307,0.108897
22,1.31744,0.030212,0.0327944,0.116718
23,1.52013,0.0111908,0.008517,0.120914
24,1.72281,-0.00796226,-0.0162201,0.121241
25,1.92549,-0.0250785,-0.0406301,0.117893
26,2.12818,-0.0321541,-0.0640099,0.112093
27,2.33086,-0.055119,-0.0860688,0.103248
28,2.53354,-0.188657,-0.105863,0.0785436
29,2.73623,-0.157286,-0.117908,0.0434851
30,2.93891,-0.0952674,-0.123491,0.017891
31,3.14159,-0.0812737,-0.12516,1.02705e-16
