j,x_j,rho_j,phi_j,E_j
0,-3.14159,0.00127238,0.000493285,-1.07386e-15
1,-2.93891,0.00127212,0.00046715,0.000257864
2,-2.73623,0.00127624,0.000388755,0.000516119
3,-2.53354,0.00122972,0.000257932,0.000770077
4,-2.33086,0.00151509,7.6592e-05,0.00104824
5,-2.12818,0.00122114,-0.000166989,0.00132553
6,-1.92549,-0.00248801,-0.000460736,0.00119715
7,-1.72281,-0.00438086,-0.000652273,0.000501045
8,-1.52013,-0.00212534,-0.000663842,-0.000158305
9,-1.31744,-0.00459598,-0.000588102,-0.000839454
10,-1.11476,-0.000665572,-0.000323556,-0.00137267
11,-0.912075,0.00212888,-3.16675e-05,-0.00122437
12,-0.709392,0.00114975,0.000172765,-0.000892113
13,-0.506708,0.00128247,0.000329966,-0.000645627
14,-0.304025,0.00127178,0.000434481,-0.000386775
15,-0.101342,0.00127238,0.000486751,-0.000128945
16,0.101342,0.00127238,0.000486751,0.000128945
17,0.304025,0.00127178,0.000434481,0.000386775
18,0.506708,0.00128247,0.000329966,0.000645627
19,0.709392,0.00114975,0.000172765,0.000892113
20,0.912075,0.00212888,-3.16675e-05,0.00122437
21,1.11476,-0.000665572,-0.000323556,0.00137267
22,1.31744,-0.00459598,-0.000588102,0.000839454
23,1.52013,-0.00212534,-0.000663842,0.000158305
24,1.72281,-0.00438086,-0.000652273,-0.000501045
25,1.92549,-0.00248801,-0.000460736,-0.00119715
26,2.12818,0.00122114,-0.000166989,-0.00132553
27,2.33086,0.00151509,7.6592e-05,-0.00104824
28,2.53354,0.00122972,0.000257932,-0.000770077
29,2.73623,0.00127624,0.000388755,-0.000516119
30,2.93891,0.00127212,0.00046715,-0.000257864
31,3.14159,0.00127238,0.000493285,-1.07386e-15
