j,x_j,rho_j,phi_j,E_j
0,-3.14159,-0.073989,-0.118366,-2.39646e-16
1,-2.93891,-0.0884827,-0.116846,-0.0164652
2,-2.73623,-0.141469,-0.111692,-0.0397688
3,-2.53354,-0.19255,-0.100726,-0.0736188
4,-2.33086,-0.0527146,-0.0818492,-0.0984744
5,-2.12818,-0.0291095,-0.0608073,-0.106767
6,-1.92549,-0.022439,-0.0385696,-0.111991
7,-1.72281,-0.00697166,-0.0154101,-0.114971
8,-1.52013,0.0104627,0.00803587,-0.114617
9,-1.31744,0.0278452,0.031052,-0.110735
10,-1.11476,0.0432693,0.0529242,-0.103528
11,-0.912075,0.0552566,0.0730189,-0.0935435
12,-0.709392,0.112804,0.0908436,-0.076512
13,-0.506708,0.134326,0.104034,-0.0514674
14,-0.304025,0.0996667,0.111707,-0.0277541
15,-0.101342,0.0871001,0.115285,-0.00882687
16,0.101342,0.0871001,0.115285,0.00882687
17,0.304025,0.0996667,0.111707,0.0277541
18,0.506708,0.134326,0.104034,0.0514674
19,0.709392,0.112804,0.0908436,0.076512
20,0.912075,0.0552566,0.0730189,0.0935435
21,1.11476,0.0432693,0.0529242,0.103528
22,1.31744,0.0278452,0.031052,0.110735
23,1.52013,0.0104627,0.00803587,0.114617
24,1.72281,-0.00697166,-0.0154101,0.114971
25,1.92549,-0.022439,-0.0385696,0.111991
26,2.12818,-0.0291095,-0.0608073,0.106767
27,2.33086,-0.0527146,-0.0818492,0.0984744
28,2.53354,-0.19255,-0.100726,0.0736188
29,2.73623,-0.141469,-0.111692,0.0397688
30,2.93891,-0.0884827,-0.116846,0.0164652
31,3.14159,-0.073989,-0.118366,-2.39646e-16
