j,x_j,rho_j,phi_j,E_j
0,-3.14159,0.0189479,-0.0146539,-1.20251e-15
1,-2.93891,0.00369974,-0.0150431,0.00229515
2,-2.73623,-0.0301552,-0.0155843,-0.000385885
3,-2.53354,-0.0338727,-0.0148867,-0.00687458
4,-2.33086,-0.0248891,-0.0127976,-0.0128296
5,-2.12818,0.0014915,-0.00968598,-0.0152007
6,-1.92549,0.00286101,-0.00663568,-0.0147597
7,-1.72281,-0.0155793,-0.00370291,-0.0160485
8,-1.52013,0.000296517,-0.00013013,-0.0175973
9,-1.31744,-0.00288463,0.00343047,-0.0178596
10,-1.11476,-0.00495023,0.00710956,-0.0186536
11,-0.912075,0.00137897,0.010992,-0.0190155
12,-0.709392,0.0455063,0.0148178,-0.0142641
13,-0.506708,0.0524392,0.0167742,-0.00433814
14,-0.304025,0.00880493,0.0165764,0.00186844
15,-0.101342,-0.013621,0.0160168,0.00138037
16,0.101342,-0.013621,0.0160168,-0.00138037
17,0.304025,0.00880493,0.0165764,-0.00186844
18,0.506708,0.0524392,0.0167742,0.00433814
19,0.709392,0.0455063,0.0148178,0.0142641
20,0.912075,0.00137897,0.010992,0.0190155
21,1.11476,-0.00495023,0.00710956,0.0186536
22,1.31744,-0.00288463,0.00343047,0.0178596
23,1.52013,0.000296517,-0.00013013,0.0175973
24,1.72281,-0.0155793,-0.00370291,0.0160485
25,1.92549,0.00286101,-0.00663568,0.0147597
26,2.12818,0.0014915,-0.00968598,0.0152007
27,2.33086,-0.0248891,-0.0127976,0.0128296
28,2.53354,-0.0338727,-0.0148867,0.00687458
29,2.73623,-0.0301552,-0.0155843,0.000385885
30,2.93891,0.00369974,-0.0150431,-0.00229515
31,3.14159,0.0189479,-0.0146539,-1.20251e-15
