j,x_j,rho_j,phi_j,E_j
0,-3.14159,-0.116435,-0.102833,-1.19823e-15
1,-2.93891,-0.105901,-0.100441,-0.0225319
2,-2.73623,-0.0780281,-0.093699,-0.0411716
3,-2.53354,-0.105469,-0.0837515,-0.0597675
4,-2.33086,-0.0625559,-0.0694713,-0.0767955
5,-2.12818,-0.0490232,-0.0526212,-0.0881031
6,-1.92549,-0.0299355,-0.0337572,-0.0961049
7,-1.72281,-0.00939665,-0.0136635,-0.100091
8,-1.52013,0.0106493,0.00681631,-0.0999639
9,-1.31744,0.0302582,0.0268586,-0.0958183
10,-1.11476,0.0481797,0.0456578,-0.0878692
11,-0.912075,0.0634137,0.0624779,-0.0765602
12,-0.709392,0.0757055,0.0766928,-0.0624616
13,-0.506708,0.0849634,0.0877977,-0.0461791
14,-0.304025,0.0911367,0.0954123,-0.0283329
15,-0.101342,0.0942204,0.0992829,-0.00954846
16,0.101342,0.0942204,0.0992829,0.00954846
17,0.304025,0.0911367,0.0954123,0.0283329
18,0.506708,0.0849634,0.0877977,0.0461791
19,0.709392,0.0757055,0.0766928,0.0624616
20,0.912075,0.0634137,0.0624779,0.0765602
21,1.11476,0.0481797,0.0456578,0.0878692
22,1.31744,0.0302582,0.0268586,0.0958183
23,1.52013,0.0106493,0.00681631,0.0999639
24,1.72281,-0.00939665,-0.0136635,0.100091
25,1.92549,-0.0299355,-0.0337572,0.0961049
26,2.12818,-0.0490232,-0.0526212,0.0881031
27,2.33086,-0.0625559,-0.0694713,0.0767955
28,2.53354,-0.105469,-0.0837515,0.0597675
29,2.73623,-0.0780281,-0.093699,0.0411716
30,2.93891,-0.105901,-0.100441,0.0225319
31,3.14159,-0.116435,-0.102833,-1.19823e-15
