j,x_j,rho_j,phi_j,E_j
0,-3.14159,-0.0630824,-0.0350693,3.25234e-16
1,-2.93891,-0.0496342,-0.0337736,-0.0114229
2,-2.73623,-0.0150829,-0.0304389,-0.0179814
3,-2.53354,0.0110949,-0.0264845,-0.0183856
4,-2.33086,-0.00824276,-0.022986,-0.0180965
5,-2.12818,-0.0451931,-0.0191488,-0.0235118
6,-1.92549,-0.0399884,-0.0134551,-0.0321443
7,-1.72281,-0.00459051,-0.00611857,-0.036662
8,-1.52013,0.00465255,0.00140649,-0.0366557
9,-1.31744,0.0131209,0.00874042,-0.0348545
10,-1.11476,0.0199322,0.0155353,-0.0315048
11,-0.912075,0.0247536,0.0215114,-0.0269763
12,-0.709392,0.0279794,0.0264706,-0.0216323
13,-0.506708,0.0299966,0.0302804,-0.0157569
14,-0.304025,0.0311243,0.0328579,-0.00956277
15,-0.101342,0.0316187,0.0341569,-0.00320429
16,0.101342,0.0316187,0.0341569,0.00320429
17,0.304025,0.0311243,0.0328579,0.00956277
18,0.506708,0.0299966,0.0302804,0.0157569
19,0.709392,0.0279794,0.0264706,0.0216323
20,0.912075,0.0247536,0.0215114,0.0269763
21,1.11476,0.0199322,0.0155353,0.0315048
22,1.31744,0.0131209,0.00874042,0.0348545
23,1.52013,0.00465255,0.00140649,0.0366557
24,1.72281,-0.00459051,-0.00611857,0.036662
25,1.92549,-0.0399884,-0.0134551,0.0321443
26,2.12818,-0.0451931,-0.0191488,0.0235118
27,2.33086,-0.00824276,-0.022986,0.0180965
28,2.53354,0.0110949,-0.0264845,0.0183856
29,2.73623,-0.0150829,-0.0304389,0.0179814
30,2.93891,-0.0496342,-0.0337736,0.0114229
31,3.14159,-0.0630824,-0.0350693,3.25234e-16
