j,x_j,rho_j,phi_j,E_j
0,-3.14159,0.00157557,0.000659826,9.12848e-16
1,-2.93891,0.001572,0.000627463,0.00031898
2,-2.73623,0.00160173,0.000530522,0.000640612
3,-2.53354,0.00144054,0.000367781,0.000948921
4,-2.33086,0.00172463,0.000145861,0.00126968
5,-2.12818,0.00306484,-0.000146907,0.00175506
6,-1.92549,0.000476627,-0.000565581,0.00211396
7,-1.72281,-0.00745796,-0.00100384,0.00140646
8,-1.52013,-0.0109794,-0.00113571,-0.000462018
9,-1.31744,-0.00380007,-0.000816548,-0.0019598
10,-1.11476,0.00281356,-0.000341276,-0.00205977
11,-0.912075,0.00285141,1.84144e-05,-0.00148567
12,-0.709392,0.00111047,0.000260967,-0.00108417
13,-0.506708,0.00165103,0.000457901,-0.000804316
14,-0.304025,0.00156719,0.00058701,-0.000478177
15,-0.101342,0.00157564,0.000651738,-0.000159678
16,0.101342,0.00157564,0.000651738,0.000159678
17,0.304025,0.00156719,0.00058701,0.000478177
18,0.506708,0.00165103,0.000457901,0.000804316
19,0.709392,0.00111047,0.000260967,0.00108417
20,0.912075,0.00285141,1.84144e-05,0.00148567
21,1.11476,0.00281356,-0.000341276,0.00205977
22,1.31744,-0.00380007,-0.000816548,0.0019598
23,1.52013,-0.0109794,-0.00113571,0.000462018
24,1.72281,-0.00745796,-0.00100384,-0.00140646
25,1.92549,0.000476627,-0.000565581,-0.00211396
26,2.12818,0.00306484,-0.000146907,-0.00175506
27,2.33086,0.00172463,0.000145861,-0.00126968
28,2.53354,0.00144054,0.000367781,-0.000948921
29,2.73623,0.00160173,0.000530522,-0.000640612
30,2.93891,0.001572,0.000627463,-0.00031898
31,3.14159,0.00157557,0.000659826,9.12848e-16
