j,x_j,rho_j,phi_j,E_j
0,-3.14159,-0.00189796,-0.000752433,1.75776e-15
1,-2.93891,-0.00193824,-0.000713448,-0.000388767
2,-2.73623,-0.00180299,-0.00059484,-0.000767909
3,-2.53354,-0.0019657,-0.000402163,-0.00114984
4,-2.33086,-0.00278979,-0.000128735,-0.00163177
5,-2.12818,-0.000992157,0.0002593,-0.00201503
6,-1.92549,0.00292119,0.000688093,-0.00181954
7,-1.72281,0.00501399,0.000996882,-0.00101538
8,-1.52013,0.0082533,0.00109969,0.000329151
9,-1.31744,0.00332946,0.000863456,0.00150297
10,-1.11476,0.00158686,0.000490441,0.0020012
11,-0.912075,-0.00251438,5.22371e-05,0.0019072
12,-0.709392,-0.00274417,-0.000282675,0.00137429
13,-0.506708,-0.00151664,-0.000504854,0.000942491
14,-0.304025,-0.00199542,-0.000664729,0.000586574
15,-0.101342,-0.00189633,-0.000742631,0.000192177
16,0.101342,-0.00189633,-0.000742631,-0.000192177
17,0.304025,-0.00199542,-0.000664729,-0.000586574
18,0.506708,-0.00151664,-0.000504854,-0.000942491
19,0.709392,-0.00274417,-0.000282675,-0.00137429
20,0.912075,-0.00251438,5.22371e-05,-0.0019072
21,1.11476,0.00158686,0.000490441,-0.0020012
22,1.31744,0.00332946,0.000863456,-0.00150297
23,1.52013,0.0082533,0.00109969,-0.000329151
24,1.72281,0.00501399,0.000996882,0.00101538
25,1.92549,0.00292119,0.000688093,0.00181954
26,2.12818,-0.000992157,0.0002593,0.00201503
27,2.33086,-0.00278979,-0.000128735,0.00163177
28,2.53354,-0.0019657,-0.000402163,0.00114984
29,2.73623,-0.00180299,-0.00059484,0.000767909
30,2.93891,-0.00193824,-0.000713448,0.000388767
31,3.14159,-0.00189796,-0.000752433,1.75776e-15
