j,x_j,rho_j,phi_j,E_j
0,-3.14159,0.354488,-0.0358062,7.47136e-13
1,-3.13852,-0.426877,-0.0358079,-0.000111099
2,-3.13545,0.28786,-0.0358056,-0.000324454
3,-3.13238,-0.287371,-0.0358059,-0.000323704
4,-3.12931,0.146278,-0.0358036,-0.000540243
5,-3.12625,-0.14579,-0.0358026,-0.000539493
6,-3.12318,0.0047107,-0.0358003,-0.000756012
7,-3.12011,-0.00422218,-0.035798,-0.000755262
8,-3.11704,-0.136839,-0.0357956,-0.000971752
9,-3.11397,0.137327,-0.035792,-0.000971002
10,-3.1109,-0.278364,-0.0357897,-0.00118746
11,-3.10783,0.278853,-0.0357847,-0.00118671
12,-3.10476,-0.419502,-0.0357824,-0.00140256
13,-3.10169,0.358408,-0.0357761,-0.00149633
14,-3.09862,-0.438174,-0.0357732,-0.00161875
15,-3.09555,0.297115,-0.0357662,-0.00183523
16,-3.09248,-0.296626,-0.0357619,-0.00183448
17,-3.08941,0.155804,-0.0357549,-0.00205061
18,-3.08634,-0.155315,-0.0357493,-0.00204986
19,-3.08327,0.0145097,-0.0357423,-0.00226596
20,-3.0802,-0.0140212,-0.0357354,-0.00226521
21,-3.07713,-0.126745,-0.0357284,-0.00248125
22,-3.07406,0.127234,-0.0357202,-0.0024805
23,-3.071,-0.267948,-0.0357132,-0.00269645
24,-3.06793,0.268437,-0.0357036,-0.0026957
25,-3.06486,-0.408883,-0.0356966,-0.00291125
26,-3.06179,0.359002,-0.0356858,-0.0029878
27,-3.05872,-0.449387,-0.0356783,-0.00312652
28,-3.05565,0.308782,-0.0356666,-0.00334231
29,-3.05258,-0.308293,-0.0356578,-0.00334156
30,-3.04951,0.167899,-0.0356461,-0.00355703
31,-3.04644,-0.167411,-0.0356359,-0.00355628
32,-3.04337,0.0270833,-0.0356242,-0.00377164
33,-3.0403,-0.0265948,-0.0356128,-0.00377089
34,-3.03723,-0.113649,-0.0356011,-0.00398613
35,-3.03416,0.114137,-0.0355883,-0.00398538
36,-3.03109,-0.254276,-0.0355766,-0.00420045
37,-3.02802,0.254765,-0.0355625,-0.00419971
38,-3.02495,-0.394678,-0.0355508,-0.00441443
39,-3.02188,0.359743,-0.0355354,-0.00446805
40,-3.01881,-0.464332,-0.0355234,-0.00462857
41,-3.01574,0.324421,-0.035507,-0.00484329
42,-3.01268,-0.323933,-0.0354937,-0.00484254
43,-3.00961,0.184244,-0.0354773,-0.00505693
44,-3.00654,-0.183755,-0.0354626,-0.00505618
45,-3.00347,0.0441829,-0.0354462,-0.00527038
46,-3.0004,-0.0436944,-0.0354303,-0.00526963
47,-2.99733,-0.0957617,-0.0354139,-0.00548366
48,-2.99426,0.0962502,-0.0353966,-0.00548291
49,-2.99119,-0.235548,-0.0353802,-0.0056967
50,-2.98812,0.236037,-0.0353616,-0.00569595
51,-2.98505,-0.375152,-0.0353453,-0.00590945
52,-2.98198,0.36074,-0.0353254,-0.00593157
53,-2.97891,-0.484856,-0.0353089,-0.00612205
54,-2.97584,0.345852,-0.0352878,-0.00633538
55,-2.97277,-0.345363,-0.03527,-0.00633464
56,-2.9697,0.206663,-0.0352489,-0.0065475
57,-2.96663,-0.206174,-0.0352298,-0.00654675
58,-2.96356,0.0676185,-0.0352087,-0.0067594
59,-2.96049,-0.06713,-0.0351883,-0.00675865
60,-2.95743,-0.071277,-0.0351672,-0.00697107
61,-2.95436,0.0717656,-0.0351455,-0.00697032
62,-2.95129,-0.21001,-0.0351244,-0.00718249
63,-2.94822,0.210499,-0.0351014,-0.00718174
64,-2.94515,-0.34852,-0.0350803,-0.00739356
65,-2.94208,0.349008,-0.035056,-0.00739281
66,-2.93901,-0.486758,-0.035035,-0.00760422
67,-2.93594,0.361888,-0.0350093,-0.00779586
68,-2.93287,-0.374397,-0.0349871,-0.00781506
69,-2.9298,0.236945,-0.0349613,-0.00802601
70,-2.92673,-0.236457,-0.0349378,-0.00802526
71,-2.92366,0.0991612,-0.0349121,-0.00823597
72,-2.92059,-0.0986726,-0.0348873,-0.00823522
73,-2.91752,-0.038434,-0.0348615,-0.00844565
74,-2.91445,0.0389225,-0.0348354,-0.0084449
75,-2.91138,-0.175793,-0.0348097,-0.00865496
76,-2.90831,0.176282,-0.0347823,-0.00865421
77,-2.90524,-0.312994,-0.0347566,-0.00886402
78,-2.90217,0.313483,-0.0347279,-0.00886327
79,-2.89911,-0.449761,-0.0347021,-0.00907242
80,-2.89604,0.363324,-0.0346722,-0.00920508
81,-2.89297,-0.41283,-0.0346456,-0.00928106
82,-2.8899,0.276857,-0.0346152,-0.00948974
83,-2.88683,-0.276368,-0.0345874,-0.00948899
84,-2.88376,0.140574,-0.0345569,-0.0096974
85,-2.88069,-0.140086,-0.0345278,-0.00969665
86,-2.87762,0.00458099,-0.0344974,-0.00990461
87,-2.87455,-0.00409247,-0.034467,-0.00990386
88,-2.87148,-0.131225,-0.0344366,-0.0101115
89,-2.86841,0.131714,-0.034405,-0.0101108
90,-2.86534,-0.266775,-0.0343746,-0.0103181
91,-2.86227,0.267264,-0.0343416,-0.0103173
92,-2.8592,-0.401914,-0.0343112,-0.010524
93,-2.85613,0.365094,-0.034277,-0.0105805
94,-2.85306,-0.462447,-0.0342463,-0.0107299
95,-2.84999,0.328168,-0.0342111,-0.010936
96,-2.84692,-0.32768,-0.0341791,-0.0109352
97,-2.84386,0.193655,-0.034144,-0.0111409
98,-2.84079,-0.193167,-0.0341107,-0.0111402
99,-2.83772,0.059462,-0.0340756,-0.0113454
100,-2.83465,-0.0589735,-0.0340411,-0.0113446
101,-2.83158,-0.0744965,-0.034006,-0.0115495
102,-2.82851,0.0749851,-0.0339702,-0.0115487
103,-2.82544,-0.208118,-0.0339351,-0.011753
104,-2.82237,0.208607,-0.033898,-0.0117523
105,-2.8193,-0.34146,-0.0338629,-0.0119562
106,-2.81623,0.341949,-0.0338246,-0.0119554
107,-2.81316,-0.474546,-0.0337895,-0.0121589
108,-2.81009,0.3674,-0.03375,-0.0123234
109,-2.80702,-0.392121,-0.0337139,-0.0123613
110,-2.80395,0.260134,-0.0336741,-0.0125639
111,-2.80088,-0.259645,-0.0336368,-0.0125631
112,-2.79781,0.128009,-0.033597,-0.0127652
113,-2.79474,-0.12752,-0.0335584,-0.0127644
114,-2.79167,-0.00391359,-0.0335186,-0.0129661
115,-2.7886,0.00440211,-0.0334788,-0.0129654
116,-2.78554,-0.135388,-0.033439,-0.0131664
117,-2.78247,0.135877,-0.033398,-0.0131656
118,-2.7794,-0.266646,-0.0333582,-0.0133663
119,-2.77633,0.267134,-0.0333159,-0.0133656
120,-2.77326,-0.397429,-0.0332762,-0.0135656
121,-2.77019,0.369612,-0.0332326,-0.0136082
122,-2.76712,-0.471451,-0.0331926,-0.0137645
123,-2.76405,0.341663,-0.0331481,-0.0139637
124,-2.76098,-0.341175,-0.0331069,-0.013963
125,-2.75791,0.211854,-0.0330624,-0.0141615
126,-2.75484,-0.211366,-0.03302,-0.0141607
127,-2.75177,0.0822992,-0.0329755,-0.0143588
128,-2.7487,-0.0818107,-0.0329318,-0.014358
129,-2.74563,-0.0468936,-0.0328874,-0.0145556
130,-2.74256,0.0473821,-0.0328425,-0.0145548
131,-2.73949,-0.175699,-0.032798,-0.0147517
132,-2.73642,0.176187,-0.0327519,-0.014751
133,-2.73335,-0.304096,-0.0327074,-0.0149473
134,-2.73028,0.304585,-0.0326601,-0.0149466
135,-2.72722,-0.432174,-0.0326157,-0.0151424
136,-2.72415,0.372439,-0.0325672,-0.015234
137,-2.72108,-0.439532,-0.0325222,-0.015337
138,-2.71801,0.312691,-0.032473,-0.0155317
139,-2.71494,-0.312203,-0.0324268,-0.0155309
140,-2.71187,0.185757,-0.0323777,-0.015725
141,-2.7088,-0.185268,-0.0323303,-0.0157242
142,-2.70573,0.0591192,-0.0322812,-0.0159178
143,-2.70266,-0.0586306,-0.0322326,-0.0159171
144,-2.69959,-0.0670188,-0.0321834,-0.0161099
145,-2.69652,0.0675073,-0.0321337,-0.0161092
146,-2.69345,-0.192853,-0.0320845,-0.0163016
147,-2.69038,0.193342,-0.0320336,-0.0163008
148,-2.68731,-0.318171,-0.0319845,-0.0164924
149,-2.68424,0.31866,-0.0319324,-0.0164916
150,-2.68117,-0.443155,-0.0318832,-0.0166827
151,-2.6781,0.375575,-0.0318299,-0.0167864
152,-2.67503,-0.431687,-0.0317802,-0.0168725
153,-2.67197,0.308138,-0.0317264,-0.0170622
154,-2.6689,-0.307649,-0.0316754,-0.0170614
155,-2.66583,0.184265,-0.0316216,-0.0172508
156,-2.66276,-0.183776,-0.0315695,-0.01725
157,-2.65969,0.0610177,-0.0315157,-0.0174384
158,-2.65662,-0.0605292,-0.0314625,-0.0174377
159,-2.65355,-0.0619456,-0.0314087,-0.0176256
160,-2.65048,0.0624341,-0.0313543,-0.0176249
161,-2.64741,-0.184389,-0.0313005,-0.0178121
162,-2.64434,0.184878,-0.0312449,-0.0178113
163,-2.64127,-0.306329,-0.0311911,-0.0179977
164,-2.6382,0.306818,-0.0311345,-0.0179969
165,-2.63513,-0.427981,-0.0310807,-0.0181829
166,-2.63206,0.379111,-0.0310228,-0.0182579
167,-2.62899,-0.450397,-0.0309686,-0.0183673
168,-2.62592,0.330138,-0.0309101,-0.0185519
169,-2.62285,-0.32965,-0.0308547,-0.0185511
170,-2.61978,0.209939,-0.0307962,-0.0187348
171,-2.61671,-0.20945,-0.0307397,-0.0187341
172,-2.61365,0.0901938,-0.0306812,-0.0189171
173,-2.61058,-0.0897052,-0.0306235,-0.0189164
174,-2.60751,-0.0291536,-0.0305651,-0.0190988
175,-2.60444,0.0296421,-0.0305063,-0.019098
176,-2.60137,-0.148,-0.0304478,-0.0192797
177,-2.5983,0.148489,-0.0303879,-0.0192789
178,-2.59523,-0.26634,-0.0303295,-0.0194598
179,-2.59216,0.266829,-0.0302685,-0.0194591
180,-2.58909,-0.384178,-0.03021,-0.0196392
181,-2.58602,0.38276,-0.0301479,-0.0196413
182,-2.58295,-0.497849,-0.0300894,-0.019818
183,-2.57988,0.38143,-0.0300263,-0.0199966
184,-2.57681,-0.380942,-0.0299667,-0.0199959
185,-2.57374,0.264911,-0.0299035,-0.020174
186,-2.57067,-0.264422,-0.0298428,-0.0201732
187,-2.5676,0.149082,-0.0297797,-0.0203502
188,-2.56453,-0.148593,-0.0297179,-0.0203495
189,-2.56146,0.0336055,-0.0296547,-0.020526
190,-2.5584,-0.033117,-0.0295919,-0.0205252
191,-2.55533,-0.0813633,-0.0295287,-0.0207009
192,-2.55226,0.0818519,-0.0294648,-0.0207002
193,-2.54919,-0.195798,-0.0294017,-0.020875
194,-2.54612,0.196287,-0.0293367,-0.0208743
195,-2.54305,-0.30965,-0.0292735,-0.0210483
196,-2.53998,0.310139,-0.0292074,-0.0210475
197,-2.53691,-0.423094,-0.0291443,-0.0212209
198,-2.53384,0.387378,-0.0290772,-0.0212757
199,-2.53077,-0.463551,-0.0290137,-0.0213926
200,-2.5277,0.351647,-0.0289458,-0.0215643
201,-2.52463,-0.351158,-0.0288813,-0.0215636
202,-2.52156,0.239827,-0.0288135,-0.0217344
203,-2.51849,-0.239338,-0.0287479,-0.0217337
204,-2.51542,0.128516,-0.02868,-0.0219038
205,-2.51235,-0.128027,-0.0286134,-0.021903
206,-2.50928,0.0178265,-0.0285456,-0.0220722
207,-2.50621,-0.017338,-0.0284779,-0.0220714
208,-2.50314,-0.0925087,-0.0284101,-0.02224
209,-2.50008,0.0929972,-0.0283414,-0.0222392
210,-2.49701,-0.202082,-0.0282736,-0.0224067
211,-2.49394,0.20257,-0.0282038,-0.0224059
212,-2.49087,-0.31127,-0.028136,-0.0225727
213,-2.4878,0.311758,-0.0280653,-0.022572
214,-2.48473,-0.419739,-0.0279974,-0.0227377
215,-2.48166,0.392104,-0.0279257,-0.0227801
216,-2.47859,-0.471632,-0.0278576,-0.0229022
217,-2.47552,0.364746,-0.0277851,-0.0230662
218,-2.47245,-0.364258,-0.027716,-0.0230655
219,-2.46938,0.257803,-0.0276435,-0.0232288
220,-2.46631,-0.257315,-0.0275734,-0.0232281
221,-2.46324,0.151551,-0.0275009,-0.0233904
222,-2.46017,-0.151062,-0.0274298,-0.0233897
223,-2.4571,0.0457524,-0.0273573,-0.0235513
224,-2.45403,-0.0452638,-0.0272852,-0.0235505
225,-2.45096,-0.0593622,-0.0272127,-0.0237111
226,-2.44789,0.0598508,-0.0271397,-0.0237104
227,-2.44483,-0.164004,-0.0270672,-0.0238702
228,-2.44176,0.164493,-0.0269931,-0.0238695
229,-2.43869,-0.26792,-0.0269206,-0.0240282
230,-2.43562,0.268408,-0.0268456,-0.0240274
231,-2.43255,-0.371382,-0.0267731,-0.0241855
232,-2.42948,0.371871,-0.0266972,-0.0241847
233,-2.42641,-0.474196,-0.0266247,-0.0243418
234,-2.42334,0.398013,-0.0265477,-0.0244587
235,-2.42027,-0.423084,-0.0264745,-0.0244972
236,-2.4172,0.321963,-0.0263973,-0.0246524
237,-2.41413,-0.321474,-0.0263232,-0.0246516
238,-2.41106,0.220976,-0.026246,-0.0248058
239,-2.40799,-0.220488,-0.0261709,-0.0248051
240,-2.40492,0.120517,-0.0260937,-0.0249585
241,-2.40185,-0.120028,-0.0260177,-0.0249578
242,-2.39878,0.0207155,-0.0259405,-0.0251102
243,-2.39571,-0.020227,-0.0258635,-0.0251094
244,-2.39264,-0.0783651,-0.0257864,-0.0252608
245,-2.38957,0.0788536,-0.0257085,-0.02526
246,-2.38651,-0.17704,-0.0256313,-0.0254107
247,-2.38344,0.177529,-0.0255525,-0.0254099
248,-2.38037,-0.2749,-0.0254753,-0.0255594
249,-2.3773,0.275389,-0.0253956,-0.0255586
250,-2.37423,-0.372215,-0.0253184,-0.0257072
251,-2.37116,0.372703,-0.0252377,-0.0257065
252,-2.36809,-0.468929,-0.0251606,-0.0258542
