j,x_j,rho_j,phi_j,E_j
0,-3.14159,-0.118565,-0.105748,1.02705e-16
1,-2.93891,-0.108242,-0.103312,-0.0229849
2,-2.73623,-0.0808425,-0.0964302,-0.042147
3,-2.53354,-0.113754,-0.0862272,-0.0618678
4,-2.33086,-0.0597691,-0.0713511,-0.0794529
5,-2.12818,-0.0499765,-0.0540196,-0.0905747
6,-1.92549,-0.0305403,-0.0346351,-0.0987344
7,-1.72281,-0.00959725,-0.013996,-0.102802
8,-1.52013,0.010894,0.00703743,-0.102671
9,-1.31744,0.0309694,0.0276233,-0.0984281
10,-1.11476,0.049365,0.0469369,-0.0902869
11,-0.912075,0.065052,0.0642226,-0.0786917
12,-0.709392,0.0777443,0.0788359,-0.0642204
13,-0.506708,0.0873256,0.0902554,-0.047492
14,-0.304025,0.0937261,0.0980876,-0.0291439
15,-0.101342,0.0969271,0.102069,-0.00982276
16,0.101342,0.0969271,0.102069,0.00982276
17,0.304025,0.0937261,0.0980876,0.0291439
18,0.506708,0.0873256,0.0902554,0.047492
19,0.709392,0.0777443,0.0788359,0.0642204
20,0.912075,0.065052,0.0642226,0.0786917
21,1.11476,0.049365,0.0469369,0.0902869
22,1.31744,0.0309694,0.0276233,0.0984281
23,1.52013,0.010894,0.00703743,0.102671
24,1.72281,-0.00959725,-0.013996,0.102802
25,1.92549,-0.0305403,-0.0346351,0.0987344
26,2.12818,-0.0499765,-0.0540196,0.0905747
27,2.33086,-0.0597691,-0.0713511,0.0794529
28,2.53354,-0.113754,-0.0862272,0.0618678
29,2.73623,-0.0808425,-0.0964302,0.042147
30,2.93891,-0.108242,-0.103312,0.0229849
31,3.14159,-0.118565,-0.105748,1.02705e-16
