j,x_j,rho_j,phi_j,E_j
0,-3.14159,-0.0789068,-0.122994,3.42351e-17
1,-2.93891,-0.0930775,-0.121373,-0.0174292
2,-2.73623,-0.152254,-0.115929,-0.0422915
3,-2.53354,-0.189966,-0.10423,-0.0769726
4,-2.33086,-0.0543701,-0.0847266,-0.101734
5,-2.12818,-0.0311642,-0.0629901,-0.110402
6,-1.92549,-0.0242145,-0.0399732,-0.116014
7,-1.72281,-0.00763756,-0.0159617,-0.119242
8,-1.52013,0.0109556,0.00836365,-0.118906
9,-1.31744,0.0294439,0.0322389,-0.114812
10,-1.11476,0.0457676,0.0549046,-0.10719
11,-0.912075,0.0576093,0.0756901,-0.0967135
12,-0.709392,0.115138,0.094109,-0.079207
13,-0.506708,0.137248,0.107798,-0.0536298
14,-0.304025,0.103712,0.115849,-0.0292106
15,-0.101342,0.0922629,0.119639,-0.00935008
16,0.101342,0.0922629,0.119639,0.00935008
17,0.304025,0.103712,0.115849,0.0292106
18,0.506708,0.137248,0.107798,0.0536298
19,0.709392,0.115138,0.094109,0.079207
20,0.912075,0.0576093,0.0756901,0.0967135
21,1.11476,0.0457676,0.0549046,0.10719
22,1.31744,0.0294439,0.0322389,0.114812
23,1.52013,0.0109556,0.00836365,0.118906
24,1.72281,-0.00763756,-0.0159617,0.119242
25,1.92549,-0.0242145,-0.0399732,0.116014
26,2.12818,-0.0311642,-0.0629901,0.110402
27,2.33086,-0.0543701,-0.0847266,0.101734
28,2.53354,-0.189966,-0.10423,0.0769726
29,2.73623,-0.152254,-0.115929,0.0422915
30,2.93891,-0.0930775,-0.121373,0.0174292
31,3.14159,-0.0789068,-0.122994,3.42351e-17
