j,x_j,rho_j,phi_j,E_j
0,-3.14159,0.0424584,0.108065,6.16232e-16
1,-2.93891,0.0750703,0.107193,0.0119106
2,-2.73623,0.108439,0.103237,0.0305077
3,-2.53354,0.164293,0.0948263,0.0581469
4,-2.33086,0.105565,0.0796662,0.0854948
5,-2.12818,0.0311113,0.0601695,0.0993458
6,-1.92549,0.0183008,0.0393947,0.104353
7,-1.72281,0.010673,0.0178681,0.10729
8,-1.52013,0.00336967,-0.00409691,0.108713
9,-1.31744,-0.0132136,-0.0262004,0.107715
10,-1.11476,-0.025116,-0.047761,0.103831
11,-0.912075,-0.0264745,-0.0682899,0.0986024
12,-0.709392,-0.121137,-0.0877312,0.0836432
13,-0.506708,-0.176942,-0.102196,0.0534354
14,-0.304025,-0.105307,-0.109392,0.0248317
15,-0.101342,-0.0698613,-0.112262,0.00707987
16,0.101342,-0.0698613,-0.112262,-0.00707987
17,0.304025,-0.105307,-0.109392,-0.0248317
18,0.506708,-0.176942,-0.102196,-0.0534354
19,0.709392,-0.121137,-0.0877312,-0.0836432
20,0.912075,-0.0264745,-0.0682899,-0.0986024
21,1.11476,-0.025116,-0.047761,-0.103831
22,1.31744,-0.0132136,-0.0262004,-0.107715
23,1.52013,0.00336967,-0.00409691,-0.108713
24,1.72281,0.010673,0.0178681,-0.10729
25,1.92549,0.0183008,0.0393947,-0.104353
26,2.12818,0.0311113,0.0601695,-0.0993458
27,2.33086,0.105565,0.0796662,-0.0854948
28,2.53354,0.164293,0.0948263,-0.0581469
29,2.73623,0.108439,0.103237,-0.0305077
30,2.93891,0.0750703,0.107193,-0.0119106
31,3.14159,0.0424584,0.108065,6.16232e-16
