j,x_j,rho_j,phi_j,E_j
0,-3.14159,-0.0959852,-0.137416,1.43788e-15
1,-2.93891,-0.108421,-0.135444,-0.0207149
2,-2.73623,-0.185353,-0.129019,-0.0504864
3,-2.53354,-0.179361,-0.114979,-0.0874471
4,-2.33086,-0.0588461,-0.0935706,-0.111587
5,-2.12818,-0.0383215,-0.069745,-0.121435
6,-1.92549,-0.0306316,-0.0443451,-0.128422
7,-1.72281,-0.0100523,-0.0176868,-0.132545
8,-1.52013,0.0126213,0.0093844,-0.132285
9,-1.31744,0.0349614,0.0359371,-0.127463
10,-1.11476,0.0543679,0.0610536,-0.11841
11,-0.912075,0.0649285,0.0839367,-0.10632
12,-0.709392,0.121138,0.104152,-0.0874641
13,-0.506708,0.144877,0.119392,-0.0605057
14,-0.304025,0.116307,0.128679,-0.0340368
15,-0.101342,0.109777,0.133189,-0.011125
16,0.101342,0.109777,0.133189,0.011125
17,0.304025,0.116307,0.128679,0.0340368
18,0.506708,0.144877,0.119392,0.0605057
19,0.709392,0.121138,0.104152,0.0874641
20,0.912075,0.0649285,0.0839367,0.10632
21,1.11476,0.0543679,0.0610536,0.11841
22,1.31744,0.0349614,0.0359371,0.127463
23,1.52013,0.0126213,0.0093844,0.132285
24,1.72281,-0.0100523,-0.0176868,0.132545
25,1.92549,-0.0306316,-0.0443451,0.128422
26,2.12818,-0.0383215,-0.069745,0.121435
27,2.33086,-0.0588461,-0.0935706,0.111587
28,2.53354,-0.179361,-0.114979,0.0874471
29,2.73623,-0.185353,-0.129019,0.0504864
30,2.93891,-0.108421,-0.135444,0.0207149
31,3.14159,-0.0959852,-0.137416,1.43788e-15
