j,x_j,rho_j,phi_j,E_j
0,-3.14159,-0.0802367,-0.0544237,1.52346e-15
1,-2.93891,-0.0652521,-0.0527756,-0.0147441
2,-2.73623,-0.0516804,-0.0484469,-0.0265942
3,-2.53354,0.000418968,-0.0419952,-0.0317891
4,-2.33086,-0.00280058,-0.0355607,-0.0320305
5,-2.12818,-0.0757362,-0.0290111,-0.0399896
6,-1.92549,-0.0341753,-0.0193502,-0.0511282
7,-1.72281,-0.0100511,-0.00828544,-0.0556102
8,-1.52013,0.00958806,0.00319227,-0.0556571
9,-1.31744,0.0271515,0.0142761,-0.0519338
10,-1.11476,0.0427765,0.0242445,-0.0448472
11,-0.912075,0.0221777,0.0324557,-0.0382646
12,-0.709392,0.0288136,0.0397557,-0.0330971
13,-0.506708,0.0337364,0.0458721,-0.0267582
14,-0.304025,0.0427142,0.0506026,-0.0190105
15,-0.101342,0.0724371,0.0535784,-0.0073409
16,0.101342,0.0724371,0.0535784,0.0073409
17,0.304025,0.0427142,0.0506026,0.0190105
18,0.506708,0.0337364,0.0458721,0.0267582
19,0.709392,0.0288136,0.0397557,0.0330971
20,0.912075,0.0221777,0.0324557,0.0382646
21,1.11476,0.0427765,0.0242445,0.0448472
22,1.31744,0.0271515,0.0142761,0.0519338
23,1.52013,0.00958806,0.00319227,0.0556571
24,1.72281,-0.0100511,-0.00828544,0.0556102
25,1.92549,-0.0341753,-0.0193502,0.0511282
26,2.12818,-0.0757362,-0.0290111,0.0399896
27,2.33086,-0.00280058,-0.0355607,0.0320305
28,2.53354,0.000418968,-0.0419952,0.0317891
29,2.73623,-0.0516804,-0.0484469,0.0265942
30,2.93891,-0.0652521,-0.0527756,0.0147441
31,3.14159,-0.0802367,-0.0544237,1.52346e-15
