j,x_j,rho_j,phi_j,E_j
0,-3.14159,-0.100764,-0.109116,5.81997e-16
1,-2.93891,-0.0987676,-0.107047,-0.0202209
2,-2.73623,-0.099831,-0.100919,-0.0403472
3,-2.53354,-0.142585,-0.0906912,-0.0649141
4,-2.33086,-0.0600424,-0.0746055,-0.0854486
5,-2.12818,-0.0438877,-0.0560532,-0.0959811
6,-1.92549,-0.0261144,-0.0356979,-0.103075
7,-1.72281,-0.00735204,-0.0142699,-0.106467
8,-1.52013,0.0116789,0.00746015,-0.106028
9,-1.31744,0.0308095,0.0287104,-0.101722
10,-1.11476,0.0491774,0.048695,-0.0936164
11,-0.912075,0.0657562,0.0666594,-0.0819689
12,-0.709392,0.0798323,0.0819225,-0.0672147
13,-0.506708,0.0908778,0.093906,-0.0499147
14,-0.304025,0.0984788,0.102156,-0.0307249
15,-0.101342,0.102351,0.106361,-0.0103725
16,0.101342,0.102351,0.106361,0.0103725
17,0.304025,0.0984788,0.102156,0.0307249
18,0.506708,0.0908778,0.093906,0.0499147
19,0.709392,0.0798323,0.0819225,0.0672147
20,0.912075,0.0657562,0.0666594,0.0819689
21,1.11476,0.0491774,0.048695,0.0936164
22,1.31744,0.0308095,0.0287104,0.101722
23,1.52013,0.0116789,0.00746015,0.106028
24,1.72281,-0.00735204,-0.0142699,0.106467
25,1.92549,-0.0261144,-0.0356979,0.103075
26,2.12818,-0.0438877,-0.0560532,0.0959811
27,2.33086,-0.0600424,-0.0746055,0.0854486
28,2.53354,-0.142585,-0.0906912,0.0649141
29,2.73623,-0.099831,-0.100919,0.0403472
30,2.93891,-0.0987676,-0.107047,0.0202209
31,3.14159,-0.100764,-0.109116,5.81997e-16
