j,x_j,rho_j,phi_j,E_j
0,-3.14159,0.0470004,0.0833576,4.10822e-16
1,-2.93891,0.0593225,0.0823922,0.0107749
2,-2.73623,0.0906244,0.0789898,0.0259708
3,-2.53354,0.108005,0.0718645,0.0461002
4,-2.33086,0.0667416,0.0603023,0.0638093
5,-2.12818,0.0326654,0.0459983,0.0738834
6,-1.92549,0.0234556,0.0303524,0.0795708
7,-1.72281,0.0128152,0.0137429,0.0832465
8,-1.52013,0.000846163,-0.00339298,0.084631
9,-1.31744,-0.0121435,-0.0205637,0.0834861
10,-1.11476,-0.0252866,-0.0372355,0.0796929
11,-0.912075,-0.0388938,-0.0528685,0.0731887
12,-0.709392,-0.109139,-0.0669038,0.0581869
13,-0.506708,-0.0754436,-0.0764555,0.039481
14,-0.304025,-0.076652,-0.0829081,0.0240674
15,-0.101342,-0.0804177,-0.0862117,0.00814966
16,0.101342,-0.0804177,-0.0862117,-0.00814966
17,0.304025,-0.076652,-0.0829081,-0.0240674
18,0.506708,-0.0754436,-0.0764555,-0.039481
19,0.709392,-0.109139,-0.0669038,-0.0581869
20,0.912075,-0.0388938,-0.0528685,-0.0731887
21,1.11476,-0.0252866,-0.0372355,-0.0796929
22,1.31744,-0.0121435,-0.0205637,-0.0834861
23,1.52013,0.000846163,-0.00339298,-0.084631
24,1.72281,0.0128152,0.0137429,-0.0832465
25,1.92549,0.0234556,0.0303524,-0.0795708
26,2.12818,0.0326654,0.0459983,-0.0738834
27,2.33086,0.0667416,0.0603023,-0.0638093
28,2.53354,0.108005,0.0718645,-0.0461002
29,2.73623,0.0906244,0.0789898,-0.0259708
30,2.93891,0.0593225,0.0823922,-0.0107749
31,3.14159,0.0470004,0.0833576,4.10822e-16
